ts,eps_est,eps_rep,surprise_pct
2001-11-06 07:00:00-05:00,0.29,0.3,4.53
2002-02-12 07:00:00-05:00,0.58,0.59,0.98
2002-05-07 08:00:00-04:00,0.59,0.61,4.27
2002-08-05 16:00:00-04:00,0.64,0.69,8.32
2002-11-05 16:00:00-05:00,0.6,0.69,14.7
2003-02-10 17:00:00-05:00,0.64,0.65,1.56
2003-05-05 16:00:00-04:00,0.65,0.62,-4.91
2003-08-04 16:00:00-04:00,0.7,0.72,3.45
2003-11-03 17:00:00-05:00,0.73,0.81,11.41
2004-02-10 17:00:00-05:00,0.74,0.74,-0.26
2004-05-03 17:00:00-04:00,0.75,0.78,4.61
2004-07-28 16:00:00-04:00,0.78,0.88,13.55
2004-10-27 16:00:00-04:00,0.8,0.82,3.14
2005-02-09 16:00:00-05:00,0.83,0.87,4.59
2005-05-03 16:00:00-04:00,0.86,1.11,29.69
2005-07-28 16:00:00-04:00,0.92,1.17,27.63
2005-10-27 16:00:00-04:00,0.94,1.01,7.74
2006-02-09 16:00:00-05:00,1.01,1.04,2.67
2006-04-27 16:00:00-04:00,1.09,1.33,22.36
2006-07-31 16:00:00-04:00,1.14,1.28,12.11
2006-10-30 16:00:00-05:00,1.17,1.24,5.98
2007-02-13 16:00:00-05:00,1.18,1.36,15.06
2007-05-01 16:00:00-04:00,1.28,1.41,9.81
2007-07-31 16:00:00-04:00,1.33,1.72,29.32
2007-10-31 16:00:00-04:00,1.4,1.52,8.88
2008-02-06 16:00:00-05:00,1.43,1.6,11.73
2008-05-01 16:00:00-04:00,1.48,1.52,2.86
2008-07-29 16:00:00-04:00,1.51,1.3,-13.97
2008-10-29 16:00:00-04:00,0.91,0.88,-3.41
2009-02-03 16:00:00-05:00,0.14,0.19,35.47
2009-04-30 16:00:00-04:00,0.34,0.2,-41.31
2009-07-30 16:00:00-04:00,0.68,0.88,29.89
2009-10-29 16:00:00-04:00,0.87,0.94,8.14
2010-02-02 16:00:00-05:00,0.96,0.96,0.26
2010-04-29 16:00:00-04:00,0.97,1.01,3.87
2010-07-29 16:00:00-04:00,1.01,1.23,21.33
2010-10-28 16:00:00-04:00,1.04,0.99,-4.79
2011-02-09 16:00:00-05:00,1.1,1.14,3.67
2011-05-04 16:00:00-04:00,1.26,1.33,5.31
2011-07-28 16:00:00-04:00,1.12,1.24,10.94
2011-10-27 16:00:00-04:00,1.08,1.11,2.91
2012-02-14 16:00:00-05:00,1.25,1.31,4.8
2012-04-20 02:00:00-04:00,1.26,1.37,9.1
2012-08-01 16:00:00-04:00,1.25,1.33,6.63
2012-10-31 16:00:00-04:00,1.28,1.32,3.13
2013-02-13 16:00:00-05:00,1.19,1.25,5.3
2013-05-01 16:00:00-04:00,1.31,1.48,13.37
2013-07-31 16:00:00-04:00,1.33,1.44,8.59
2013-10-30 16:00:00-04:00,1.35,1.34,-1.1
2014-02-12 16:00:00-05:00,1.3,1.37,5.13
2014-04-30 16:00:00-04:00,1.4,1.37,-1.84
2014-07-30 20:00:00-04:00,1.41,1.39,-1.5
2014-10-29 16:00:00-04:00,1.38,1.6,15.92
2015-02-11 16:00:00-05:00,1.37,1.38,0.94
