ts,eps_est,eps_rep,surprise_pct
2001-10-30 08:00:00-05:00,0.12,0.1,-17.39
2002-01-31 08:00:00-05:00,0.06,0.09,58.81
2002-04-17 09:00:00-04:00,0.19,0.26,36.84
2002-07-24 08:00:00-04:00,0.25,0.28,10.34
2002-10-23 08:00:00-04:00,0.24,0.26,8.0
2003-01-28 08:00:00-05:00,0.13,0.14,10.34
2003-04-16 08:00:00-04:00,0.2,0.2,-0.55
2003-07-17 08:00:00-04:00,0.18,0.23,25.21
2003-10-21 08:00:00-04:00,0.18,0.18,-1.82
2004-01-28 08:00:00-05:00,0.14,0.19,32.12
2004-04-21 08:00:00-04:00,0.23,0.35,51.71
2004-07-21 08:00:00-04:00,0.29,0.37,25.5
2004-10-20 08:00:00-04:00,0.28,0.28,2.28
2005-02-01 08:00:00-05:00,0.23,0.26,13.15
2005-04-19 08:00:00-04:00,0.37,0.44,16.47
2005-07-28 08:00:00-04:00,0.45,0.46,3.06
2005-10-26 08:00:00-04:00,0.41,0.38,-7.95
2006-02-23 08:00:00-05:00,0.32,0.35,8.74
2006-04-27 08:00:00-04:00,0.51,0.56,9.05
2006-08-03 08:00:00-04:00,0.53,0.56,6.51
2006-11-02 08:00:00-05:00,0.41,0.54,31.1
2007-02-14 08:00:00-05:00,0.47,0.53,12.77
2007-05-03 08:00:00-04:00,0.62,0.55,-11.29
2007-08-02 08:00:00-04:00,0.58,0.62,7.21
2007-10-30 08:00:00-04:00,0.5,0.42,-15.91
2008-02-21 08:00:00-05:00,0.52,0.41,-21.37
2008-05-06 08:00:00-04:00,0.45,0.4,-10.28
2008-08-05 08:00:00-04:00,0.42,0.4,-4.93
2008-10-29 08:00:00-04:00,0.31,0.31,-0.64
2009-03-17 17:00:00-04:00,0.14,-0.11,-177.36
2009-05-04 16:00:00-04:00,-0.05,-0.1,-85.63
2009-08-03 08:00:00-04:00,-0.09,-0.12,-37.14
2009-11-05 08:00:00-05:00,-0.07,0.02,130.24
2010-02-18 08:00:00-05:00,-0.13,-0.25,-85.58
2010-05-06 08:00:00-04:00,-0.25,-0.31,-24.77
2010-08-03 08:00:00-04:00,-0.25,-0.32,-29.94
2010-10-12 16:00:00-04:00,-0.25,-0.21,14.75
2011-02-14 08:00:00-05:00,-0.22,-0.2,9.37
2011-05-04 08:00:00-04:00,-0.19,-0.16,16.5
2011-08-08 16:00:00-04:00,-0.13,-0.05,61.68
2011-11-03 08:00:00-04:00,-0.14,-0.14,1.43
2012-02-22 07:00:00-05:00,-0.2,-0.21,-3.58
2012-05-03 08:00:00-04:00,-0.15,-0.09,41.63
2012-08-07 08:00:00-04:00,-0.15,-0.12,17.75
2012-10-31 08:00:00-04:00,-0.16,-0.23,-42.49
2013-02-20 08:00:00-05:00,-0.22,-0.23,-2.27
2013-05-02 08:00:00-04:00,-0.1,0.03,129.47
2013-08-06 08:00:00-04:00,0.01,-0.02,-374.73
2013-10-31 08:00:00-04:00,-0.03,0.02,169.4
2014-02-19 08:00:00-05:00,-0.01,0.11,1547.37
2014-04-29 08:00:00-04:00,0.09,0.22,137.12
2014-08-05 08:00:00-04:00,0.1,0.21,104.42
2014-10-30 08:00:00-04:00,0.06,-0.02,-132.27
2015-02-17 08:00:00-05:00,0.07,-0.66,-1029.45
2015-05-04 08:00:00-04:00,0.13,0.26,99.57
2015-08-04 08:00:00-04:00,0.1,0.19,85.89
2015-10-29 07:00:00-04:00,0.04,0.15,295.57
2016-02-18 07:00:00-05:00,0.09,-0.01,-110.84
2016-05-05 08:00:00-04:00,0.11,0.16,46.95
2016-08-04 08:00:00-04:00,0.25,0.29,16.13
2016-11-07 07:00:00-05:00,0.16,0.58,257.16
