ts,eps_est,eps_rep,surprise_pct
2001-04-19 08:00:00-04:00,0.63,0.64,0.95
2001-07-24 08:00:00-04:00,0.51,0.51,0.2
2001-11-07 08:00:00-05:00,0.48,0.48,-0.72
2002-01-30 08:00:00-05:00,0.49,0.5,0.79
2002-04-23 09:00:00-04:00,0.73,0.74,0.27
2002-07-23 08:00:00-04:00,0.59,0.6,2.39
2002-10-22 07:00:00-04:00,0.56,0.55,-0.9
2003-01-29 08:00:00-05:00,0.57,0.57,-0.87
2003-04-24 07:00:00-04:00,0.78,0.81,3.32
2003-07-22 07:00:00-04:00,0.64,0.66,3.45
2003-10-21 07:00:00-04:00,0.65,0.65,-0.31
2004-01-28 07:00:00-05:00,0.65,0.7,7.86
2004-04-21 08:00:00-04:00,0.89,0.94,5.3
2004-07-28 08:00:00-04:00,0.72,0.73,2.02
2004-11-09 07:00:00-05:00,0.68,0.38,-43.78
2005-03-01 00:00:00-05:00,-0.05,-0.48,-944.39
2005-05-03 08:00:00-04:00,0.49,0.52,6.75
2005-08-02 08:00:00-04:00,0.4,0.43,7.5
2005-11-01 08:00:00-05:00,0.38,0.35,-7.12
2006-02-14 10:00:00-05:00,0.31,0.28,-8.7
2006-05-03 08:00:00-04:00,0.52,0.51,-1.92
2006-08-03 07:00:00-04:00,0.44,0.36,-17.81
2006-11-01 07:00:00-05:00,0.36,0.38,7.04
2007-02-13 07:00:00-05:00,0.37,0.39,5.98
2007-05-08 06:00:00-04:00,0.5,0.41,-17.45
2007-08-07 06:00:00-04:00,0.36,0.29,-18.77
2007-11-08 06:00:00-05:00,0.32,0.25,-22.12
2008-02-12 06:00:00-05:00,0.3,0.24,-19.46
2008-05-07 06:00:00-04:00,0.44,0.46,3.52
2008-08-06 07:00:00-04:00,0.35,0.41,16.89
2008-11-05 07:00:00-05:00,0.32,0.21,-34.85
2009-02-11 07:00:00-05:00,0.32,0.37,14.17
2009-05-06 07:00:00-04:00,0.43,0.4,-6.89
2009-08-05 07:00:00-04:00,0.33,0.33,-0.83
2009-11-04 07:00:00-05:00,0.27,0.48,79.8
2010-02-10 07:00:00-05:00,0.37,0.38,3.15
2010-05-04 07:00:00-04:00,0.51,0.51,0.51
2010-08-03 07:00:00-04:00,0.45,0.46,3.25
2010-11-09 07:00:00-05:00,0.29,0.27,-6.71
2011-02-15 07:00:00-05:00,0.39,0.41,4.19
2011-05-04 07:00:00-04:00,0.56,0.56,0.74
2011-08-03 07:00:00-04:00,0.48,0.5,3.47
2011-11-02 07:00:00-04:00,0.25,0.24,-5.26
2012-02-14 07:00:00-05:00,0.45,0.46,1.28
2012-05-01 07:00:00-04:00,0.61,0.63,3.0
2012-08-07 07:00:00-04:00,0.58,0.6,2.78
2012-11-06 07:00:00-05:00,0.39,0.39,0.63
2013-02-12 07:00:00-05:00,0.52,0.52,-0.74
2013-05-02 07:00:00-04:00,0.7,0.73,4.95
2013-08-07 07:00:00-04:00,0.67,0.72,7.31
2013-11-06 07:00:00-05:00,0.46,0.46,0.1
2014-02-11 07:00:00-05:00,0.56,0.57,1.57
2014-05-02 07:00:00-04:00,0.8,0.81,0.84
2014-07-29 07:00:00-04:00,0.75,0.79,5.96
2014-10-28 07:00:00-04:00,0.52,0.56,7.16
2015-02-06 07:00:00-05:00,0.66,0.66,0.24
2015-04-30 07:00:00-04:00,0.86,0.91,6.02
2015-07-28 07:00:00-04:00,0.8,0.8,0.46
2015-10-27 07:00:00-04:00,0.6,0.63,5.52
2016-02-04 07:00:00-05:00,0.71,0.71,0.57
2016-04-28 07:00:00-04:00,0.88,0.92,4.02
2016-07-28 07:00:00-04:00,0.9,0.91,0.67
2016-10-25 07:00:00-04:00,0.68,0.69,1.44
2017-02-02 07:00:00-05:00,0.83,0.89,6.71
2017-04-27 07:00:00-04:00,0.98,1.08,10.22
2017-07-27 07:00:00-04:00,1.0,1.0,-0.24
2017-10-26 07:00:00-04:00,0.78,0.79,1.07
2018-02-01 07:00:00-05:00,0.94,1.05,11.33
2018-04-26 07:00:00-04:00,1.3,1.38,5.86
2018-07-26 07:00:00-04:00,1.11,1.1,-0.93
2018-10-25 07:00:00-04:00,0.74,0.78,4.82
2019-01-31 07:00:00-05:00,1.04,1.09,4.32
2019-04-25 07:00:00-04:00,1.44,1.52,5.27
2019-07-30 07:00:00-04:00,1.13,1.18,4.55
2019-10-29 07:00:00-04:00,0.7,0.77,9.81
2020-01-30 07:00:00-05:00,1.18,1.19,0.69
2020-04-30 07:00:00-04:00,1.56,1.64,4.98
2020-07-30 07:00:00-04:00,1.13,1.32,16.37
2020-10-29 07:00:00-04:00,0.72,0.82,13.23
2021-01-28 07:00:00-05:00,1.12,1.19,5.86
2021-04-27 07:00:00-04:00,1.71,1.99,16.19
2021-07-22 07:00:00-04:00,1.43,1.75,22.74
2021-10-21 07:00:00-04:00,1.0,1.08,8.19
2022-01-27 07:00:00-05:00,1.35,1.36,0.46
2022-04-21 07:00:00-04:00,2.14,2.3,7.4
2022-07-21 07:00:00-04:00,1.86,1.89,1.46
2022-10-20 07:00:00-04:00,1.14,1.18,3.21
2023-01-26 07:00:00-05:00,1.41,1.47,4.5
2023-04-20 07:00:00-04:00,2.47,2.53,2.3
2023-07-20 07:00:00-04:00,2.12,2.2,4.02
2023-10-19 07:00:00-04:00,1.39,1.57,12.94
2024-01-25 07:00:00-05:00,1.63,1.68,3.37
2024-04-18 07:00:00-04:00,2.8,2.89,3.28
2024-07-18 07:00:00-04:00,2.39,2.41,0.65
2024-10-17 06:00:00-04:00,1.62,1.63,0.79
2025-01-30 07:00:00-05:00,1.76,1.87,6.03
2025-04-17 07:00:00-04:00,3.0,3.06,2.08
2025-07-17 06:00:00-04:00,2.41,2.45,1.62
2025-10-16 06:00:00-04:00,1.78,1.85,4.07
2026-07-21 08:00:00-04:00,2.9,,
