ts,eps_est,eps_rep,surprise_pct
2001-10-17 08:00:00-04:00,1.07,1.07,
2002-01-30 11:00:00-05:00,0.99,0.99,-0.4
2002-04-17 08:00:00-04:00,1.13,1.14,0.62
2002-07-18 07:00:00-04:00,1.24,1.24,0.08
2002-10-17 07:00:00-04:00,1.26,1.26,
2003-01-29 11:00:00-05:00,0.92,0.93,0.76
2003-04-16 07:00:00-04:00,1.07,1.07,0.16
2003-07-17 07:00:00-04:00,1.19,1.26,5.7
2003-10-16 07:00:00-04:00,1.22,1.23,1.23
2004-01-28 11:00:00-05:00,1.06,1.06,
2004-04-20 07:00:00-04:00,1.13,1.16,2.29
2004-07-20 07:00:00-04:00,1.28,1.25,-2.11
2004-10-19 07:00:00-04:00,1.25,1.24,-1.01
2005-01-26 11:00:00-05:00,1.06,1.08,2.25
2005-04-20 06:00:00-04:00,1.22,1.24,1.31
2005-07-20 06:00:00-04:00,1.34,1.32,-1.16
2005-10-19 06:00:00-04:00,1.33,1.37,3.32
2006-01-31 06:00:00-05:00,1.17,1.17,0.26
2006-04-20 06:00:00-04:00,1.26,1.28,1.19
2006-07-25 06:00:00-04:00,1.37,1.41,2.92
2006-10-25 08:00:00-04:00,1.41,1.39,-1.21
2007-01-31 11:00:00-05:00,1.22,1.27,3.71
2007-04-19 06:00:00-04:00,1.05,1.03,-1.59
2007-07-18 06:00:00-04:00,1.13,1.15,1.68
2007-10-17 06:00:00-04:00,1.14,1.21,6.14
2008-01-30 10:00:00-05:00,0.98,1.0,2.39
2008-04-24 16:00:00-04:00,0.37,0.37,1.37
2008-07-31 06:00:00-04:00,0.45,0.46,1.61
2008-10-23 06:00:00-04:00,0.44,0.46,4.07
2009-01-29 06:00:00-05:00,0.37,0.37,-0.27
2009-04-22 06:00:00-04:00,0.38,0.39,1.68
2009-07-22 06:00:00-04:00,0.47,0.5,6.67
2009-10-21 06:00:00-04:00,0.46,0.48,3.67
2010-01-28 06:00:00-05:00,0.4,0.39,-1.27
2010-04-21 06:00:00-04:00,0.41,0.42,3.37
2010-07-21 06:00:00-04:00,0.5,0.5,0.33
2010-10-20 06:00:00-04:00,0.52,0.54,3.76
