ts,eps_est,eps_rep,surprise_pct
2001-10-18 07:00:00-04:00,0.84,0.84,0.6
2002-01-22 07:00:00-05:00,0.81,0.81,0.41
2002-04-18 07:00:00-04:00,0.71,0.71,0.57
2002-07-19 08:00:00-04:00,0.77,0.77,0.65
2002-10-18 08:00:00-04:00,0.83,0.83,0.36
2003-01-28 07:00:00-05:00,0.83,0.83,0.61
2003-04-21 07:00:00-04:00,0.76,0.76,0.5
2003-07-21 07:00:00-04:00,0.84,0.83,-0.6
2003-10-22 07:00:00-04:00,0.85,0.83,-1.78
2004-01-27 07:00:00-05:00,0.62,0.62,0.65
2004-04-22 07:00:00-04:00,0.72,0.73,1.19
2004-07-21 07:00:00-04:00,0.79,0.8,1.07
2004-10-21 07:00:00-04:00,0.73,0.6,-17.71
2005-01-25 07:00:00-05:00,0.5,0.5,-0.2
2005-04-21 07:00:00-04:00,0.59,0.62,4.92
2005-07-21 07:00:00-04:00,0.62,0.62,-0.23
2005-10-24 07:00:00-04:00,0.62,0.67,7.39
2006-01-31 07:00:00-05:00,0.62,0.64,3.14
2006-04-20 07:00:00-04:00,0.73,0.78,6.56
2006-07-24 07:00:00-04:00,0.65,0.73,11.62
2006-10-20 07:00:00-04:00,0.5,0.51,1.8
2007-01-30 07:00:00-05:00,0.51,0.5,-2.21
2007-04-19 07:00:00-04:00,0.75,0.84,12.5
2007-07-23 07:00:00-04:00,0.72,0.82,13.89
2007-10-22 07:00:00-04:00,0.69,0.75,9.33
2008-01-30 07:00:00-05:00,0.73,0.8,9.44
2008-04-21 07:00:00-04:00,0.86,0.89,3.13
2008-07-21 16:00:00-04:00,0.83,0.86,3.61
2008-10-22 07:00:00-04:00,0.79,0.8,1.52
2009-02-03 07:00:00-05:00,0.74,0.87,17.17
2009-04-21 07:00:00-04:00,0.78,0.74,-5.37
2009-07-21 07:00:00-04:00,0.77,0.83,7.43
2009-10-22 07:00:00-04:00,0.82,0.9,9.33
2010-02-16 07:00:00-05:00,0.78,0.79,1.21
2010-05-04 06:00:00-04:00,0.76,0.83,9.92
2010-07-30 12:00:00-04:00,0.83,0.86,4.16
2010-10-29 07:00:00-04:00,0.83,0.85,2.76
2011-02-03 07:00:00-05:00,0.83,0.88,5.69
2011-04-29 07:00:00-04:00,0.84,0.92,9.38
2011-07-29 07:00:00-04:00,0.94,0.95,0.61
2011-10-28 07:00:00-04:00,0.91,0.94,3.2
2012-02-02 07:00:00-05:00,0.95,0.97,2.0
2012-04-27 07:00:00-04:00,0.98,0.99,1.13
2012-07-27 07:00:00-04:00,1.02,1.05,3.33
2012-10-26 07:00:00-04:00,0.92,0.95,2.77
2013-02-01 07:00:00-05:00,0.81,0.83,2.54
2013-05-01 07:00:00-04:00,0.79,0.85,7.3
2013-07-30 07:00:00-04:00,0.82,0.84,1.86
2013-10-28 07:00:00-04:00,0.88,0.92,4.92
2014-02-05 07:00:00-05:00,0.89,0.88,-1.11
2014-04-29 07:00:00-04:00,0.79,0.88,11.03
2014-07-29 06:00:00-04:00,0.81,0.85,4.9
2014-10-27 07:00:00-04:00,0.88,0.9,2.45
2015-02-04 07:00:00-05:00,0.86,0.87,1.59
2015-04-28 07:00:00-04:00,0.75,0.85,13.74
2015-07-28 07:00:00-04:00,0.81,0.86,6.12
2015-10-27 06:00:00-04:00,0.92,0.96,4.75
2016-02-03 06:00:00-05:00,0.91,0.93,1.94
2016-05-05 06:00:00-04:00,0.85,0.89,4.58
2016-07-29 06:00:00-04:00,0.91,0.93,2.14
2016-10-25 06:00:00-04:00,0.99,1.07,8.21
2017-02-02 06:00:00-05:00,0.89,0.89,0.13
2017-05-02 06:00:00-04:00,0.83,0.88,5.87
2017-07-28 06:00:00-04:00,0.87,1.01,15.47
2017-10-27 06:00:00-04:00,1.03,1.11,7.6
2018-02-02 06:00:00-05:00,0.94,0.98,4.73
2018-05-01 06:00:00-04:00,1.0,1.05,5.46
2018-07-27 06:00:00-04:00,1.03,1.06,2.83
2018-10-25 06:00:00-04:00,1.14,1.19,4.31
2019-02-01 06:00:00-05:00,1.03,1.04,0.62
2019-04-30 06:00:00-04:00,1.05,1.22,15.84
2019-07-30 06:00:00-04:00,1.16,1.3,12.23
2019-10-29 06:00:00-04:00,1.24,1.51,21.55
2020-02-05 06:00:00-05:00,1.15,1.16,1.15
2020-04-28 07:00:00-04:00,1.34,1.5,11.78
2020-07-31 06:00:00-04:00,1.09,1.37,25.84
2020-10-27 06:00:00-04:00,1.43,1.74,21.32
2021-02-04 06:00:00-05:00,1.39,1.32,-4.9
2021-04-29 06:00:00-04:00,1.61,1.4,-13.23
2021-07-29 06:00:00-04:00,1.35,1.31,-2.85
2021-10-28 06:00:00-04:00,1.55,1.75,12.58
2022-02-03 06:00:00-05:00,1.52,1.8,18.08
2022-04-28 06:00:00-04:00,1.83,2.14,17.11
2022-07-28 06:00:00-04:00,1.71,1.87,9.57
2022-10-27 06:00:00-04:00,1.71,1.85,8.28
2023-02-02 06:00:00-05:00,1.54,1.62,5.36
2023-04-27 06:00:00-04:00,1.34,1.4,4.76
2023-08-01 06:00:00-04:00,-2.18,-2.06,5.41
2023-10-26 06:00:00-04:00,1.95,2.13,9.51
2024-02-01 06:00:00-05:00,-0.11,0.03,127.48
2024-04-25 06:00:00-04:00,1.92,2.07,7.74
2024-07-30 06:00:00-04:00,2.14,2.28,6.31
2024-10-31 06:00:00-04:00,1.57,1.57,0.03
2025-02-04 06:00:00-05:00,1.67,1.72,3.3
2025-04-24 06:00:00-04:00,2.14,2.22,3.98
2025-07-29 06:00:00-04:00,2.03,2.13,5.04
2025-10-30 06:00:00-04:00,2.35,2.58,9.85
2026-02-03 06:00:00-05:00,2.01,2.04,1.47
2026-04-30 06:00:00-04:00,-1.47,-1.28,13.15
2026-08-04 08:00:00-04:00,-0.24,,
