ts,eps_est,eps_rep,surprise_pct
2001-09-21 08:00:00-04:00,0.64,0.65,1.01
2001-12-19 08:00:00-05:00,0.69,0.78,13.65
2002-03-26 08:00:00-05:00,0.69,0.76,10.95
2002-06-19 08:00:00-04:00,0.72,0.72,
2002-09-19 08:00:00-04:00,0.67,0.55,-17.72
2002-12-19 08:00:00-05:00,0.74,0.81,9.02
2003-03-20 08:00:00-05:00,0.63,0.82,31.2
2003-06-18 08:00:00-04:00,0.68,0.55,-19.19
2003-09-23 08:00:00-04:00,0.7,0.83,19.28
2003-12-18 08:00:00-05:00,0.9,0.94,4.79
2004-03-18 08:00:00-05:00,0.95,1.11,16.35
2004-06-22 08:00:00-04:00,1.06,1.1,4.27
2004-09-22 08:00:00-04:00,0.96,0.78,-18.7
2004-12-21 08:00:00-05:00,1.01,1.09,7.5
2005-03-17 08:00:00-05:00,1.16,1.29,11.56
2005-06-22 08:00:00-04:00,0.93,0.95,1.64
2005-09-21 08:00:00-04:00,1.05,1.21,15.29
2005-12-20 08:00:00-05:00,1.09,1.38,26.89
2006-03-22 08:00:00-05:00,1.22,1.5,23.42
2006-06-21 08:00:00-04:00,1.43,1.85,29.07
2006-09-20 08:00:00-04:00,1.25,1.75,40.0
2006-12-19 07:00:00-05:00,1.77,1.81,2.43
2007-03-21 07:00:00-04:00,1.93,2.4,24.16
2007-06-20 07:00:00-04:00,2.01,2.45,21.72
2007-09-19 07:00:00-04:00,1.44,1.38,-4.17
2007-12-19 07:00:00-05:00,-0.39,-3.61,-814.97
2008-03-19 07:00:00-04:00,1.03,1.45,41.08
2008-06-18 08:00:00-04:00,0.92,1.11,21.07
2008-09-16 16:00:00-04:00,0.78,0.82,5.14
2008-12-17 08:00:00-05:00,-0.18,-2.24,-1110.81
2009-07-22 08:00:00-04:00,-0.44,-1.37,-211.36
2009-10-21 08:00:00-04:00,0.27,0.38,39.2
2010-01-20 08:00:00-05:00,0.35,0.14,-59.89
2010-04-21 07:00:00-04:00,0.61,1.03,69.67
2010-05-06 20:00:00-04:00,0.37,-0.57,-254.05
2010-07-21 08:00:00-04:00,0.49,0.8,64.86
2010-10-20 07:00:00-04:00,0.26,-0.07,-126.78
2011-01-20 07:00:00-05:00,0.49,0.41,-17.03
2011-04-21 07:00:00-04:00,0.37,0.5,34.33
2011-07-21 07:00:00-04:00,-0.61,-0.38,37.91
2011-10-19 07:00:00-04:00,0.31,1.15,273.55
2012-01-19 07:00:00-05:00,-0.53,-0.14,73.69
2012-04-19 07:00:00-04:00,0.45,0.71,59.03
2012-07-19 07:00:00-04:00,0.32,0.16,-50.68
2012-10-18 07:00:00-04:00,0.24,0.28,14.94
2013-01-18 07:00:00-05:00,0.27,0.45,63.73
2013-04-18 07:00:00-04:00,0.56,0.61,8.67
2013-07-18 07:00:00-04:00,0.45,0.45,-0.09
2013-10-18 07:00:00-04:00,0.41,0.5,21.25
2014-01-17 07:00:00-05:00,0.45,0.5,11.35
2014-04-17 06:00:00-04:00,0.6,0.68,13.6
2014-07-17 07:00:00-04:00,0.56,0.6,7.85
2014-10-17 07:00:00-04:00,0.55,0.84,54.02
2015-01-20 07:00:00-05:00,0.75,0.47,-37.33
2015-04-20 07:00:00-04:00,0.79,0.85,8.18
2015-07-20 07:00:00-04:00,0.73,0.79,8.29
2015-10-19 06:00:00-04:00,0.64,0.48,-25.26
2016-01-19 06:00:00-05:00,0.3,0.39,28.84
2016-04-18 06:00:00-04:00,0.49,0.55,12.77
2016-07-20 06:00:00-04:00,0.59,0.75,26.06
2016-10-19 06:00:00-04:00,0.63,0.8,27.23
2017-01-17 06:00:00-05:00,0.65,0.81,25.07
2017-04-19 06:00:00-04:00,0.9,1.0,11.32
2017-07-19 06:00:00-04:00,0.77,0.87,12.66
2017-10-17 06:00:00-04:00,0.81,0.93,15.12
2018-01-18 06:00:00-05:00,0.78,0.84,7.58
2018-04-18 06:00:00-04:00,1.25,1.45,16.06
2018-07-18 06:00:00-04:00,1.1,1.25,13.26
2018-10-16 06:00:00-04:00,1.02,1.17,14.31
2019-01-17 07:00:00-05:00,0.89,0.8,-10.03
2019-04-17 07:00:00-04:00,1.17,1.39,18.47
2019-07-18 07:00:00-04:00,1.16,1.23,6.28
2019-10-17 07:00:00-04:00,1.11,1.27,14.84
2020-01-16 07:00:00-05:00,1.0,1.3,30.2
2020-04-16 08:00:00-04:00,1.08,0.99,-8.69
2020-07-16 07:00:00-04:00,1.11,1.96,76.33
2020-10-15 07:00:00-04:00,1.26,1.66,31.36
2021-01-20 07:00:00-05:00,1.28,1.92,49.99
2021-04-16 07:00:00-04:00,1.71,2.19,27.86
2021-07-15 07:00:00-04:00,1.65,1.85,11.92
2021-10-14 07:00:00-04:00,1.68,2.04,21.62
2022-01-19 07:00:00-05:00,1.96,2.08,5.94
2022-04-14 07:00:00-04:00,1.72,2.06,19.7
2022-07-14 07:00:00-04:00,1.6,1.53,-4.14
2022-10-14 07:00:00-04:00,1.51,1.47,-2.82
2023-01-17 08:00:00-05:00,1.29,1.31,1.36
2023-04-19 07:00:00-04:00,1.66,1.74,4.91
2023-07-18 07:00:00-04:00,1.21,1.44,18.95
2023-10-18 07:00:00-04:00,1.29,1.38,6.75
2024-01-16 07:00:00-05:00,1.03,0.85,-17.84
2024-04-16 07:00:00-04:00,1.65,2.02,22.45
2024-07-16 07:00:00-04:00,1.65,1.82,10.16
2024-10-16 07:00:00-04:00,1.58,1.88,18.96
2025-01-16 08:00:00-05:00,1.69,2.22,31.4
2025-04-11 07:00:00-04:00,2.21,2.6,17.68
2025-07-16 07:00:00-04:00,1.98,2.13,7.46
2025-10-15 07:00:00-04:00,2.11,2.8,32.63
2026-01-15 07:00:00-05:00,2.45,2.68,9.41
2026-04-15 07:00:00-04:00,3.02,3.43,13.61
2026-07-15 08:00:00-04:00,2.81,,
