ts,eps_est,eps_rep,surprise_pct
2001-12-18 17:00:00-05:00,-0.41,-0.44,-8.48
2002-03-21 17:00:00-05:00,-0.05,-0.05,-5.26
2002-06-25 07:00:00-04:00,0.06,-0.04,-161.9
2002-09-24 17:00:00-04:00,-0.18,-0.27,-50.56
2002-12-17 17:00:00-05:00,-0.22,-0.52,-131.11
2003-03-20 18:00:00-05:00,-0.52,-0.83,-60.97
2003-06-18 17:00:00-04:00,-0.5,-0.36,28.63
2003-09-24 17:00:00-04:00,-0.26,-0.19,28.3
2003-12-23 17:00:00-05:00,-0.05,-0.03,38.46
2004-03-24 17:00:00-05:00,-0.07,-0.04,46.4
2004-06-23 17:00:00-04:00,0.1,0.13,31.46
2004-09-29 17:00:00-04:00,0.2,0.14,-29.39
2004-12-22 17:00:00-05:00,0.21,0.23,7.1
2005-03-29 17:00:00-05:00,0.14,0.17,21.82
2005-06-23 17:00:00-04:00,0.04,-0.2,-606.33
2005-09-29 17:00:00-04:00,-0.07,0.07,195.24
2005-12-21 16:00:00-05:00,0.1,0.09,-7.12
2006-04-10 17:00:00-04:00,0.06,-0.03,-154.38
2006-06-28 16:00:00-04:00,0.09,0.13,47.03
2006-10-05 17:00:00-04:00,0.14,0.14,0.4
2006-12-21 16:00:00-05:00,0.2,0.21,2.69
2007-04-04 16:00:00-04:00,,-0.07,-2900.0
2007-06-28 16:00:00-04:00,-0.23,-0.31,-32.59
2007-10-02 16:00:00-04:00,-0.22,-0.15,31.32
2007-12-20 16:00:00-05:00,-0.19,-0.24,-24.24
2008-04-02 16:00:00-04:00,-0.36,-0.41,-12.47
2008-06-26 16:00:00-04:00,-0.29,-0.3,-2.61
2008-10-01 16:00:00-04:00,-0.23,-0.27,-15.56
2008-12-23 16:00:00-05:00,-0.43,-0.72,-65.85
2009-04-02 16:00:00-04:00,-0.61,-0.82,-35.18
2009-06-25 16:00:00-04:00,-0.41,-0.36,12.81
2009-09-29 16:00:00-04:00,-0.19,-0.1,46.26
2009-12-22 16:00:00-05:00,0.07,0.15,108.36
2010-03-31 16:00:00-04:00,0.24,0.39,59.88
2010-06-28 16:00:00-04:00,0.43,0.43,-0.84
2010-10-07 16:00:00-04:00,0.4,0.3,-24.6
2010-12-22 16:00:00-05:00,0.29,0.15,-47.7
2011-03-23 12:00:00-04:00,0.02,0.07,184.21
2011-06-23 16:00:00-04:00,0.17,0.07,-58.2
2011-09-29 12:00:00-04:00,,-0.14,-25554.55
2011-12-21 16:00:00-05:00,-0.11,-0.19,-77.94
2012-03-22 16:00:00-04:00,-0.19,-0.23,-23.04
2012-06-20 16:00:00-04:00,-0.19,-0.32,-67.79
2012-09-27 16:00:00-04:00,-0.23,-0.24,-6.31
2012-12-20 16:00:00-05:00,-0.2,-0.27,-33.48
2013-03-21 16:00:00-04:00,-0.2,-0.19,5.54
2013-06-19 16:00:00-04:00,0.04,0.09,163.23
2013-10-10 16:00:00-04:00,0.3,0.23,-24.27
2014-01-07 16:00:00-05:00,0.51,0.77,49.68
2014-04-03 16:00:00-04:00,0.76,0.85,11.85
2014-06-23 16:00:00-04:00,0.7,0.79,12.47
2014-09-25 16:00:00-04:00,0.81,0.82,0.83
2015-01-06 16:00:00-05:00,0.92,0.97,5.43
2015-04-01 16:00:00-04:00,0.72,0.81,11.87
2015-06-25 16:00:00-04:00,0.56,0.54,-3.8
2015-10-01 16:00:00-04:00,0.32,0.37,16.76
2015-12-22 16:00:00-05:00,0.23,0.24,4.76
2016-03-30 16:00:00-04:00,-0.09,-0.05,44.7
2016-06-30 16:00:00-04:00,-0.1,-0.08,17.49
2016-10-04 16:00:00-04:00,-0.09,-0.05,46.97
2016-12-21 16:00:00-05:00,0.29,0.32,11.63
2017-03-23 16:00:00-04:00,0.86,0.9,4.58
2017-06-29 16:00:00-04:00,1.51,1.62,7.17
2017-09-26 16:00:00-04:00,1.84,2.02,9.91
2017-12-19 16:00:00-05:00,2.21,2.45,10.88
2018-03-22 16:00:00-04:00,2.74,2.82,2.98
2018-06-20 16:00:00-04:00,3.14,3.15,0.44
2018-09-20 16:00:00-04:00,3.32,3.53,6.21
2018-12-18 16:00:00-05:00,2.97,2.97,0.03
2019-03-20 16:00:00-04:00,1.66,1.71,3.05
2019-06-25 16:00:00-04:00,0.79,1.05,33.01
2019-09-26 16:00:00-04:00,0.48,0.56,15.55
2019-12-18 16:00:00-05:00,0.47,0.48,1.55
2020-03-25 16:00:00-04:00,0.37,0.45,21.41
2020-06-29 16:00:00-04:00,0.76,0.82,7.45
2020-09-29 16:00:00-04:00,0.97,1.08,10.9
2021-01-07 16:00:00-05:00,0.69,0.78,12.96
2021-03-31 16:00:00-04:00,0.95,0.98,3.68
2021-06-30 16:00:00-04:00,1.72,1.88,9.15
2021-09-28 16:00:00-04:00,2.34,2.42,3.35
2021-12-20 16:00:00-05:00,2.11,2.16,2.58
2022-03-29 16:00:00-04:00,1.98,2.14,8.07
2022-06-30 16:00:00-04:00,2.44,2.59,5.96
2022-09-29 16:00:00-04:00,1.37,1.45,5.82
2022-12-21 16:00:00-05:00,-0.02,-0.04,-114.02
2023-03-28 16:00:00-04:00,-0.88,-1.91,-115.83
2023-06-28 16:00:00-04:00,-1.57,-1.43,8.74
2023-09-27 16:00:00-04:00,-1.18,-1.07,9.27
2023-12-20 16:00:00-05:00,-1.01,-0.95,5.85
2024-03-20 16:00:00-04:00,-0.24,0.42,273.75
2024-06-26 16:00:00-04:00,0.53,0.62,17.27
2024-09-25 16:00:00-04:00,1.11,1.18,5.88
2024-12-18 16:00:00-05:00,1.77,1.79,1.36
2025-03-20 16:00:00-04:00,1.42,1.56,9.49
2025-06-25 16:00:00-04:00,1.59,1.91,19.75
2025-09-23 16:00:00-04:00,2.86,3.03,5.94
2025-12-17 16:00:00-05:00,3.96,4.78,20.58
2026-03-18 16:00:00-04:00,9.16,12.2,33.21
2026-06-24 16:00:00-04:00,20.71,25.11,21.25
2026-09-23 16:00:00-04:00,31.28,,
