ts,eps_est,eps_rep,surprise_pct
2002-04-19 07:00:00-04:00,0.1,0.1,1.17
2002-07-19 07:00:00-04:00,0.16,0.18,12.47
2002-07-19 07:00:00-04:00,0.16,0.16,-0.12
2002-10-17 07:00:00-04:00,0.22,0.22,1.51
2002-10-17 07:00:00-04:00,0.25,0.25,0.92
2003-01-24 07:00:00-05:00,0.09,0.09,5.38
2003-04-24 07:00:00-04:00,0.1,0.12,15.9
2003-07-25 07:00:00-04:00,0.17,0.17,-0.28
2003-10-23 07:00:00-04:00,0.23,0.23,1.4
2004-01-23 07:00:00-05:00,0.09,0.09,1.37
2004-04-22 07:00:00-04:00,0.11,0.1,-8.08
2004-07-23 07:00:00-04:00,0.17,0.18,2.48
2004-10-21 07:00:00-04:00,0.24,0.22,-4.82
2005-01-21 07:00:00-05:00,0.12,0.12,-2.58
2005-04-26 07:00:00-04:00,0.12,0.11,-8.05
2005-07-22 07:00:00-04:00,0.17,0.17,-0.45
2005-11-04 07:00:00-05:00,0.24,0.25,6.93
2006-01-27 07:00:00-05:00,0.1,0.12,14.19
2006-05-02 07:00:00-04:00,0.12,0.14,19.1
2006-07-28 07:00:00-04:00,0.19,0.17,-11.03
2006-10-30 07:00:00-05:00,0.27,0.29,8.07
2007-01-26 07:00:00-05:00,0.13,0.16,20.44
2007-04-30 08:00:00-04:00,0.15,0.18,16.02
2007-07-30 07:00:00-04:00,0.2,0.22,7.62
2007-10-30 07:00:00-04:00,0.31,0.31,0.67
2008-01-28 07:00:00-05:00,0.17,0.18,5.71
2008-04-30 07:00:00-04:00,0.2,0.19,-4.6
2008-07-31 07:00:00-04:00,0.23,0.23,0.21
2008-10-27 07:00:00-04:00,0.34,0.31,-7.06
2009-01-27 07:00:00-05:00,0.22,0.23,0.89
2009-04-28 07:00:00-04:00,0.19,0.23,16.61
2009-07-28 07:00:00-04:00,0.24,0.25,1.13
2009-10-27 07:00:00-04:00,0.35,0.35,-2.29
2010-01-26 07:00:00-05:00,0.19,0.2,6.68
2010-04-27 06:00:00-04:00,0.21,0.24,9.6
