ts,eps_est,eps_rep,surprise_pct
2001-10-29 10:00:00-05:00,0.03,0.11,278.01
2002-02-06 09:00:00-05:00,0.1,0.16,67.43
2002-05-15 03:00:00-04:00,0.12,-0.04,-133.03
2002-08-07 04:00:00-04:00,0.14,0.16,15.79
2002-11-12 06:00:00-05:00,0.16,0.06,-63.21
2003-03-28 07:00:00-05:00,0.17,0.19,11.3
2003-05-07 06:00:00-04:00,0.18,0.19,5.11
2003-07-31 08:00:00-04:00,0.2,0.18,-11.27
2003-10-29 08:00:00-05:00,0.25,0.31,23.02
2004-02-04 09:00:00-05:00,0.3,0.33,8.79
2004-04-28 08:00:00-04:00,0.34,0.3,-12.3
2004-07-28 08:00:00-04:00,0.23,0.19,-17.84
2004-10-27 08:00:00-04:00,0.25,0.31,23.67
2005-02-24 08:00:00-05:00,0.33,0.37,12.28
2005-04-27 08:00:00-04:00,0.3,0.19,-36.1
2005-07-27 08:00:00-04:00,0.16,0.19,19.29
2005-10-26 08:00:00-04:00,0.24,0.25,6.38
2006-02-27 08:00:00-05:00,0.35,0.35,0.9
2006-04-20 08:00:00-04:00,0.33,0.36,10.67
2006-07-27 08:00:00-04:00,0.49,0.43,-11.73
2006-11-01 08:00:00-05:00,0.42,0.38,-8.5
2007-02-22 08:00:00-05:00,0.39,0.47,20.09
2007-04-26 08:00:00-04:00,0.25,0.16,-34.69
2007-08-02 08:00:00-04:00,0.21,0.22,2.98
2007-10-31 08:00:00-04:00,0.25,0.53,112.33
2008-02-21 08:00:00-05:00,0.38,0.5,32.98
2008-04-24 06:00:00-04:00,0.55,0.85,54.83
2008-07-24 06:00:00-04:00,0.48,0.51,5.37
2008-10-29 06:00:00-04:00,0.43,0.39,-8.45
2009-02-19 00:00:00-05:00,0.25,0.26,2.73
2009-04-30 06:00:00-04:00,0.41,0.44,8.37
2009-07-23 06:00:00-04:00,0.47,0.43,-8.58
2009-10-29 06:00:00-04:00,0.55,0.79,44.71
2010-02-25 06:00:00-05:00,0.79,1.14,43.9
