ts,eps_est,eps_rep,surprise_pct
2002-07-24 16:00:00-04:00,,,
2002-10-17 16:00:00-04:00,,,91.86
2003-01-15 16:00:00-05:00,,,114.0
2003-04-17 16:00:00-04:00,,,100.0
2003-07-17 16:00:00-04:00,,,39.02
2003-10-15 16:00:00-04:00,,,94.29
2004-01-21 16:00:00-05:00,,,23.64
2004-04-15 16:00:00-04:00,,,-16.22
2004-07-15 16:00:00-04:00,,,-6.55
2004-10-14 16:00:00-04:00,,,10.4
2005-01-24 16:00:00-05:00,,,49.25
2005-04-21 16:00:00-04:00,,,53.09
2005-07-25 16:00:00-04:00,,,1150.0
2005-10-19 16:00:00-04:00,,,31.8
2006-01-24 16:00:00-05:00,,0.01,516.67
2006-04-24 16:00:00-04:00,,,57.14
2006-07-24 16:00:00-04:00,,,30.41
2006-10-23 16:00:00-04:00,,,46.02
2007-01-24 16:00:00-05:00,,,40.57
2007-04-18 08:00:00-04:00,,,-8.76
2007-07-23 16:00:00-04:00,,,24.79
2007-10-22 16:00:00-04:00,,,53.31
2008-01-23 16:00:00-05:00,,,70.65
2008-04-21 16:00:00-04:00,,,-2.66
2008-07-25 07:00:00-04:00,0.01,0.01,10.67
2008-10-20 16:00:00-04:00,,0.01,10.3
2009-01-26 16:00:00-05:00,,0.01,11.04
2009-04-23 16:00:00-04:00,,0.01,17.25
2009-07-23 16:00:00-04:00,0.01,0.01,7.23
2009-10-22 16:00:00-04:00,0.01,0.01,15.19
2010-01-27 16:00:00-05:00,0.01,0.01,23.84
2010-04-21 16:00:00-04:00,0.01,0.01,7.66
2010-07-21 16:00:00-04:00,0.01,0.01,12.94
2010-10-20 16:00:00-04:00,0.01,0.01,-2.63
2011-01-26 16:00:00-05:00,0.01,0.01,20.56
2011-04-25 16:00:00-04:00,0.02,0.02,3.66
2011-07-25 16:00:00-04:00,0.02,0.02,14.94
2011-10-24 20:00:00-04:00,0.01,0.02,24.68
2012-01-25 19:00:00-05:00,0.01,0.01,28.61
2012-04-23 16:00:00-04:00,,,69.68
2012-07-24 16:00:00-04:00,,,112.16
2012-10-23 16:00:00-04:00,,,232.14
2013-01-23 16:00:00-05:00,,,189.86
2013-04-22 16:00:00-04:00,,,54.36
2013-07-22 16:00:00-04:00,0.01,0.01,19.45
2013-10-21 16:00:00-04:00,0.01,0.01,4.5
2014-01-22 16:00:00-05:00,0.01,0.01,18.84
2014-04-21 16:00:00-04:00,0.01,0.01,6.31
2014-07-21 16:00:00-04:00,0.02,0.02,1.05
2014-10-15 16:00:00-04:00,0.01,0.01,4.58
2015-01-20 16:00:00-05:00,0.01,0.01,62.05
2015-04-15 16:00:00-04:00,0.01,0.01,-39.8
2015-07-15 16:00:00-04:00,,0.01,55.84
2015-10-14 16:00:00-04:00,0.01,0.01,-6.91
2016-01-19 16:00:00-05:00,,0.01,371.7
2016-04-18 16:00:00-04:00,,0.01,100.0
2016-07-18 16:00:00-04:00,,0.01,312.84
2016-10-17 16:00:00-04:00,0.01,0.01,117.79
2017-01-18 16:00:00-05:00,0.01,0.02,14.33
2017-04-17 16:00:00-04:00,0.04,0.04,7.7
2017-07-17 16:00:00-04:00,0.02,0.02,-5.06
2017-10-16 16:00:00-04:00,0.03,0.03,-9.57
2018-01-22 16:00:00-05:00,0.04,0.04,-0.77
2018-04-16 16:00:00-04:00,0.06,0.06,2.27
2018-07-16 16:00:00-04:00,0.08,0.09,7.26
2018-10-16 16:00:00-04:00,0.07,0.09,31.38
2019-01-17 16:00:00-05:00,0.02,0.03,27.44
2019-04-16 16:00:00-04:00,0.06,0.08,32.29
2019-07-17 16:00:00-04:00,0.06,0.06,7.49
2019-10-16 16:00:00-04:00,0.1,0.15,40.47
2020-01-21 16:00:00-05:00,0.05,0.13,147.95
2020-04-21 17:00:00-04:00,0.16,0.16,-4.02
2020-07-16 16:00:00-04:00,0.18,0.16,-13.13
2020-10-20 17:00:00-04:00,0.21,0.17,-18.71
2021-01-19 16:00:00-05:00,0.14,0.12,-15.07
2021-04-20 16:00:00-04:00,0.3,0.38,25.48
2021-07-20 16:00:00-04:00,0.32,0.3,-5.91
2021-10-19 16:00:00-04:00,0.26,0.32,24.49
2022-01-20 16:00:00-05:00,0.08,0.13,61.49
2022-04-19 16:00:00-04:00,0.29,0.35,20.97
2022-07-19 16:00:00-04:00,0.29,0.32,8.75
2022-10-18 16:00:00-04:00,0.21,0.31,45.21
2023-01-19 16:00:00-05:00,0.05,0.01,-75.18
2023-04-18 16:00:00-04:00,0.29,0.29,0.46
2023-07-19 16:00:00-04:00,0.29,0.33,15.36
2023-10-18 16:00:00-04:00,0.35,0.37,6.74
2024-01-23 16:00:00-05:00,0.22,0.21,-4.8
2024-04-18 16:00:00-04:00,0.45,0.53,16.66
2024-07-18 16:00:00-04:00,0.48,0.49,2.47
2024-10-17 16:00:00-04:00,0.51,0.54,5.32
2025-01-21 16:00:00-05:00,0.42,0.43,1.78
2025-04-17 16:00:00-04:00,0.57,0.66,16.37
2025-07-17 16:00:00-04:00,0.71,0.72,1.95
2025-10-21 16:00:00-04:00,0.7,0.59,-15.79
2026-01-20 16:00:00-05:00,0.55,0.56,1.43
2026-04-16 16:00:00-04:00,1.32,1.23,-6.93
2026-07-16 16:00:00-04:00,0.79,,
