ts,eps_est,eps_rep,surprise_pct
2001-12-20 16:00:00-05:00,0.06,0.06,5.26
2002-03-21 16:00:00-05:00,0.06,0.06,1.32
2002-06-27 16:00:00-04:00,0.09,0.1,3.22
2002-09-18 08:00:00-04:00,0.1,0.1,1.0
2002-12-19 16:00:00-05:00,0.07,0.07,1.79
2003-03-19 16:00:00-05:00,0.06,0.06,1.73
2003-06-26 16:00:00-04:00,0.12,0.12,
2003-09-18 16:00:00-04:00,0.11,0.12,11.11
2003-12-18 16:00:00-05:00,0.08,0.08,7.49
2004-03-18 16:00:00-05:00,0.09,0.09,1.37
2004-06-24 16:00:00-04:00,0.13,0.14,5.21
2004-09-20 09:00:00-04:00,0.14,0.15,9.21
2004-12-16 16:00:00-05:00,0.11,0.12,11.56
2005-03-17 16:00:00-05:00,0.12,0.13,1.81
2005-06-27 08:00:00-04:00,0.16,0.16,0.31
2005-09-19 07:00:00-04:00,0.18,0.2,12.27
2005-12-20 16:00:00-05:00,0.13,0.14,12.65
2006-03-21 16:00:00-05:00,0.14,0.16,13.55
2006-06-27 16:00:00-04:00,0.17,0.17,-0.29
2006-09-21 16:00:00-04:00,0.18,0.18,1.91
2006-12-20 16:00:00-05:00,0.14,0.14,1.83
2007-03-22 16:00:00-04:00,0.17,0.17,0.74
2007-06-26 16:00:00-04:00,0.27,0.22,-20.09
2007-09-20 16:00:00-04:00,0.22,0.28,28.37
2007-12-19 16:00:00-05:00,0.17,0.18,7.34
2008-03-19 16:00:00-04:00,0.2,0.23,15.54
2008-06-25 16:00:00-04:00,0.24,0.25,1.61
2008-09-24 16:00:00-04:00,0.23,0.26,11.68
2008-12-17 16:00:00-05:00,0.19,0.19,-2.05
2009-03-18 16:00:00-04:00,0.2,0.25,25.42
2009-06-24 16:00:00-04:00,0.16,0.18,9.38
2009-09-29 16:00:00-04:00,0.24,0.26,7.11
2009-12-17 16:00:00-05:00,0.18,0.19,6.31
2010-03-17 16:00:00-04:00,0.22,0.25,14.31
2010-06-23 16:00:00-04:00,0.26,0.27,0.48
2010-09-23 16:00:00-04:00,0.25,0.28,15.26
2010-12-21 16:00:00-05:00,0.22,0.24,7.29
2011-03-17 16:00:00-04:00,0.28,0.27,-3.96
2011-06-27 16:00:00-04:00,0.29,0.31,7.21
2011-09-22 16:00:00-04:00,0.3,0.34,12.86
2011-12-20 11:00:00-05:00,0.24,0.25,3.02
2012-03-22 16:00:00-04:00,0.29,0.3,3.31
2012-06-28 16:00:00-04:00,0.34,0.29,-14.49
2012-09-27 16:00:00-04:00,0.28,0.31,10.43
2012-12-20 16:00:00-05:00,0.25,0.28,16.33
2013-03-21 16:00:00-04:00,0.33,0.37,9.39
2013-06-27 16:00:00-04:00,0.37,0.38,2.24
2013-09-26 16:00:00-04:00,0.39,0.43,10.25
2013-12-19 16:00:00-05:00,0.29,0.3,1.85
2014-03-20 16:00:00-04:00,0.36,0.38,5.36
2014-06-26 16:00:00-04:00,0.38,0.39,3.77
2014-09-25 16:00:00-04:00,0.44,0.55,24.4
2014-12-18 16:00:00-05:00,0.35,0.37,5.48
2015-03-19 16:00:00-04:00,0.42,0.45,6.58
2015-06-25 16:00:00-04:00,0.42,0.49,17.71
2015-09-24 16:00:00-04:00,0.6,0.67,12.57
2015-12-22 16:00:00-05:00,0.43,0.45,5.19
2016-03-22 16:00:00-04:00,0.48,0.55,13.5
2016-06-28 16:00:00-04:00,0.48,0.49,2.28
2016-09-27 16:00:00-04:00,0.56,0.73,30.71
2016-12-20 16:00:00-05:00,0.43,0.5,16.16
2017-03-21 16:00:00-04:00,0.52,0.68,29.9
2017-06-29 16:00:00-04:00,0.49,0.6,21.23
2017-09-26 16:00:00-04:00,0.48,0.57,18.86
2017-12-21 16:00:00-05:00,0.4,0.46,14.89
2018-03-22 16:00:00-04:00,0.53,0.68,28.78
2018-06-28 16:00:00-04:00,0.64,0.69,8.34
2018-09-25 16:00:00-04:00,0.63,0.67,6.27
2018-12-20 16:00:00-05:00,0.46,0.52,12.81
2019-03-21 16:00:00-04:00,0.65,0.68,5.17
2019-06-27 16:00:00-04:00,0.66,0.62,-5.51
2019-09-24 16:00:00-04:00,0.71,0.86,21.65
