ts,eps_est,eps_rep,surprise_pct
2012-08-01 16:00:00-04:00,-0.01,-0.01,58.22
2012-10-24 16:00:00-04:00,-0.02,-0.01,41.97
2013-01-30 16:00:00-05:00,-0.01,,100.0
2013-04-24 16:00:00-04:00,-0.01,,71.71
2013-07-31 16:00:00-04:00,-0.01,-0.01,-23.71
2013-10-23 16:00:00-04:00,,,144.54
2014-01-29 16:00:00-05:00,,,-32.89
2014-04-23 16:00:00-04:00,-0.02,-0.02,-0.5
2014-07-30 17:00:00-04:00,-0.01,-0.01,1.75
2014-10-22 16:00:00-04:00,,0.01,137.15
2015-01-28 16:00:00-05:00,,0.01,64.84
2015-04-16 16:00:00-04:00,,,385.71
2015-07-29 16:00:00-04:00,,0.01,283.07
2015-10-21 16:00:00-04:00,0.02,0.03,91.94
2016-01-27 16:00:00-05:00,0.02,0.04,141.27
2016-04-20 16:00:00-04:00,0.01,0.02,32.55
2016-07-27 16:00:00-04:00,0.02,0.03,64.38
2016-10-26 16:00:00-04:00,0.04,0.05,10.36
2017-01-25 16:00:00-05:00,0.05,0.05,3.99
2017-04-26 16:00:00-04:00,0.03,0.05,41.68
2017-07-26 16:00:00-04:00,0.04,0.04,10.61
2017-10-25 16:00:00-04:00,0.06,0.08,19.8
2018-01-31 16:00:00-05:00,0.07,0.07,-0.19
2018-04-25 16:00:00-04:00,0.07,0.11,51.47
2018-07-25 16:00:00-04:00,0.09,0.1,15.1
2018-10-24 16:00:00-04:00,0.12,0.14,14.6
2019-01-30 16:00:00-05:00,0.13,0.15,21.59
2019-04-24 16:00:00-04:00,0.11,0.13,23.56
2019-07-24 16:00:00-04:00,0.13,0.14,11.78
2019-10-23 16:00:00-04:00,0.18,0.2,11.83
2020-01-29 16:00:00-05:00,0.17,0.19,10.09
2020-04-29 16:00:00-04:00,0.19,0.21,10.21
2020-07-29 16:00:00-04:00,0.2,0.25,20.85
2020-10-28 16:00:00-04:00,0.21,0.24,17.41
2021-01-27 16:00:00-05:00,0.21,0.23,10.6
2021-04-28 16:00:00-04:00,0.27,0.3,12.85
2021-07-28 16:00:00-04:00,0.24,0.28,17.53
2021-10-27 16:00:00-04:00,0.28,0.31,11.55
2022-01-26 16:00:00-05:00,0.29,0.29,2.12
2022-04-27 16:00:00-04:00,0.34,0.35,2.03
2022-07-27 16:00:00-04:00,0.31,0.32,4.46
2022-10-26 16:00:00-04:00,0.37,0.39,6.14
2023-01-25 16:00:00-05:00,0.4,0.46,12.62
2023-04-26 16:00:00-04:00,0.41,0.47,16.36
2023-07-26 16:00:00-04:00,0.41,0.47,15.81
2023-10-25 16:00:00-04:00,0.51,0.58,14.55
2024-01-24 16:00:00-05:00,0.56,0.62,11.94
2024-04-24 16:00:00-04:00,0.63,0.68,8.87
2024-07-24 16:00:00-04:00,0.57,0.63,10.44
2024-10-23 16:00:00-04:00,0.69,0.74,7.78
2025-01-29 16:00:00-05:00,0.73,0.73,0.2
2025-04-23 16:00:00-04:00,0.77,0.81,5.36
2025-07-23 16:00:00-04:00,0.71,0.82,14.63
2025-10-29 16:00:00-04:00,0.85,0.96,13.0
2026-01-28 16:00:00-05:00,0.89,0.92,3.95
2026-04-22 16:00:00-04:00,0.97,0.97,0.39
2026-07-22 16:00:00-04:00,0.86,,
