ts,eps_est,eps_rep,surprise_pct
2001-10-18 09:00:00-04:00,0.06,0.07,5.69
2002-01-31 09:00:00-05:00,0.05,0.05,6.67
2002-04-18 08:00:00-04:00,0.05,0.07,32.19
2002-07-17 09:00:00-04:00,0.13,0.14,4.65
2002-10-17 09:00:00-04:00,0.13,0.13,-0.18
2003-02-06 09:00:00-05:00,0.11,0.12,0.54
2003-04-24 09:00:00-04:00,0.06,0.05,-4.18
2003-07-25 08:00:00-04:00,0.06,0.03,-49.09
2003-10-23 09:00:00-04:00,0.04,0.04,10.77
2004-01-29 09:00:00-05:00,0.04,0.06,32.88
2004-04-22 09:00:00-04:00,0.22,0.36,60.73
2004-07-22 09:00:00-04:00,0.74,0.79,7.4
2004-10-21 09:00:00-04:00,1.15,1.3,13.1
2005-01-27 09:00:00-05:00,0.98,1.06,8.52
2005-04-21 09:00:00-04:00,1.03,1.1,7.21
2005-07-21 09:00:00-04:00,0.98,1.01,3.8
2005-10-20 09:00:00-04:00,0.84,0.93,10.26
2006-01-27 09:00:00-05:00,0.93,1.09,16.69
2006-04-20 09:00:00-04:00,1.18,1.21,2.36
2006-07-21 08:00:00-04:00,1.35,1.45,7.53
2006-10-19 09:00:00-04:00,1.56,1.68,7.98
2007-01-25 09:00:00-05:00,1.13,1.35,19.26
2007-04-19 09:00:00-04:00,1.24,1.26,1.24
2007-07-19 09:00:00-04:00,1.15,1.14,-1.0
2007-10-18 09:00:00-04:00,1.16,1.29,11.21
2008-01-24 09:00:00-05:00,1.21,1.26,3.93
2008-04-17 09:00:00-04:00,1.33,1.41,6.31
2008-07-17 09:00:00-04:00,1.81,1.94,6.94
2008-10-16 09:00:00-04:00,2.19,2.31,5.41
2009-01-27 09:00:00-05:00,0.13,0.57,335.31
2009-04-23 09:00:00-04:00,-0.57,-0.6,-5.92
2009-07-23 09:00:00-04:00,-0.6,-0.43,28.83
2009-10-22 09:00:00-04:00,-0.16,-0.1,36.18
2010-01-26 09:00:00-05:00,0.07,0.2,197.35
2010-04-22 08:00:00-04:00,0.06,0.1,70.13
2010-07-22 09:00:00-04:00,0.26,0.29,13.66
2010-10-21 09:00:00-04:00,0.11,0.07,-35.46
2011-01-27 09:00:00-05:00,-0.1,-0.02,80.54
2011-04-21 09:00:00-04:00,0.35,0.5,41.49
2011-07-21 09:00:00-04:00,0.81,0.94,15.64
2011-10-20 09:00:00-04:00,0.53,0.57,7.12
2012-01-26 09:00:00-05:00,0.27,0.37,37.43
2012-04-19 09:00:00-04:00,0.39,0.42,7.96
2012-07-19 09:00:00-04:00,0.47,0.46,-2.52
2012-10-18 09:00:00-04:00,0.42,0.45,6.71
2013-01-29 09:00:00-05:00,0.3,0.45,52.22
2013-04-18 09:00:00-04:00,0.25,0.26,3.9
2013-07-18 09:00:00-04:00,0.3,0.27,-9.93
2013-10-17 09:00:00-04:00,0.39,0.46,18.72
2014-01-28 09:00:00-05:00,0.4,0.46,15.59
2014-04-24 09:00:00-04:00,0.36,0.41,12.64
2014-07-24 09:00:00-04:00,0.4,0.46,16.34
2014-10-23 09:00:00-04:00,0.75,0.76,1.53
2015-01-27 09:00:00-05:00,0.56,0.65,16.68
2015-04-23 09:00:00-04:00,0.14,0.21,48.01
2015-07-23 09:00:00-04:00,0.25,0.36,42.76
2015-10-22 09:00:00-04:00,0.49,0.7,42.29
2016-01-28 09:00:00-05:00,0.22,0.46,110.2
2016-04-21 09:00:00-04:00,0.27,0.22,-18.36
2016-07-21 09:00:00-04:00,0.7,0.73,5.04
2016-10-20 09:00:00-04:00,0.9,0.88,-2.58
2017-01-31 09:00:00-05:00,0.35,0.43,23.69
2017-04-20 09:00:00-04:00,1.13,1.13,-0.1
2017-07-20 09:00:00-04:00,1.06,1.0,-5.88
2017-10-19 09:00:00-04:00,0.79,0.79,0.47
2018-01-30 09:00:00-05:00,0.55,0.65,18.81
2018-04-19 09:00:00-04:00,1.11,1.17,4.97
2018-07-19 09:00:00-04:00,2.09,2.07,-0.77
2018-10-18 09:00:00-04:00,2.34,2.33,-0.57
2019-01-29 09:00:00-05:00,1.94,2.07,6.78
2019-04-23 07:00:00-04:00,1.51,1.55,2.62
2019-07-18 08:00:00-04:00,1.26,1.26,-0.35
2019-10-22 08:00:00-04:00,0.8,0.9,12.23
2020-01-28 08:00:00-05:00,0.31,0.52,66.74
2020-04-28 09:00:00-04:00,0.95,0.99,4.04
2020-07-23 08:00:00-04:00,0.14,0.37,174.75
2020-10-22 08:00:00-04:00,0.54,0.65,22.24
2021-01-28 08:00:00-05:00,1.19,2.35,97.53
2021-04-22 08:00:00-04:00,3.12,3.15,0.97
2021-07-22 08:00:00-04:00,4.78,5.18,8.37
2021-10-21 08:00:00-04:00,7.42,7.28,-1.89
2022-01-27 08:00:00-05:00,7.85,8.04,2.42
2022-04-21 08:00:00-04:00,7.34,7.67,4.55
2022-07-21 08:00:00-04:00,8.76,9.67,10.38
2022-10-20 08:00:00-04:00,6.53,6.5,-0.46
2023-01-26 08:00:00-05:00,4.3,4.89,13.8
2023-04-20 07:00:00-04:00,3.89,4.45,14.4
2023-07-24 16:00:00-04:00,5.57,5.81,4.35
2023-10-23 17:00:00-04:00,4.23,4.57,8.03
2024-01-29 16:00:00-05:00,2.83,3.16,11.59
2024-04-22 16:00:00-04:00,3.62,3.46,-4.49
2024-07-22 16:00:00-04:00,2.41,2.68,11.33
2024-10-21 16:00:00-04:00,1.41,1.49,5.48
2025-01-27 16:00:00-05:00,0.62,1.22,96.99
2025-04-28 16:00:00-04:00,0.66,0.77,16.87
2025-07-28 16:00:00-04:00,2.64,2.65,0.32
2025-10-27 16:00:00-04:00,2.17,2.63,21.26
2026-01-26 16:00:00-05:00,1.81,1.73,-4.37
2026-04-27 16:00:00-04:00,2.82,3.23,14.67
2026-07-27 16:00:00-04:00,4.5,,
