ts,eps_est,eps_rep,surprise_pct
2000-04-27 09:00:00-04:00,0.31,0.19,-39.34
2002-04-25 09:00:00-04:00,0.22,0.23,4.65
2002-07-25 09:00:00-04:00,0.23,0.24,4.35
2002-10-30 09:00:00-05:00,0.23,0.24,2.17
2003-02-06 09:00:00-05:00,0.25,0.25,
2004-10-27 16:00:00-04:00,0.24,0.28,15.55
2005-02-02 16:00:00-05:00,0.37,0.28,-25.0
2005-04-27 16:00:00-04:00,0.27,0.24,-9.43
2005-07-27 16:00:00-04:00,0.27,0.24,-12.41
2005-10-26 16:00:00-04:00,0.26,0.25,-3.1
2006-02-15 16:00:00-05:00,0.27,0.31,13.97
2006-05-03 16:00:00-04:00,0.27,0.27,1.89
2006-08-02 16:00:00-04:00,0.28,0.27,-2.88
2006-11-03 09:00:00-05:00,0.27,0.27,-1.1
2007-02-14 16:00:00-05:00,0.29,0.29,-1.36
2007-05-02 16:00:00-04:00,0.3,0.3,
2007-08-01 16:00:00-04:00,0.31,0.31,0.81
2007-10-31 16:00:00-04:00,0.31,0.28,-9.68
2008-02-13 16:00:00-05:00,0.29,0.24,-17.24
2008-04-30 16:00:00-04:00,0.26,0.26,
2008-07-30 16:00:00-04:00,0.25,0.27,9.46
2008-10-29 16:00:00-04:00,0.24,0.29,20.83
2009-02-11 16:00:00-05:00,0.24,0.27,14.89
2009-04-29 16:00:00-04:00,0.24,0.23,-2.13
2009-07-29 16:00:00-04:00,0.31,0.26,-14.75
2009-10-28 16:00:00-04:00,0.31,0.26,-16.13
2010-02-10 16:00:00-05:00,0.24,0.28,19.15
2010-04-28 16:00:00-04:00,0.26,0.23,-11.54
2010-07-28 16:00:00-04:00,0.24,0.23,-3.65
2010-10-27 16:00:00-04:00,0.24,0.23,-5.08
2011-02-10 09:00:00-05:00,0.25,0.24,-5.41
2011-04-28 09:00:00-04:00,0.27,0.25,-8.36
2011-07-28 09:00:00-04:00,0.27,0.25,-6.81
2011-10-27 09:00:00-04:00,0.27,0.25,-6.0
2012-02-09 09:00:00-05:00,0.26,0.26,-1.65
2012-04-26 09:00:00-04:00,0.26,0.19,-28.25
2012-07-26 09:00:00-04:00,0.25,0.22,-11.34
2012-10-25 09:00:00-04:00,0.25,0.2,-17.71
2013-02-14 09:00:00-05:00,0.24,0.23,-3.86
2013-04-25 09:00:00-04:00,0.22,0.2,-9.18
2013-07-25 09:00:00-04:00,0.21,0.21,1.52
2013-10-31 09:00:00-04:00,0.21,0.18,-15.9
2014-02-13 09:00:00-05:00,0.21,0.19,-9.61
2014-05-01 09:00:00-04:00,0.21,0.22,5.73
2014-07-24 09:00:00-04:00,0.23,0.23,-0.58
2014-10-29 17:00:00-04:00,0.23,0.21,-8.29
2015-02-17 16:00:00-05:00,0.23,0.32,42.04
2015-04-29 16:00:00-04:00,0.23,0.28,18.68
2015-07-29 16:00:00-04:00,0.25,0.26,6.83
2015-10-28 16:00:00-04:00,0.26,0.26,1.44
2016-02-10 16:00:00-05:00,0.26,0.32,22.18
2016-04-26 16:00:00-04:00,0.28,0.25,-10.13
2016-07-27 16:00:00-04:00,0.29,0.27,-6.49
2016-10-26 16:00:00-04:00,0.29,0.27,-7.6
2017-02-22 16:00:00-05:00,0.3,0.33,11.01
2017-04-25 16:00:00-04:00,0.29,0.27,-7.67
2017-07-26 16:00:00-04:00,0.32,0.3,-4.9
2017-10-25 16:00:00-04:00,0.31,0.32,3.09
2018-02-21 16:00:00-05:00,0.32,0.36,12.42
2018-05-08 16:00:00-04:00,0.33,0.29,-12.46
2018-08-01 16:00:00-04:00,0.33,0.34,4.08
2018-10-31 16:00:00-04:00,0.33,0.34,2.68
2019-02-20 16:00:00-05:00,0.3,0.35,17.95
2019-05-01 16:00:00-04:00,0.35,0.37,6.36
2019-08-05 16:00:00-04:00,0.35,0.31,-11.36
2019-11-04 16:00:00-05:00,0.34,0.32,-6.06
2020-02-19 16:00:00-05:00,0.36,0.39,9.33
2020-05-04 17:00:00-04:00,0.36,0.44,21.31
2020-08-03 16:00:00-04:00,0.29,0.31,8.26
2020-11-02 16:00:00-05:00,0.35,0.07,-80.13
2021-02-22 16:00:00-05:00,0.35,0.33,-5.62
2021-05-03 16:00:00-04:00,0.3,0.26,-13.2
2021-08-02 16:00:00-04:00,0.37,0.37,-1.0
2021-11-01 16:00:00-04:00,0.38,0.38,0.46
2022-02-22 16:00:00-05:00,0.42,0.12,-72.46
2022-05-04 16:00:00-04:00,0.43,0.35,-20.02
2022-08-03 16:00:00-04:00,0.46,0.37,-18.3
2022-11-02 16:00:00-04:00,0.3,0.36,18.86
2023-02-21 16:00:00-05:00,0.32,0.36,12.08
2023-05-03 16:00:00-04:00,0.33,0.34,3.58
2023-08-02 16:00:00-04:00,0.35,0.29,-17.13
2023-11-06 16:00:00-05:00,0.32,0.33,4.12
2024-02-20 16:00:00-05:00,0.33,0.31,-5.59
2024-05-06 16:00:00-04:00,0.43,0.26,-40.36
2024-08-05 16:00:00-04:00,0.38,0.3,-22.5
2024-11-04 16:00:00-05:00,0.34,0.31,-8.52
2025-02-24 16:00:00-05:00,0.39,0.22,-44.38
2025-05-05 16:00:00-04:00,0.33,0.28,-14.99
2025-08-06 16:00:00-04:00,0.4,0.22,-45.1
2025-11-03 16:00:00-05:00,0.4,0.36,-10.79
2026-02-24 16:00:00-05:00,0.41,0.33,-18.46
2026-05-06 16:00:00-04:00,0.42,0.34,-17.72
2026-08-05 16:00:00-04:00,0.42,,
