ts,eps_est,eps_rep,surprise_pct
2002-06-18 16:00:00-04:00,0.12,0.14,18.76
2002-06-18 16:00:00-04:00,0.14,0.15,5.4
2002-09-17 16:00:00-04:00,0.08,0.09,15.98
2002-09-17 16:00:00-04:00,0.07,0.07,-1.38
2002-12-18 16:00:00-05:00,0.08,0.1,20.0
2003-03-18 16:00:00-05:00,0.1,0.11,10.99
2003-06-12 16:00:00-04:00,0.14,0.16,14.81
2003-09-12 07:00:00-04:00,0.08,0.08,-2.39
2003-12-15 16:00:00-05:00,0.11,0.12,9.51
2004-03-11 16:00:00-05:00,0.12,0.12,0.82
2004-06-15 16:00:00-04:00,0.18,0.19,5.96
2004-09-14 16:00:00-04:00,0.09,0.1,9.51
2004-12-13 06:00:00-05:00,0.13,0.16,19.1
2005-03-22 16:00:00-05:00,0.15,0.16,6.44
2005-06-29 07:00:00-04:00,0.23,0.26,11.2
2005-09-22 17:00:00-04:00,0.14,0.14,0.21
2005-12-15 16:00:00-05:00,0.19,0.19,0.07
2006-03-20 16:00:00-05:00,0.18,0.19,5.2
2006-06-22 16:00:00-04:00,0.28,0.29,2.69
2006-09-19 16:00:00-04:00,0.16,0.18,10.82
2006-12-18 16:00:00-05:00,0.22,0.22,-0.7
2007-03-20 16:00:00-04:00,0.22,0.25,11.61
2007-06-26 16:00:00-04:00,0.35,0.37,6.8
2007-09-20 16:00:00-04:00,0.21,0.22,4.41
2007-12-19 16:00:00-05:00,0.27,0.31,15.27
2008-03-26 16:00:00-04:00,0.3,0.3,-0.12
2008-06-25 16:00:00-04:00,0.44,0.47,6.3
2008-09-18 16:00:00-04:00,0.27,0.29,8.53
2008-12-18 16:00:00-05:00,0.34,0.34,-0.41
2009-03-18 16:00:00-04:00,0.32,0.35,10.35
2009-06-23 16:00:00-04:00,0.44,0.46,3.73
2009-09-16 16:00:00-04:00,0.3,0.3,-0.28
2009-12-17 16:00:00-05:00,0.36,0.39,8.91
2010-03-25 16:00:00-04:00,0.37,0.38,1.39
2010-06-24 16:00:00-04:00,0.54,0.6,11.6
2010-09-16 16:00:00-04:00,0.37,0.42,15.04
2010-12-16 16:00:00-05:00,0.45,0.51,12.1
2011-03-24 15:00:00-04:00,0.5,0.54,9.08
2011-06-23 16:00:00-04:00,0.71,0.75,5.04
2011-09-20 16:00:00-04:00,0.47,0.48,3.13
2011-12-20 16:00:00-05:00,0.57,0.54,-5.31
2012-03-20 16:00:00-04:00,0.56,0.62,10.36
2012-06-18 17:00:00-04:00,0.78,0.82,4.7
2012-09-20 16:00:00-04:00,0.53,0.53,-0.56
2012-12-18 16:00:00-05:00,0.61,0.64,5.05
2013-03-20 16:00:00-04:00,0.66,0.65,-1.9
2013-06-20 16:00:00-04:00,0.88,0.87,-0.66
2013-09-18 16:00:00-04:00,0.56,0.59,5.12
2013-12-18 16:00:00-05:00,0.67,0.69,2.63
2014-03-18 16:00:00-04:00,0.7,0.68,-2.95
2014-06-19 16:00:00-04:00,0.95,0.92,-3.64
2014-09-18 16:00:00-04:00,0.64,0.62,-2.91
2014-12-17 16:00:00-05:00,0.68,0.69,1.05
2015-03-17 16:00:00-04:00,0.68,0.68,-0.22
2015-06-17 16:00:00-04:00,0.86,0.78,-9.79
2015-09-16 16:00:00-04:00,0.52,0.53,1.31
2015-12-16 16:00:00-05:00,0.6,0.63,4.98
2016-03-15 16:00:00-04:00,0.62,0.64,3.25
2016-06-16 16:00:00-04:00,0.82,0.81,-0.68
2016-09-15 16:00:00-04:00,0.58,0.55,-5.06
2016-12-15 16:00:00-05:00,0.6,0.61,1.74
2017-03-15 16:00:00-04:00,0.62,0.69,11.75
2017-06-21 16:00:00-04:00,0.78,0.89,13.58
