ts,eps_est,eps_rep,surprise_pct
2000-10-18 07:00:00-04:00,0.5,0.5,-0.44
2001-01-24 07:00:00-05:00,0.5,0.47,-5.47
2001-04-18 07:00:00-04:00,0.5,0.69,37.55
2001-07-19 07:00:00-04:00,0.52,0.63,19.73
2001-10-17 07:00:00-04:00,0.35,0.43,20.4
2002-02-04 08:00:00-05:00,0.05,0.05,-17.64
2003-04-22 07:00:00-04:00,0.55,0.57,3.26
2003-07-22 08:00:00-04:00,0.49,0.49,1.03
2003-10-21 07:00:00-04:00,0.51,0.57,12.2
2004-01-22 07:00:00-05:00,0.51,0.5,-2.17
2004-04-23 07:00:00-04:00,0.6,0.61,0.5
2004-07-19 07:00:00-04:00,0.69,0.73,5.8
2004-10-21 07:00:00-04:00,0.87,0.94,8.29
2005-01-24 07:00:00-05:00,0.94,0.92,-1.72
2005-04-26 07:00:00-04:00,0.99,1.07,7.97
2005-07-22 07:00:00-04:00,1.13,1.06,-5.78
2005-10-31 07:00:00-05:00,1.33,1.33,-0.67
2006-02-07 07:00:00-05:00,1.38,1.41,2.55
2006-04-25 07:00:00-04:00,1.37,1.42,3.44
2006-08-04 07:00:00-04:00,1.39,1.39,-0.14
2006-10-18 07:00:00-04:00,1.34,1.35,0.9
2007-01-25 07:00:00-05:00,0.91,0.98,8.17
2007-04-24 07:00:00-04:00,0.9,0.98,8.77
2007-07-24 07:00:00-04:00,1.1,1.18,7.66
2007-10-24 07:00:00-04:00,1.32,1.45,10.16
2008-01-29 07:00:00-05:00,1.69,1.76,4.2
2008-04-24 07:00:00-04:00,1.94,2.2,13.52
2008-07-24 07:00:00-04:00,2.76,2.79,1.16
2008-10-28 07:00:00-04:00,2.73,2.78,1.89
2009-01-29 07:00:00-05:00,0.94,1.18,25.19
2009-04-23 07:00:00-04:00,0.37,0.5,33.98
2009-07-23 07:00:00-04:00,0.79,0.85,7.73
2009-10-22 07:00:00-04:00,1.08,1.14,5.17
2010-01-28 07:00:00-05:00,1.22,1.3,6.56
2010-04-29 07:00:00-04:00,1.37,1.32,-3.33
2010-07-27 07:00:00-04:00,1.34,1.31,-2.48
2010-10-19 07:00:00-04:00,1.36,1.47,8.42
2011-01-26 07:00:00-05:00,1.54,1.58,2.91
2011-04-28 07:00:00-04:00,1.79,1.96,9.67
2011-07-26 07:00:00-04:00,2.15,2.23,3.51
2011-10-27 07:00:00-04:00,1.97,2.18,10.39
2012-01-25 07:00:00-05:00,1.93,2.02,4.43
2012-04-26 07:00:00-04:00,1.95,1.92,-1.37
2012-07-26 07:00:00-04:00,1.64,1.64,0.14
2012-10-25 07:00:00-04:00,1.63,1.7,4.46
2013-01-31 07:00:00-05:00,1.67,1.83,9.72
2013-04-25 07:00:00-04:00,1.55,1.69,8.68
2013-07-30 07:00:00-04:00,1.61,1.58,-1.56
2013-10-29 07:00:00-04:00,1.88,1.97,4.53
2014-01-30 07:00:00-05:00,1.68,1.72,2.45
2014-05-05 07:00:00-04:00,1.7,1.75,2.65
2014-07-31 07:00:00-04:00,1.76,1.79,1.47
2014-10-23 07:00:00-04:00,1.58,1.58,0.09
2015-01-29 07:00:00-05:00,0.69,0.72,4.75
2015-05-06 07:00:00-04:00,0.04,0.04,10.5
2015-07-30 07:00:00-04:00,0.23,0.21,-9.0
2015-10-28 07:00:00-04:00,-0.01,0.03,447.22
2016-02-04 07:00:00-05:00,-0.12,-0.17,-41.96
2016-05-05 06:00:00-04:00,-0.4,-0.56,-40.25
2016-08-03 07:00:00-04:00,-0.19,-0.18,5.6
2016-11-01 02:00:00-04:00,-0.12,-0.15,-21.03
2017-02-09 06:00:00-05:00,-0.03,-0.13,-395.43
2017-05-04 06:00:00-04:00,0.08,0.15,93.57
2017-08-02 16:00:00-04:00,0.12,0.15,28.11
2017-11-01 16:00:00-04:00,0.11,0.18,66.25
2018-02-13 16:00:00-05:00,0.41,0.41,0.5
2018-05-08 16:00:00-04:00,0.7,0.92,31.49
2018-08-08 16:00:00-04:00,1.21,1.1,-8.85
2018-11-05 16:00:00-05:00,1.53,1.77,15.76
2019-02-12 16:00:00-05:00,1.17,1.22,4.61
2019-05-06 06:00:00-04:00,0.71,0.84,18.33
2019-07-31 17:00:00-04:00,0.94,0.97,3.54
2019-11-04 17:00:00-05:00,0.44,0.11,-74.97
2020-02-27 16:00:00-05:00,-0.2,-0.3,-51.15
2020-05-05 16:00:00-04:00,-0.62,-0.52,15.89
2020-08-10 16:00:00-04:00,-1.7,-1.76,-3.67
2020-11-09 16:00:00-05:00,-0.72,-0.84,-16.83
2021-02-22 16:00:00-05:00,-0.58,-0.78,-33.63
2021-05-10 12:00:00-04:00,-0.33,-0.15,55.18
2021-08-03 16:00:00-04:00,0.01,0.32,2306.02
2021-11-04 16:00:00-04:00,0.66,0.87,32.39
2022-02-24 16:00:00-05:00,1.1,1.48,35.13
2022-05-10 16:00:00-04:00,2.03,2.12,4.41
2022-08-02 16:00:00-04:00,3.02,3.16,4.56
2022-11-08 16:00:00-05:00,2.47,2.44,-1.23
2023-02-27 16:00:00-05:00,1.83,1.61,-11.88
2023-05-09 16:00:00-04:00,1.27,1.09,-14.39
2023-08-02 16:00:00-04:00,0.76,0.68,-10.96
2023-11-07 16:00:00-05:00,0.86,1.18,36.6
2024-02-14 16:00:00-05:00,0.69,0.74,7.45
