ts,eps_est,eps_rep,surprise_pct
2001-10-10 07:00:00-04:00,0.46,0.48,5.49
2002-02-06 07:00:00-05:00,0.42,0.42,-0.47
2002-04-23 07:00:00-04:00,0.37,0.38,2.07
2002-07-19 06:00:00-04:00,0.52,0.52,0.57
2002-10-08 07:00:00-04:00,0.55,0.56,2.22
2003-02-06 07:00:00-05:00,0.5,0.5,0.25
2003-04-17 07:00:00-04:00,0.43,0.45,5.88
2003-07-10 07:00:00-04:00,0.58,0.58,0.46
2003-10-07 06:00:00-04:00,0.62,0.62,0.8
2004-02-05 06:00:00-05:00,0.53,0.51,-3.47
2004-04-15 06:00:00-04:00,0.46,0.46,1.1
2004-07-15 06:00:00-04:00,0.61,0.61,0.77
2004-09-30 06:00:00-04:00,0.64,0.66,2.44
2005-02-03 07:00:00-05:00,0.58,0.58,-0.39
2005-04-14 06:00:00-04:00,0.5,0.53,5.16
2005-07-12 06:00:00-04:00,0.67,0.7,4.48
2005-09-29 06:00:00-04:00,0.73,0.78,6.92
2006-02-08 06:00:00-05:00,0.65,0.65,0.35
2006-04-26 06:00:00-04:00,0.58,0.6,3.09
2006-07-13 06:00:00-04:00,0.77,0.8,3.44
2006-10-12 07:00:00-04:00,0.86,0.88,1.82
2007-02-08 06:00:00-05:00,0.72,0.72,0.17
2007-04-25 06:00:00-04:00,0.61,0.65,6.43
2007-07-24 06:00:00-04:00,0.89,0.94,5.42
2007-10-11 07:00:00-04:00,0.96,0.99,2.98
2008-02-07 06:00:00-05:00,0.8,0.8,0.63
2008-04-24 07:00:00-04:00,0.7,0.7,-0.1
2008-07-23 07:00:00-04:00,1.02,1.03,1.23
2008-10-14 07:00:00-04:00,1.08,1.06,-1.93
2009-02-13 06:00:00-05:00,0.88,0.88,0.57
2009-04-20 00:00:00-04:00,0.67,0.71,6.1
2009-07-22 06:00:00-04:00,1.0,1.02,2.34
2009-10-08 07:00:00-04:00,1.03,1.08,4.67
2010-02-11 07:00:00-05:00,0.9,0.9,-0.11
2010-04-22 06:00:00-04:00,0.75,0.76,1.09
2010-07-20 07:00:00-04:00,1.09,1.1,1.34
2010-10-07 07:00:00-04:00,1.22,1.22,0.02
2011-02-10 12:00:00-05:00,1.04,1.05,0.83
2011-04-28 07:00:00-04:00,0.73,0.74,1.57
2011-07-21 07:00:00-04:00,1.2,1.21,0.46
2011-10-12 07:00:00-04:00,1.29,1.31,1.46
2012-02-09 02:00:00-05:00,1.12,1.15,2.34
2012-04-26 07:00:00-04:00,0.67,0.69,3.74
2012-07-25 07:00:00-04:00,1.09,1.12,2.59
2012-10-17 07:00:00-04:00,1.16,1.2,3.09
2013-02-14 07:00:00-05:00,1.06,1.09,3.24
2013-04-18 07:00:00-04:00,0.7,0.77,9.77
2013-07-24 07:00:00-04:00,1.19,1.31,9.78
2013-10-16 07:00:00-04:00,1.17,1.24,5.75
2014-02-13 07:00:00-05:00,1.01,1.05,3.8
2014-04-17 07:00:00-04:00,0.75,0.83,10.42
2014-07-23 07:00:00-04:00,1.23,1.32,7.19
2014-10-09 06:00:00-04:00,1.29,1.36,5.43
2015-02-11 07:00:00-05:00,1.08,1.12,4.05
2015-04-23 07:00:00-04:00,0.79,0.83,4.76
2015-07-09 06:00:00-04:00,1.24,1.32,6.38
2015-10-06 06:00:00-04:00,1.26,1.35,6.9
2016-02-11 06:00:00-05:00,1.06,1.06,0.11
2016-04-18 06:00:00-04:00,0.81,0.89,9.44
2016-07-07 06:00:00-04:00,1.3,1.35,4.23
2016-09-29 06:00:00-04:00,1.32,1.4,6.2
2017-02-15 06:00:00-05:00,1.16,1.2,3.67
2017-04-26 06:00:00-04:00,0.92,0.94,2.59
2017-07-11 06:00:00-04:00,1.4,1.5,7.35
2017-10-04 06:00:00-04:00,1.43,1.48,3.4
2018-02-13 06:00:00-05:00,1.3,1.31,0.59
2018-04-26 06:00:00-04:00,0.93,0.96,3.24
2018-07-10 05:00:00-04:00,1.53,1.61,5.56
2018-10-02 06:00:00-04:00,1.57,1.59,1.07
2019-02-15 06:00:00-05:00,1.5,1.49,-0.5
2019-04-17 06:00:00-04:00,0.93,0.97,4.75
2019-07-09 06:00:00-04:00,1.51,1.54,2.17
2019-10-03 10:00:00-04:00,1.51,1.56,3.34
2020-02-13 06:00:00-05:00,1.45,1.45,0.05
2020-04-28 06:00:00-04:00,1.03,1.07,3.85
2020-07-13 06:00:00-04:00,1.25,1.32,5.99
2020-10-01 06:00:00-04:00,1.49,1.66,11.58
2021-02-11 08:00:00-05:00,1.46,1.47,0.7
2021-04-15 06:00:00-04:00,1.12,1.21,8.0
2021-07-13 06:00:00-04:00,1.53,1.72,12.72
2021-10-05 06:00:00-04:00,1.73,1.79,3.27
2022-02-10 06:00:00-05:00,1.52,1.53,0.92
2022-04-26 06:00:00-04:00,1.23,1.29,4.54
2022-07-12 06:00:00-04:00,1.74,1.86,7.1
2022-10-12 06:00:00-04:00,1.85,1.97,6.68
2023-02-09 06:00:00-05:00,1.65,1.67,1.22
2023-04-25 06:00:00-04:00,1.39,1.5,8.23
2023-07-13 06:00:00-04:00,1.96,2.09,6.56
2023-10-10 06:00:00-04:00,2.15,2.25,4.44
2024-02-09 06:00:00-05:00,1.72,1.78,3.43
2024-04-23 06:00:00-04:00,1.52,1.61,5.96
2024-07-11 06:00:00-04:00,2.16,2.28,5.57
2024-10-08 06:00:00-04:00,2.29,2.31,0.74
2025-02-04 06:00:00-05:00,1.94,1.96,0.9
2025-04-24 06:00:00-04:00,1.49,1.48,-0.77
2025-07-17 06:00:00-04:00,2.03,2.12,4.48
2025-10-09 06:00:00-04:00,2.26,2.29,1.33
2026-02-03 06:00:00-05:00,2.24,2.26,1.02
2026-04-16 06:00:00-04:00,1.55,1.61,3.75
2026-07-09 08:00:00-04:00,2.21,,
