ts,eps_est,eps_rep,surprise_pct
2001-10-17 06:00:00-04:00,0.33,0.34,3.29
2002-01-23 06:00:00-05:00,0.34,0.34,-0.73
2002-04-17 06:00:00-04:00,0.39,0.39,-0.85
2002-07-15 06:00:00-04:00,0.32,0.33,2.67
2002-10-16 07:00:00-04:00,0.38,0.39,2.06
2003-01-22 07:00:00-05:00,0.47,0.48,1.95
2003-04-22 06:00:00-04:00,0.44,0.45,2.38
2003-07-25 06:00:00-04:00,0.29,0.3,3.29
2003-10-22 06:00:00-04:00,0.44,0.47,7.21
2004-01-22 06:00:00-05:00,0.51,0.53,3.7
2004-04-20 06:00:00-04:00,0.51,0.52,2.56
2004-07-21 06:00:00-04:00,0.46,0.47,1.29
2004-10-20 06:00:00-04:00,0.54,0.55,1.85
2005-01-19 06:00:00-05:00,0.59,0.58,-1.69
2005-04-19 06:00:00-04:00,0.53,0.54,1.75
2005-07-20 06:00:00-04:00,0.44,0.46,3.84
2005-10-20 06:00:00-04:00,0.48,0.51,6.92
2006-01-19 06:00:00-05:00,0.42,0.51,20.67
2006-04-19 06:00:00-04:00,0.53,0.61,15.97
2006-07-20 06:00:00-04:00,0.48,0.52,8.56
2006-10-19 07:00:00-04:00,0.45,0.54,19.73
2007-01-22 06:00:00-05:00,0.42,0.43,1.42
2007-04-20 06:00:00-04:00,0.57,0.68,19.9
2007-07-18 06:00:00-04:00,0.5,0.42,-15.66
2007-10-18 06:00:00-04:00,0.52,0.58,10.71
2008-01-23 08:00:00-05:00,0.47,0.52,10.64
2008-04-17 07:00:00-04:00,0.65,0.61,-6.32
2008-07-23 07:00:00-04:00,0.54,0.55,1.72
2008-10-21 07:00:00-04:00,0.6,0.62,3.3
2009-01-26 06:00:00-05:00,0.6,0.64,7.1
2009-04-28 07:00:00-04:00,0.49,0.54,10.91
2009-07-22 07:00:00-04:00,0.46,0.48,3.52
2009-10-20 07:00:00-04:00,0.48,0.51,6.46
2010-02-03 07:00:00-05:00,0.51,0.49,-3.0
2010-05-04 07:00:00-04:00,0.53,0.6,12.83
2010-08-03 07:00:00-04:00,0.52,0.62,19.0
2010-11-02 07:00:00-04:00,0.51,0.54,5.79
2011-02-01 08:00:00-05:00,0.46,0.47,1.86
2011-05-03 07:00:00-04:00,0.58,0.6,3.68
2011-08-02 07:00:00-04:00,0.59,0.6,2.23
2011-11-01 07:00:00-04:00,0.56,0.62,11.63
2012-01-31 07:00:00-05:00,0.47,0.5,6.19
2012-05-01 07:00:00-04:00,0.57,0.58,2.45
2012-07-31 07:00:00-04:00,0.55,0.62,13.61
2012-11-01 07:00:00-04:00,0.52,0.53,1.04
2013-01-29 07:00:00-05:00,0.44,0.47,6.65
2013-04-30 07:00:00-04:00,0.55,0.54,-2.33
2013-07-30 03:00:00-04:00,0.55,0.56,2.29
2013-10-29 07:00:00-04:00,0.56,0.58,3.83
2014-01-28 07:00:00-05:00,0.53,0.56,6.51
2014-05-05 07:00:00-04:00,0.55,0.57,3.73
2014-07-29 07:00:00-04:00,0.57,0.58,2.16
2014-10-28 07:00:00-04:00,0.55,0.57,3.09
2015-01-27 07:00:00-05:00,0.53,0.54,2.33
2015-04-28 07:00:00-04:00,0.49,0.51,3.28
2015-07-28 07:00:00-04:00,0.52,0.56,8.56
2015-10-27 06:00:00-04:00,0.51,0.6,18.81
2016-02-02 06:00:00-05:00,0.52,0.53,1.4
2016-05-03 05:00:00-04:00,0.55,0.67,21.21
2016-08-02 06:00:00-04:00,0.62,0.64,2.81
2016-11-01 06:00:00-04:00,0.62,0.61,-1.6
2017-01-31 06:00:00-05:00,0.51,0.47,-7.09
2017-05-02 06:00:00-04:00,0.67,0.69,2.77
2017-08-01 06:00:00-04:00,0.66,0.67,1.7
2017-10-31 06:00:00-04:00,0.65,0.67,3.68
2018-01-30 06:00:00-05:00,0.56,0.62,10.49
2018-05-01 06:00:00-04:00,0.74,0.77,3.6
2018-07-31 06:00:00-04:00,0.74,0.81,8.88
2018-10-30 06:00:00-04:00,0.75,0.78,4.57
2019-01-29 06:00:00-05:00,0.63,0.64,1.03
2019-04-30 06:00:00-04:00,0.75,0.85,13.03
2019-07-29 06:00:00-04:00,0.75,0.8,5.97
2019-10-29 06:00:00-04:00,0.62,0.75,21.09
2020-01-28 06:00:00-05:00,0.58,0.55,-4.49
2020-04-28 06:00:00-04:00,0.73,0.8,9.98
2020-07-28 06:00:00-04:00,0.66,0.78,18.13
2020-10-27 06:00:00-04:00,0.71,0.72,0.97
2021-02-02 06:00:00-05:00,0.46,0.42,-9.65
2021-05-04 06:00:00-04:00,0.78,0.93,19.63
2021-07-28 06:00:00-04:00,0.98,1.07,9.42
2021-11-02 06:00:00-04:00,1.09,1.34,23.5
2022-02-08 06:00:00-05:00,0.87,1.08,23.6
2022-05-03 06:00:00-04:00,1.57,1.62,3.47
2022-07-28 06:00:00-04:00,1.78,2.04,14.8
2022-11-01 06:00:00-04:00,1.4,1.78,27.03
2023-01-31 06:00:00-05:00,1.04,1.14,9.4
2023-05-02 06:00:00-04:00,0.99,1.23,24.68
2023-08-01 06:00:00-04:00,0.58,0.67,15.28
2023-10-31 06:00:00-04:00,-0.34,-0.17,49.96
2024-01-30 06:00:00-05:00,-0.18,0.1,154.7
2024-05-01 06:00:00-04:00,0.51,0.82,60.11
2024-07-30 08:00:00-04:00,0.46,0.6,30.19
2024-10-29 06:00:00-04:00,0.61,1.06,73.28
2025-02-04 06:00:00-05:00,0.46,0.63,37.2
2025-04-29 06:00:00-04:00,0.67,0.92,36.49
2025-08-05 06:00:00-04:00,0.57,0.78,35.94
2025-11-04 07:00:00-05:00,0.63,0.87,37.43
2026-02-03 06:00:00-05:00,0.57,0.66,16.18
2026-05-05 06:00:00-04:00,0.72,0.75,3.93
2026-08-04 08:00:00-04:00,0.68,,
