ts,eps_est,eps_rep,surprise_pct
2011-07-28 08:00:00-04:00,0.09,0.14,64.67
2011-10-26 08:00:00-04:00,-0.05,0.09,286.37
2012-02-08 08:00:00-05:00,-0.03,-0.06,-67.06
2012-05-01 08:00:00-04:00,-0.05,-0.07,-49.5
2012-07-26 08:00:00-04:00,-0.01,-0.04,-176.65
2012-10-23 08:00:00-04:00,0.02,-0.04,-344.7
2013-02-06 08:00:00-05:00,-0.03,0.02,182.87
2013-04-24 08:00:00-04:00,0.02,-0.03,-265.11
2013-07-24 08:00:00-04:00,-0.03,-0.09,-170.03
2013-10-23 08:00:00-04:00,-0.01,-0.02,-72.71
2014-01-30 08:00:00-05:00,0.04,0.12,241.78
2014-04-22 08:00:00-04:00,0.04,0.01,-75.92
2014-07-22 08:00:00-04:00,0.08,0.13,57.79
2014-10-23 08:00:00-04:00,0.13,0.23,84.0
2015-01-27 08:00:00-05:00,0.07,0.81,1057.14
2015-04-19 16:00:00-04:00,0.13,0.65,421.91
2015-07-21 08:00:00-04:00,0.12,0.27,128.47
2015-10-20 08:00:00-04:00,0.21,0.49,129.95
2016-01-26 08:00:00-05:00,0.13,0.23,75.91
2016-04-19 08:00:00-04:00,0.11,0.39,239.46
2016-07-19 08:00:00-04:00,0.16,0.52,220.3
2016-10-20 08:00:00-04:00,0.36,0.52,46.1
2017-01-24 08:00:00-05:00,0.24,0.82,246.5
2017-04-18 08:00:00-04:00,0.31,0.38,21.39
2017-07-18 08:00:00-04:00,0.44,0.5,12.76
2017-10-17 08:00:00-04:00,0.36,0.57,56.58
2018-01-23 08:00:00-05:00,0.37,0.55,46.9
2018-04-17 08:00:00-04:00,0.38,0.68,80.9
2018-07-17 08:00:00-04:00,0.38,0.62,63.83
2018-10-16 08:00:00-04:00,0.31,0.6,91.48
2019-01-22 08:00:00-05:00,0.33,0.94,186.87
2019-04-16 08:00:00-04:00,0.35,0.55,58.22
2019-07-15 19:00:00-04:00,0.33,0.6,84.37
2019-10-15 08:00:00-04:00,0.5,0.71,43.26
2020-01-22 08:00:00-05:00,0.41,0.61,49.31
2020-04-21 09:00:00-04:00,0.42,0.7,67.12
2020-07-21 07:00:00-04:00,0.48,0.54,11.93
2020-10-20 08:00:00-04:00,0.31,0.4,28.46
2021-01-26 08:00:00-05:00,0.38,0.38,-0.88
2021-04-19 08:00:00-04:00,0.41,0.49,19.38
2021-07-19 08:00:00-04:00,0.44,0.81,82.34
2021-10-15 08:00:00-04:00,0.47,0.97,107.09
2022-01-19 08:00:00-05:00,0.63,1.67,166.29
2022-04-19 08:00:00-04:00,0.58,1.5,158.63
2022-07-18 08:00:00-04:00,0.66,0.8,22.07
2022-10-19 08:00:00-04:00,1.21,1.32,9.18
2023-01-18 08:00:00-05:00,0.54,0.62,14.91
2023-04-18 08:00:00-04:00,0.56,0.5,-9.91
2023-07-18 08:00:00-04:00,0.99,1.31,32.17
2023-10-17 08:00:00-04:00,0.59,0.8,36.17
2024-01-17 08:00:00-05:00,0.62,0.68,10.57
2024-04-17 08:00:00-04:00,0.57,0.63,10.2
2024-07-17 08:00:00-04:00,0.6,0.92,54.24
2024-10-16 08:00:00-04:00,0.64,1.08,68.27
2025-01-21 08:00:00-05:00,0.68,1.37,100.81
2025-04-16 08:00:00-04:00,0.63,0.62,-1.33
2025-07-16 08:00:00-04:00,0.73,0.6,-18.54
2025-10-15 08:00:00-04:00,0.73,0.8,8.84
2026-01-21 08:00:00-05:00,0.69,1.46,112.3
2026-04-16 08:00:00-04:00,0.72,1.03,41.56
2026-07-16 08:00:00-04:00,0.79,,
