ts,eps_est,eps_rep,surprise_pct
2008-04-23 06:00:00-04:00,0.77,0.89,15.02
2008-07-23 06:00:00-04:00,0.83,0.86,3.84
2008-10-22 06:00:00-04:00,0.89,0.93,4.38
2009-02-04 10:00:00-05:00,0.62,0.71,14.89
2009-04-23 07:00:00-04:00,0.69,0.74,6.78
2009-07-23 07:00:00-04:00,0.77,0.83,8.41
2009-10-22 06:00:00-04:00,0.91,0.93,2.55
2010-02-11 10:00:00-05:00,0.79,0.81,2.92
2010-04-22 05:00:00-04:00,0.92,0.9,-2.7
2010-07-22 06:00:00-04:00,0.97,1.0,3.18
2010-10-21 06:00:00-04:00,1.01,1.0,-1.06
2011-02-10 10:00:00-05:00,0.96,0.97,1.16
2011-04-21 06:00:00-04:00,1.05,1.06,1.14
2011-07-21 06:00:00-04:00,1.22,1.34,10.27
2011-10-20 09:00:00-04:00,1.23,1.37,10.94
2012-02-09 10:00:00-05:00,1.09,1.1,1.37
2012-04-19 06:00:00-04:00,1.2,1.27,6.06
2012-07-19 06:00:00-04:00,1.35,1.36,0.78
2012-10-18 06:00:00-04:00,1.39,1.38,-0.8
2013-02-07 10:00:00-05:00,1.22,1.28,4.69
2013-04-18 06:00:00-04:00,1.35,1.29,-4.16
2013-07-18 06:00:00-04:00,1.41,1.3,-7.78
2013-10-17 06:00:00-04:00,1.44,1.44,-0.01
2014-02-06 10:00:00-05:00,1.37,1.37,0.29
2014-04-17 06:00:00-04:00,1.16,1.19,2.31
2014-07-17 06:00:00-04:00,1.24,1.41,14.03
2014-10-16 06:00:00-04:00,1.33,1.39,4.21
2015-02-05 10:00:00-05:00,1.06,1.03,-2.95
2015-04-16 06:00:00-04:00,1.01,1.16,14.48
2015-07-16 06:00:00-04:00,1.13,1.21,6.84
2015-10-15 06:00:00-04:00,1.11,1.24,11.65
2016-02-04 06:00:00-05:00,0.81,0.81,0.6
2016-04-19 05:00:00-04:00,1.11,0.98,-11.59
2016-07-19 06:00:00-04:00,1.19,1.15,-3.71
2016-10-18 06:00:00-04:00,1.23,1.25,1.41
2017-02-02 06:00:00-05:00,1.11,1.1,-0.63
2017-04-20 06:00:00-04:00,1.03,0.98,-5.11
2017-07-20 06:00:00-04:00,1.23,1.14,-7.13
2017-10-19 06:00:00-04:00,1.38,1.27,-8.21
2018-02-08 06:00:00-05:00,1.35,1.32,-2.24
2018-04-19 06:00:00-04:00,0.88,1.0,13.56
2018-07-19 06:00:00-04:00,1.23,1.41,14.87
2018-10-18 06:00:00-04:00,1.29,1.44,11.84
2019-02-07 09:00:00-05:00,1.16,1.25,7.4
2019-04-18 06:00:00-04:00,1.01,1.09,8.33
2019-07-18 06:00:00-04:00,1.33,1.46,10.07
2019-10-17 06:00:00-04:00,1.36,1.43,5.21
2020-02-06 06:00:00-05:00,1.21,1.22,0.9
2020-04-21 06:00:00-04:00,1.13,1.21,6.92
2020-07-21 06:00:00-04:00,1.1,1.29,17.39
2020-10-20 06:00:00-04:00,1.36,1.42,4.45
2021-02-04 07:00:00-05:00,1.21,1.26,3.9
2021-04-20 06:00:00-04:00,1.39,1.57,12.9
2021-07-20 06:00:00-04:00,1.55,1.57,1.47
2021-10-19 06:00:00-04:00,1.56,1.58,1.4
2022-02-10 06:00:00-05:00,1.33,1.35,1.71
2022-04-21 06:00:00-04:00,1.49,1.56,4.42
2022-07-21 06:00:00-04:00,1.25,1.48,18.47
2022-10-20 06:00:00-04:00,1.36,1.53,12.56
2023-02-09 06:00:00-05:00,1.28,1.39,8.87
2023-04-20 06:00:00-04:00,1.34,1.38,2.64
2023-07-20 06:00:00-04:00,1.48,1.6,8.36
2023-10-19 06:00:00-04:00,1.61,1.67,3.48
2024-02-08 07:00:00-05:00,1.45,1.36,-6.28
2024-04-23 06:00:00-04:00,1.41,1.5,6.47
2024-07-23 07:00:00-04:00,1.56,1.59,2.03
2024-10-22 07:00:00-04:00,1.82,1.91,4.9
2025-02-06 06:00:00-05:00,1.5,1.55,3.42
2025-04-23 06:00:00-04:00,1.61,1.69,4.79
2025-07-22 07:00:00-04:00,1.86,1.91,2.8
2025-10-21 07:00:00-04:00,2.1,2.24,6.88
2026-02-06 07:00:00-05:00,1.7,1.7,
2026-04-22 07:00:00-04:00,1.83,1.96,7.07
2026-07-22 08:00:00-04:00,2.06,,
