ts,eps_est,eps_rep,surprise_pct
2001-10-18 07:00:00-04:00,1.06,1.05,-0.66
2002-01-17 13:00:00-05:00,1.01,1.01,0.28
2002-04-19 07:00:00-04:00,1.08,1.11,2.87
2002-07-18 08:00:00-04:00,1.11,1.12,0.81
2002-10-17 07:00:00-04:00,1.03,1.0,-3.1
2003-01-16 07:00:00-05:00,0.95,0.92,-2.93
2003-04-17 07:00:00-04:00,0.93,0.92,-0.65
2003-07-21 08:00:00-04:00,0.69,0.65,-6.25
2003-10-16 08:00:00-04:00,0.96,1.0,4.23
2004-01-21 07:00:00-05:00,0.99,0.99,0.25
2004-04-21 08:00:00-04:00,0.98,0.99,0.92
2004-07-21 07:00:00-04:00,1.03,1.07,3.88
2004-10-20 07:00:00-04:00,0.94,0.91,-2.88
2005-01-21 07:00:00-05:00,1.0,1.08,7.89
2005-04-21 06:00:00-04:00,1.1,1.24,13.11
2005-07-19 16:00:00-04:00,0.99,0.98,-1.11
2005-10-20 07:00:00-04:00,1.0,1.14,13.5
2006-01-19 06:00:00-05:00,1.11,1.2,7.88
2006-04-20 07:00:00-04:00,1.18,1.19,1.1
2006-07-19 06:00:00-04:00,1.23,1.28,4.07
2006-10-31 06:00:00-05:00,2.59,5.01,93.52
2007-01-23 06:00:00-05:00,1.29,1.27,-1.78
2007-04-18 06:00:00-04:00,1.15,1.46,26.96
2007-07-19 06:00:00-04:00,1.34,1.22,-9.11
2007-10-18 06:00:00-04:00,1.34,1.19,-11.3
2008-01-17 06:00:00-05:00,0.72,0.52,-28.08
2008-04-17 06:00:00-04:00,1.31,1.09,-16.95
2008-07-17 06:00:00-04:00,1.18,1.45,22.88
2008-10-16 06:00:00-04:00,0.68,0.71,4.8
2009-02-03 07:00:00-05:00,-0.46,-0.77,-67.39
2009-04-23 06:00:00-04:00,0.39,1.03,167.53
2009-07-23 06:00:00-04:00,0.39,0.14,-64.1
2009-10-22 06:00:00-04:00,0.31,1.0,222.58
2010-01-21 06:00:00-05:00,2.3,2.17,-5.65
2010-04-22 05:00:00-04:00,0.53,1.31,146.83
2010-07-22 06:00:00-04:00,1.26,1.6,27.19
2010-10-21 06:00:00-04:00,1.38,1.56,13.21
2011-01-20 06:00:00-05:00,1.35,1.6,18.37
2011-04-21 06:00:00-04:00,1.38,1.57,13.85
2011-07-20 06:00:00-04:00,1.45,1.67,15.06
2011-10-19 07:00:00-04:00,1.5,1.55,3.42
2012-01-18 07:00:00-05:00,1.39,0.85,-38.82
2012-04-18 06:00:00-04:00,1.44,1.49,3.44
2012-07-18 07:00:00-04:00,1.23,1.68,36.45
2012-10-16 06:00:00-04:00,1.65,1.64,-0.58
2013-01-17 06:00:00-05:00,1.43,1.56,9.42
2013-04-17 06:00:00-04:00,1.56,1.76,12.87
2013-07-17 06:00:00-04:00,1.62,1.99,22.96
2013-10-16 06:00:00-04:00,1.62,1.79,10.31
2014-01-16 06:00:00-05:00,1.65,1.85,11.96
2014-04-16 06:00:00-04:00,1.67,1.82,9.22
2014-07-16 06:00:00-04:00,1.78,1.85,3.8
2014-10-15 06:00:00-04:00,1.71,1.79,4.95
2015-01-16 06:00:00-05:00,1.74,1.84,5.76
2015-04-15 06:00:00-04:00,1.72,1.75,2.01
2015-07-15 06:00:00-04:00,1.77,1.88,6.51
2015-10-14 06:00:00-04:00,1.79,1.9,6.38
2016-01-15 06:00:00-05:00,1.8,1.87,4.03
2016-04-14 06:00:00-04:00,1.7,1.68,-1.29
2016-07-15 06:00:00-04:00,1.76,1.82,3.45
2016-10-14 06:00:00-04:00,1.78,1.84,3.41
2017-01-13 06:00:00-05:00,1.85,1.97,6.73
2017-04-13 06:00:00-04:00,1.83,1.96,6.85
2017-07-14 06:00:00-04:00,2.02,2.1,3.94
2017-10-13 06:00:00-04:00,2.13,2.16,1.64
2018-01-12 06:00:00-05:00,3.69,4.18,13.25
2018-04-13 06:00:00-04:00,2.43,2.43,-0.19
2018-07-13 06:00:00-04:00,2.58,2.72,5.52
2018-10-12 06:00:00-04:00,2.72,2.82,3.53
2019-01-16 06:00:00-05:00,2.79,2.75,-1.4
2019-04-12 06:00:00-04:00,2.62,2.61,-0.29
2019-07-17 06:00:00-04:00,2.83,2.88,1.86
2019-10-16 06:00:00-04:00,2.81,2.94,4.76
2020-01-15 06:00:00-05:00,2.94,2.97,0.91
2020-04-15 12:00:00-04:00,2.14,1.95,-8.69
2020-07-15 06:00:00-04:00,10.2,8.4,-17.65
2020-10-14 06:00:00-04:00,2.13,3.39,58.96
2021-01-15 06:00:00-05:00,2.61,3.26,24.89
2021-04-16 06:00:00-04:00,2.76,4.1,48.45
2021-07-14 06:00:00-04:00,1.78,2.43,36.84
2021-10-15 06:00:00-04:00,3.36,3.3,-1.92
2022-01-18 06:00:00-05:00,3.15,2.86,-9.11
2022-04-14 06:00:00-04:00,2.75,3.23,17.33
2022-07-15 06:00:00-04:00,3.14,3.39,8.04
2022-10-14 06:00:00-04:00,3.7,3.78,2.16
2023-01-18 06:00:00-05:00,3.95,3.47,-12.08
2023-04-14 06:00:00-04:00,3.64,3.98,9.31
2023-07-18 06:00:00-04:00,3.28,3.36,2.49
2023-10-13 06:00:00-04:00,3.11,3.6,15.89
2024-01-16 06:00:00-05:00,2.04,1.85,-9.44
2024-04-16 06:00:00-04:00,2.99,3.1,3.75
2024-07-16 06:00:00-04:00,3.68,3.39,-8.0
2024-10-15 06:00:00-04:00,3.32,3.49,5.02
2025-01-16 06:00:00-05:00,3.35,3.77,12.65
2025-04-15 06:00:00-04:00,3.38,3.51,3.95
2025-07-16 06:00:00-04:00,3.55,3.85,8.48
2025-10-15 06:00:00-04:00,4.05,4.35,7.52
2026-01-16 06:00:00-05:00,4.21,4.88,15.87
2026-04-15 06:00:00-04:00,3.95,4.13,4.64
2026-07-15 08:00:00-04:00,4.41,,
