ts,eps_est,eps_rep,surprise_pct
2001-10-19 07:00:00-04:00,0.26,0.28,5.21
2002-01-17 08:00:00-05:00,0.21,0.25,14.44
2002-04-18 07:00:00-04:00,0.27,0.29,7.41
2002-07-18 07:00:00-04:00,0.39,0.45,12.8
2002-10-17 07:00:00-04:00,0.39,0.39,0.78
2003-01-16 10:00:00-05:00,0.29,0.28,-0.73
2003-04-17 08:00:00-04:00,0.26,0.26,-0.45
2003-07-17 08:00:00-04:00,0.43,0.47,8.46
2003-10-16 08:00:00-04:00,0.4,0.43,8.14
2004-01-15 09:00:00-05:00,0.37,0.38,3.26
2004-04-15 07:00:00-04:00,0.29,0.35,17.68
2004-07-15 07:00:00-04:00,0.54,0.55,1.02
2004-10-22 08:00:00-04:00,0.52,0.57,11.43
2005-01-20 09:00:00-05:00,0.51,0.55,6.76
2005-04-21 08:00:00-04:00,0.53,0.55,3.38
2005-07-21 07:00:00-04:00,0.7,0.71,2.01
2005-10-20 08:00:00-04:00,0.57,0.57,0.52
2006-01-19 08:00:00-05:00,0.42,0.43,1.9
2006-04-20 08:00:00-04:00,0.54,0.64,18.63
2006-07-20 08:00:00-04:00,0.75,0.81,7.26
2006-10-19 08:00:00-04:00,0.63,0.64,1.11
2007-01-18 08:00:00-05:00,0.51,0.48,-5.23
2007-04-19 08:00:00-04:00,0.55,0.6,9.19
2007-07-19 08:00:00-04:00,0.77,0.77,-0.2
2007-10-18 08:00:00-04:00,0.68,0.69,0.15
2008-01-17 09:00:00-05:00,0.56,0.59,5.53
2008-04-17 08:00:00-04:00,0.54,0.54,-1.74
2008-07-17 08:00:00-04:00,0.77,0.81,5.6
2008-10-16 07:00:00-04:00,0.63,0.69,8.22
2009-01-16 09:00:00-05:00,0.2,0.21,3.87
2009-04-16 10:00:00-04:00,0.07,0.1,41.79
2009-07-16 08:00:00-04:00,0.37,0.46,22.64
2009-10-15 08:00:00-04:00,0.45,0.49,8.5
2010-01-21 08:00:00-05:00,0.37,0.43,17.33
2010-04-15 07:00:00-04:00,0.32,0.35,8.98
2010-07-15 08:00:00-04:00,0.74,0.82,11.17
2010-10-21 08:00:00-04:00,0.72,0.8,10.69
2011-01-20 08:00:00-05:00,0.56,0.63,11.05
2011-04-21 08:00:00-04:00,0.67,0.7,4.98
2011-07-21 08:00:00-04:00,1.01,1.06,4.61
2011-10-20 08:00:00-04:00,0.96,0.98,2.23
2012-01-19 08:00:00-05:00,0.64,0.65,1.63
2012-04-19 08:00:00-04:00,0.88,0.91,3.01
2012-07-19 07:00:00-04:00,1.17,1.18,0.54
2012-10-18 08:00:00-04:00,1.1,1.12,2.03
2013-01-14 18:00:00-05:00,0.77,0.77,-0.2
2013-04-18 08:00:00-04:00,0.78,0.79,1.48
2013-07-18 08:00:00-04:00,1.17,1.23,4.39
2013-10-17 08:00:00-04:00,1.17,1.22,3.94
2014-01-16 08:00:00-05:00,0.87,0.91,4.59
2014-04-17 08:00:00-04:00,0.94,0.99,5.77
2014-07-17 08:00:00-04:00,1.39,1.42,1.91
2014-10-16 08:00:00-04:00,1.38,1.41,2.48
2015-01-15 08:00:00-05:00,0.99,1.06,6.2
2015-04-16 08:00:00-04:00,1.17,1.19,1.5
2015-07-16 06:00:00-04:00,1.64,1.67,1.8
2015-10-15 06:00:00-04:00,1.6,1.61,0.83
2016-01-21 06:00:00-05:00,1.22,1.23,0.42
2016-04-21 06:00:00-04:00,1.3,1.31,0.76
2016-07-21 06:00:00-04:00,1.85,1.85,-0.01
2016-10-20 06:00:00-04:00,1.56,1.56,0.31
2017-01-19 06:00:00-05:00,1.18,1.19,0.63
2017-04-20 06:00:00-04:00,1.32,1.35,2.61
2017-07-20 06:00:00-04:00,1.83,1.83,0.2
2017-10-19 06:00:00-04:00,1.53,1.52,-0.43
2018-01-18 06:00:00-05:00,1.18,1.19,0.44
2018-04-19 09:00:00-04:00,1.4,1.39,-0.43
2018-07-19 06:00:00-04:00,1.88,1.9,1.08
2018-10-18 06:00:00-04:00,1.46,1.45,-0.72
2019-01-17 06:00:00-05:00,1.1,1.15,4.88
2019-04-18 06:00:00-04:00,1.21,1.38,14.13
2019-07-18 06:00:00-04:00,1.83,1.85,1.26
2019-10-17 06:00:00-04:00,1.61,1.67,3.81
2020-01-16 06:00:00-05:00,1.34,1.31,-2.21
2020-04-27 16:00:00-04:00,1.16,1.19,2.19
2020-07-16 16:00:00-04:00,0.71,0.99,39.77
2020-10-19 16:00:00-04:00,1.92,1.93,0.67
2021-01-21 16:00:00-05:00,1.58,1.59,0.66
2021-04-15 16:00:00-04:00,1.55,1.88,21.28
2021-07-19 16:00:00-04:00,2.18,1.94,-11.13
2021-10-20 16:00:00-04:00,1.59,1.69,6.52
2022-01-20 16:00:00-05:00,1.19,1.26,5.69
2022-04-21 16:00:00-04:00,1.11,1.37,23.38
2022-07-21 16:00:00-04:00,1.73,1.81,4.88
2022-10-19 16:00:00-04:00,1.65,1.66,0.9
2023-01-19 16:00:00-05:00,1.13,1.22,8.18
2023-04-20 16:00:00-04:00,1.55,1.82,17.21
2023-07-20 16:00:00-04:00,2.14,2.25,4.91
2023-10-18 16:00:00-04:00,1.94,2.07,6.81
2024-01-18 16:00:00-05:00,1.5,1.53,2.21
2024-04-18 16:00:00-04:00,1.86,1.86,-0.25
2024-07-18 16:00:00-04:00,2.48,2.5,0.61
2024-10-16 16:00:00-04:00,2.15,2.13,-0.86
2025-01-30 18:00:00-05:00,1.63,1.61,-1.48
2025-04-29 16:00:00-04:00,1.62,1.72,6.05
2025-07-29 16:00:00-04:00,2.22,2.22,-0.01
2025-10-28 16:00:00-04:00,2.08,2.13,2.26
2026-01-27 16:00:00-05:00,1.58,1.51,-4.37
2026-04-28 16:00:00-04:00,1.77,1.83,3.65
2026-07-28 16:00:00-04:00,2.25,,
