ts,eps_est,eps_rep,surprise_pct
2001-11-06 16:00:00-05:00,0.13,0.12,-8.0
2002-01-24 16:00:00-05:00,0.11,0.12,1.77
2002-04-24 07:00:00-04:00,0.1,0.1,
2002-07-25 16:00:00-04:00,0.11,0.12,7.69
2002-11-07 16:00:00-05:00,0.14,0.16,12.83
2003-01-22 16:00:00-05:00,0.19,0.21,11.46
2003-04-23 16:00:00-04:00,0.18,0.19,6.15
2003-07-23 16:00:00-04:00,0.15,0.17,11.0
2003-11-05 16:00:00-05:00,0.15,0.14,-0.89
2004-01-21 16:00:00-05:00,0.24,0.26,7.14
2004-04-21 16:00:00-04:00,0.25,0.27,8.16
2004-07-21 16:00:00-04:00,0.26,0.28,7.95
2004-11-03 16:00:00-05:00,0.28,0.29,1.75
2005-01-19 16:00:00-05:00,0.27,0.28,4.48
2005-04-20 16:00:00-04:00,0.27,0.29,6.62
2005-07-20 16:00:00-04:00,0.25,0.28,10.4
2005-11-02 16:00:00-05:00,0.33,0.32,-2.14
2006-01-25 16:00:00-05:00,0.38,0.39,2.24
2006-04-19 16:00:00-04:00,0.4,0.41,3.21
2006-07-19 16:00:00-04:00,0.41,0.42,1.47
2006-11-02 16:00:00-05:00,0.41,0.42,1.94
2007-01-24 16:00:00-05:00,0.42,0.43,1.58
2007-04-25 16:00:00-04:00,0.48,0.5,3.31
2007-07-25 16:00:00-04:00,0.51,0.55,7.0
2007-11-08 16:00:00-05:00,0.53,0.54,1.89
2008-01-23 16:00:00-05:00,0.53,0.52,-1.14
2008-04-23 16:00:00-04:00,0.52,0.54,3.65
2008-07-23 19:00:00-04:00,0.55,0.55,0.22
2008-11-06 16:00:00-05:00,0.6,0.63,5.35
2009-01-28 16:00:00-05:00,0.47,0.31,-34.32
2009-04-27 07:00:00-04:00,0.39,0.42,7.96
2009-07-22 16:00:00-04:00,0.51,0.54,4.95
2009-11-04 16:00:00-05:00,0.52,0.64,23.49
2010-01-27 16:00:00-05:00,0.56,0.62,10.88
2010-04-21 15:00:00-04:00,0.56,0.59,5.23
2010-07-21 16:00:00-04:00,0.53,0.57,6.75
2010-11-03 16:00:00-04:00,0.58,0.68,16.55
2011-01-26 16:00:00-05:00,0.72,0.82,14.09
2011-04-20 16:00:00-04:00,0.8,0.86,6.98
2011-07-20 16:00:00-04:00,0.71,0.73,2.82
2011-11-02 16:00:00-04:00,0.78,0.8,2.71
2012-02-01 16:00:00-05:00,0.9,0.97,7.67
2012-04-18 16:00:00-04:00,0.96,1.01,5.59
2012-07-18 16:00:00-04:00,0.86,0.85,-1.4
2012-11-07 16:00:00-05:00,0.82,0.89,8.81
2013-01-30 16:00:00-05:00,1.12,1.26,12.19
2013-04-24 16:00:00-04:00,1.17,1.17,0.08
2013-07-24 16:00:00-04:00,1.03,1.03,0.17
2013-11-06 16:00:00-05:00,1.08,1.05,-3.08
2014-01-29 16:00:00-05:00,1.19,1.01,-14.88
2014-04-23 16:00:00-04:00,1.22,1.31,7.06
2014-07-23 16:00:00-04:00,1.21,1.44,19.35
2014-11-05 16:00:00-05:00,1.31,1.26,-3.93
2015-01-28 16:00:00-05:00,1.25,1.34,6.87
2015-04-22 16:00:00-04:00,1.33,1.4,5.04
2015-07-22 16:00:00-04:00,0.95,0.99,4.62
2015-11-04 16:00:00-05:00,0.86,0.91,5.64
2016-01-27 16:00:00-05:00,0.91,0.97,7.09
2016-04-20 16:00:00-04:00,0.96,1.04,7.79
2016-07-20 12:00:00-04:00,0.97,1.16,19.09
2016-11-02 16:00:00-04:00,1.11,1.28,15.21
2017-01-25 16:00:00-05:00,1.18,1.19,0.58
2017-04-19 16:00:00-04:00,1.2,1.34,12.01
2017-07-19 16:00:00-04:00,0.81,0.83,2.94
2017-11-01 17:00:00-04:00,0.81,0.92,13.27
2018-01-31 16:00:00-05:00,0.91,0.98,7.45
2018-04-25 16:00:00-04:00,0.7,0.8,14.87
2018-07-25 16:00:00-04:00,0.71,0.75,5.92
2018-11-07 17:00:00-05:00,0.83,0.9,8.64
2019-01-30 16:00:00-05:00,1.09,1.2,10.45
2019-05-01 16:00:00-04:00,0.71,0.77,8.68
2019-07-31 16:00:00-04:00,0.77,0.8,4.44
2019-11-06 16:00:00-05:00,0.71,0.78,9.46
2020-02-05 16:00:00-05:00,0.85,0.99,16.15
2020-04-29 16:00:00-04:00,0.8,0.88,9.65
2020-07-29 16:00:00-04:00,0.71,0.86,20.56
2020-11-04 16:00:00-05:00,1.18,1.45,22.83
2021-02-03 16:00:00-05:00,2.1,2.17,3.27
2021-04-28 02:00:00-04:00,1.67,1.9,14.09
2021-07-28 16:00:00-04:00,1.68,1.92,14.11
2021-11-03 16:00:00-04:00,2.26,2.55,12.82
2022-02-02 16:00:00-05:00,3.0,3.23,7.59
2022-04-27 16:00:00-04:00,2.92,3.21,10.08
2022-07-27 16:00:00-04:00,2.87,2.96,3.13
2022-11-02 16:00:00-04:00,3.13,3.13,-0.13
2023-02-02 16:00:00-05:00,2.35,2.37,0.72
2023-05-03 16:00:00-04:00,2.16,2.15,-0.24
2023-08-02 16:00:00-04:00,1.81,1.87,3.35
2023-11-01 16:00:00-04:00,1.91,2.02,5.93
2024-01-31 16:00:00-05:00,2.37,2.75,16.1
2024-05-01 16:00:00-04:00,2.32,2.44,5.31
2024-07-31 16:00:00-04:00,2.26,2.33,3.32
2024-11-06 16:00:00-05:00,2.57,2.69,4.74
2025-02-05 16:00:00-05:00,2.99,3.41,14.2
2025-04-30 16:00:00-04:00,2.82,2.85,1.19
2025-07-30 16:00:00-04:00,2.71,2.77,2.05
2025-11-05 16:00:00-05:00,2.88,3.0,4.32
2026-02-04 16:00:00-05:00,3.4,3.5,2.87
2026-04-29 16:00:00-04:00,2.56,2.65,3.58
2026-07-29 16:00:00-04:00,2.22,,
