ts,eps_est,eps_rep,surprise_pct
2001-10-30 07:00:00-05:00,0.74,0.82,11.25
2002-01-29 08:00:00-05:00,-0.22,-0.2,7.19
2002-04-24 07:00:00-04:00,0.26,0.27,4.25
2002-07-25 08:00:00-04:00,0.28,0.34,20.14
2002-10-23 08:00:00-04:00,0.99,0.99,0.41
2003-01-30 07:00:00-05:00,0.01,0.03,172.73
2003-04-23 08:00:00-04:00,0.23,0.27,19.39
2003-07-28 07:00:00-04:00,0.15,0.28,83.8
2003-10-27 08:00:00-05:00,0.96,0.97,0.55
2004-01-29 07:00:00-05:00,-0.07,-0.1,-47.93
2004-04-21 07:00:00-04:00,0.42,0.47,13.25
2004-07-28 07:00:00-04:00,0.53,0.59,11.55
2004-10-21 07:00:00-04:00,1.27,1.33,4.4
2005-02-01 07:00:00-05:00,-0.03,-0.13,-303.98
2005-04-21 07:00:00-04:00,0.55,0.63,14.82
2005-07-27 07:00:00-04:00,0.57,0.71,24.67
2005-10-26 08:00:00-04:00,1.45,1.45,-0.2
2006-02-02 07:00:00-05:00,-0.23,-0.02,91.22
2006-04-21 07:00:00-04:00,0.4,0.39,-2.04
2006-07-27 07:00:00-04:00,0.54,0.57,6.15
2006-10-31 07:00:00-05:00,1.59,1.63,2.7
2007-02-05 08:00:00-05:00,0.2,0.22,8.48
2007-05-01 08:00:00-04:00,0.07,0.04,-38.46
2007-07-26 08:00:00-04:00,0.6,0.6,0.17
2007-10-22 08:00:00-04:00,1.78,1.84,3.29
2008-01-30 08:00:00-05:00,0.34,0.33,-3.42
2008-04-24 08:00:00-04:00,0.27,0.35,30.07
2008-07-21 16:00:00-04:00,0.4,0.4,0.08
2008-10-28 08:00:00-04:00,1.62,1.92,18.45
2009-01-29 08:00:00-05:00,0.07,0.01,-84.62
2009-04-23 08:00:00-04:00,-0.33,-0.17,49.17
2009-07-29 08:00:00-04:00,-0.14,-0.16,-10.34
2009-11-03 08:00:00-05:00,1.01,1.07,6.17
2010-01-28 08:00:00-05:00,-0.06,0.02,135.66
2010-04-28 08:00:00-04:00,-0.07,0.01,115.0
2010-07-22 08:00:00-04:00,0.19,0.28,50.05
2010-10-26 08:00:00-04:00,1.57,1.64,4.52
2011-01-27 08:00:00-05:00,0.13,0.2,55.65
