ts,eps_est,eps_rep,surprise_pct
2017-11-08 16:00:00-05:00,-4.88,-8.79,-80.12
2018-02-21 16:00:00-05:00,-0.11,0.08,170.37
2018-05-09 16:00:00-04:00,-0.15,-0.07,54.84
2018-08-08 16:00:00-04:00,-0.15,,100.0
2018-11-07 16:00:00-05:00,-0.11,-0.09,20.04
2019-02-21 16:00:00-05:00,0.04,0.05,20.77
2019-05-10 16:00:00-04:00,-0.25,-0.09,64.0
2019-08-07 16:00:00-04:00,-0.2,-0.08,59.79
2019-11-06 17:00:00-05:00,-0.23,-0.22,2.61
2020-02-13 16:00:00-05:00,-0.11,-0.13,-19.45
2020-05-07 16:00:00-04:00,-0.46,-0.45,2.39
2020-08-05 16:00:00-04:00,-0.53,-0.35,33.6
2020-11-05 16:00:00-05:00,-0.42,0.09,121.32
2021-02-18 16:00:00-05:00,-0.02,0.49,3030.62
2021-05-06 16:00:00-04:00,-0.12,0.54,537.64
2021-08-04 16:00:00-04:00,0.14,0.52,269.48
2021-11-03 16:00:00-04:00,0.06,0.48,691.03
2022-02-17 16:00:00-05:00,0.04,0.17,369.22
2022-04-28 16:00:00-04:00,-0.21,-0.19,8.25
2022-07-28 16:00:00-04:00,-0.68,-0.82,-20.18
2022-11-02 16:00:00-04:00,-1.22,-0.88,28.03
2023-02-15 16:00:00-05:00,-1.72,-1.7,0.92
2023-04-26 16:00:00-04:00,-1.48,-1.16,22.02
2023-07-27 16:00:00-04:00,-1.28,-0.76,40.31
2023-11-01 16:00:00-04:00,-1.93,-0.33,82.79
2024-02-15 16:00:00-05:00,-0.58,-0.26,55.62
2024-04-26 16:00:00-04:00,-0.64,-0.34,46.66
2024-08-01 16:00:00-04:00,-0.44,-0.18,60.16
2024-10-30 16:00:00-04:00,-0.34,0.07,119.12
2025-02-13 16:00:00-05:00,-0.43,-0.24,44.19
2025-05-01 16:00:00-04:00,-0.25,-0.19,24.75
2025-07-31 16:00:00-04:00,-0.16,0.07,144.14
2025-10-30 16:00:00-04:00,0.09,0.16,71.43
2026-02-12 16:00:00-05:00,0.28,0.53,92.23
2026-04-30 16:00:00-04:00,0.35,0.57,64.42
2026-07-30 16:00:00-04:00,0.56,,
