ts,eps_est,eps_rep,surprise_pct
2001-10-16 07:00:00-04:00,0.56,0.56,0.36
2002-01-17 07:00:00-05:00,0.33,0.35,3.76
2002-04-17 07:00:00-04:00,0.45,0.46,2.44
2002-07-17 07:00:00-04:00,0.6,0.62,2.5
2002-10-17 07:00:00-04:00,0.6,0.61,1.68
2003-01-16 07:00:00-05:00,0.52,0.53,1.34
2003-04-17 07:00:00-04:00,0.49,0.5,2.67
2003-07-17 07:00:00-04:00,0.62,0.63,2.03
2003-10-16 07:00:00-04:00,0.62,0.64,2.42
2004-01-20 07:00:00-05:00,0.56,0.58,2.84
2004-04-21 07:00:00-04:00,0.56,0.57,1.97
2004-07-21 07:00:00-04:00,0.79,0.83,5.06
2004-10-20 07:00:00-04:00,0.71,0.72,1.27
2005-01-21 07:00:00-05:00,0.64,0.69,7.15
2005-04-20 07:00:00-04:00,0.63,0.66,4.63
2005-07-20 07:00:00-04:00,0.85,0.86,1.42
2005-10-18 07:00:00-04:00,0.79,0.81,2.66
2006-01-24 07:00:00-05:00,0.71,0.71,0.57
2006-04-19 07:00:00-04:00,0.73,0.76,4.59
2006-07-18 07:00:00-04:00,1.01,1.02,1.39
2006-10-17 07:00:00-04:00,0.96,1.01,4.99
2007-01-23 07:00:00-05:00,0.85,0.87,2.59
2007-04-18 07:00:00-04:00,0.81,0.82,1.76
2007-07-18 07:00:00-04:00,1.15,1.16,1.06
2007-10-17 07:00:00-04:00,1.16,1.17,0.66
2008-01-23 07:00:00-05:00,1.06,1.12,5.25
2008-04-17 07:00:00-04:00,1.01,1.03,2.26
2008-07-17 07:00:00-04:00,1.3,1.32,1.49
2008-10-16 07:00:00-04:00,1.32,1.33,1.09
2009-01-21 07:00:00-05:00,1.23,1.23,0.28
2009-04-21 07:00:00-04:00,0.77,0.78,0.87
2009-07-21 07:00:00-04:00,1.04,1.05,1.05
2009-10-20 07:00:00-04:00,1.12,1.14,1.9
2010-01-27 07:00:00-05:00,1.14,1.15,0.81
2010-04-21 06:00:00-04:00,0.91,0.93,2.49
2010-07-21 07:00:00-04:00,1.16,1.2,3.41
2010-10-20 07:00:00-04:00,1.28,1.3,1.63
2011-01-26 06:00:00-05:00,1.29,1.31,1.3
2011-04-20 06:00:00-04:00,1.07,1.11,3.79
2011-07-20 06:00:00-04:00,1.41,1.4,-0.48
2011-10-19 06:00:00-04:00,1.44,1.43,-0.94
2012-01-25 06:00:00-05:00,1.46,1.35,-7.63
2012-04-24 06:00:00-04:00,1.19,1.61,34.97
2012-07-26 08:00:00-04:00,1.41,1.58,12.32
2012-10-23 06:00:00-04:00,1.18,1.37,15.83
2013-01-23 06:00:00-05:00,1.03,1.29,25.07
2013-04-23 06:00:00-04:00,1.3,1.28,-1.34
2013-07-23 06:00:00-04:00,1.57,1.65,4.77
2013-10-22 06:00:00-04:00,1.54,1.63,5.81
2014-01-22 06:00:00-05:00,1.53,1.67,9.08
2014-04-22 07:00:00-04:00,1.27,1.32,3.65
2014-07-22 06:00:00-04:00,1.78,1.84,3.14
2014-10-21 06:00:00-04:00,1.81,2.04,13.01
2015-01-26 16:00:00-05:00,1.62,1.62,0.25
2015-04-21 06:00:00-04:00,1.46,1.58,8.57
2015-07-21 07:00:00-04:00,1.71,1.73,0.89
2015-10-20 06:00:00-04:00,1.56,1.61,2.89
2016-01-27 06:00:00-05:00,1.52,1.53,0.63
2016-04-27 06:00:00-04:00,1.4,1.47,5.32
2016-07-26 06:00:00-04:00,1.68,1.82,8.2
2016-10-25 06:00:00-04:00,1.67,1.76,5.63
2017-01-25 06:00:00-05:00,1.56,1.56,-0.07
2017-04-26 06:00:00-04:00,1.39,1.48,6.55
2017-07-25 06:00:00-04:00,1.77,1.85,4.29
2017-10-24 06:00:00-04:00,1.69,1.73,2.36
2018-01-24 06:00:00-05:00,1.56,1.6,2.48
2018-04-24 06:00:00-04:00,1.52,1.77,16.33
2018-07-24 06:00:00-04:00,1.85,1.97,6.2
2018-10-23 06:00:00-04:00,1.82,1.93,5.98
2019-01-23 06:00:00-05:00,1.53,1.95,27.49
2019-04-23 06:00:00-04:00,1.72,1.91,10.89
2019-07-23 06:00:00-04:00,2.05,2.2,7.11
2019-10-22 06:00:00-04:00,2.03,2.21,9.08
2020-01-28 06:00:00-05:00,1.84,1.94,5.33
2020-05-07 07:00:00-04:00,1.33,1.78,33.99
2020-07-28 06:00:00-04:00,0.12,0.4,231.51
2020-10-27 06:00:00-04:00,0.5,0.58,15.79
2021-01-26 06:00:00-05:00,0.69,0.74,6.82
2021-04-27 06:00:00-04:00,0.83,0.9,8.15
2021-07-27 06:00:00-04:00,0.93,1.03,10.91
2021-10-26 06:00:00-04:00,1.09,1.26,16.0
2022-01-25 06:00:00-05:00,1.02,1.08,5.72
2022-04-26 06:00:00-04:00,1.02,1.15,13.11
