ts,eps_est,eps_rep,surprise_pct
2002-01-24 16:00:00-05:00,0.04,0.04,1.11
2002-04-25 16:00:00-04:00,0.03,0.03,10.0
2002-04-25 16:00:00-04:00,0.02,0.02,
2002-07-25 16:00:00-04:00,0.03,0.04,5.52
2002-11-14 16:00:00-05:00,0.04,0.04,0.83
2003-01-23 16:00:00-05:00,0.05,0.05,9.89
2003-04-24 16:00:00-04:00,0.03,0.03,-1.52
2003-07-24 16:00:00-04:00,0.04,0.04,3.66
2003-11-13 16:00:00-05:00,0.04,0.04,-1.16
2004-01-21 16:00:00-05:00,0.06,0.07,5.47
2004-04-21 16:00:00-04:00,0.04,0.05,9.2
2004-07-21 16:00:00-04:00,0.05,0.06,10.93
2004-11-10 16:00:00-05:00,0.06,0.06,-0.53
2005-01-26 16:00:00-05:00,0.09,0.09,2.34
2005-04-27 16:00:00-04:00,0.06,0.06,-0.83
2005-07-27 16:00:00-04:00,0.07,0.08,3.94
2005-11-17 16:00:00-05:00,0.07,0.08,6.91
2006-02-01 16:00:00-05:00,0.13,0.12,-4.0
2006-05-03 16:00:00-04:00,0.07,0.08,12.87
2006-08-02 16:00:00-04:00,0.09,0.09,-1.09
2006-11-16 16:00:00-05:00,0.08,0.09,0.66
2007-01-31 16:00:00-05:00,0.13,0.13,1.17
2007-05-03 16:00:00-04:00,0.1,0.1,-2.43
2007-08-01 16:00:00-04:00,0.11,0.11,-0.75
2007-11-15 16:00:00-05:00,0.1,0.11,0.46
2008-01-30 16:00:00-05:00,0.14,0.14,1.91
2008-04-30 16:00:00-04:00,0.08,0.08,-2.6
2008-07-30 16:00:00-04:00,0.09,0.08,-11.6
2008-11-10 16:00:00-05:00,0.06,0.05,-22.23
2009-01-28 16:00:00-05:00,0.08,0.08,-9.09
2009-04-29 16:00:00-04:00,0.08,0.08,5.78
2009-07-21 16:00:00-04:00,0.1,0.12,25.08
2009-11-05 16:00:00-05:00,0.1,0.12,15.38
2010-01-20 16:00:00-05:00,0.14,0.17,18.1
2010-04-21 15:00:00-04:00,0.12,0.14,17.73
2010-07-21 16:00:00-04:00,0.14,0.14,0.81
2010-11-04 16:00:00-04:00,0.16,0.19,16.1
2011-01-26 16:00:00-05:00,0.2,0.23,15.21
2011-04-27 16:00:00-04:00,0.17,0.17,0.9
2011-07-28 16:00:00-04:00,0.17,0.18,6.06
2011-11-03 16:00:00-04:00,0.18,0.19,1.84
2012-01-26 16:00:00-05:00,0.24,0.25,3.23
2012-04-26 16:00:00-04:00,0.2,0.2,1.99
2012-07-26 16:00:00-04:00,0.23,0.22,-4.71
2012-11-01 16:00:00-04:00,0.23,0.23,1.96
2013-01-24 16:00:00-05:00,0.29,0.28,-0.27
2013-04-25 16:00:00-04:00,0.24,0.24,-1.17
2013-07-25 16:00:00-04:00,0.27,0.28,3.21
2013-10-30 16:00:00-04:00,0.3,0.3,0.97
2014-01-23 16:00:00-05:00,0.35,0.34,-0.31
2014-04-24 16:00:00-04:00,0.28,0.28,0.84
2014-07-24 16:00:00-04:00,0.33,0.34,1.18
2014-10-30 16:00:00-04:00,0.37,0.37,-0.45
2015-01-22 16:00:00-05:00,0.4,0.4,-0.38
2015-04-23 16:00:00-04:00,0.33,0.34,3.72
2015-07-23 16:00:00-04:00,0.41,0.42,2.58
2015-10-29 16:00:00-04:00,0.43,0.43,-1.03
2016-01-21 16:00:00-05:00,0.45,0.46,2.21
2016-04-21 16:00:00-04:00,0.39,0.39,-0.05
2016-07-21 16:00:00-04:00,0.49,0.49,0.63
2016-11-03 16:00:00-04:00,0.55,0.56,2.08
2017-01-26 16:00:00-05:00,0.52,0.52,0.03
2017-04-27 16:00:00-04:00,0.45,0.45,0.28
2017-07-27 16:00:00-04:00,0.55,0.55,-0.15
2017-11-02 16:00:00-04:00,0.55,0.55,0.73
2018-01-25 16:00:00-05:00,0.57,0.58,1.48
2018-04-26 16:00:00-04:00,0.53,0.53,-0.01
2018-07-26 16:00:00-04:00,0.6,0.62,3.02
2018-11-01 16:00:00-04:00,0.6,0.62,4.01
2019-01-24 16:00:00-05:00,0.65,0.75,15.21
2019-04-25 16:00:00-04:00,0.57,0.6,6.13
2019-07-25 16:00:00-04:00,0.73,0.78,7.47
2019-10-30 16:00:00-04:00,0.7,0.7,-0.04
2020-01-28 16:00:00-05:00,0.76,0.79,4.08
2020-04-28 17:00:00-04:00,0.32,0.32,0.89
2020-07-28 16:00:00-04:00,-0.61,-0.46,24.71
2020-10-29 16:00:00-04:00,0.31,0.51,63.68
2021-01-26 16:00:00-05:00,0.55,0.61,10.28
2021-04-27 16:00:00-04:00,0.53,0.62,16.61
2021-07-27 16:00:00-04:00,0.78,1.01,29.49
2021-10-28 16:00:00-04:00,1.0,1.0,0.45
