ts,eps_est,eps_rep,surprise_pct
2001-10-16 08:00:00-04:00,0.05,0.06,19.33
2002-01-15 08:00:00-05:00,0.08,0.08,4.73
2002-04-16 08:00:00-04:00,0.08,0.08,-0.95
2002-07-16 08:00:00-04:00,0.08,0.07,-6.67
2002-10-15 08:00:00-04:00,0.07,0.07,-5.41
2003-01-21 08:00:00-05:00,0.08,0.07,-17.04
2003-04-22 08:00:00-04:00,0.05,0.05,-1.96
2003-07-23 08:00:00-04:00,0.09,0.09,1.74
2003-10-21 08:00:00-04:00,0.1,0.11,11.48
2004-01-22 08:00:00-05:00,0.11,0.11,-3.51
2004-04-20 16:00:00-04:00,0.12,0.12,1.21
2004-07-20 08:00:00-04:00,0.09,0.08,-14.09
2004-10-15 08:00:00-04:00,0.08,0.08,1.69
2005-01-18 08:00:00-05:00,0.11,0.12,6.93
2005-04-15 08:00:00-04:00,0.12,0.12,-0.46
2005-07-18 08:00:00-04:00,0.13,0.14,8.56
2005-10-17 08:00:00-04:00,0.15,0.16,6.23
2006-01-18 08:00:00-05:00,0.15,0.14,-4.12
2006-04-17 08:00:00-04:00,0.19,0.19,0.16
2006-07-18 08:00:00-04:00,0.2,0.19,-3.14
2006-10-16 08:00:00-04:00,0.2,0.21,4.64
2007-01-17 08:00:00-05:00,0.21,0.21,-0.16
2007-04-17 08:00:00-04:00,0.22,0.22,1.28
2007-07-17 08:00:00-04:00,0.23,0.23,0.2
2007-10-15 08:00:00-04:00,0.26,0.27,5.58
2008-01-16 08:00:00-05:00,0.26,0.26,-1.76
2008-04-15 08:00:00-04:00,0.26,0.26,0.23
2008-07-16 08:00:00-04:00,0.26,0.26,-0.41
2008-10-15 08:00:00-04:00,0.23,0.26,11.44
2009-01-16 08:00:00-05:00,0.26,0.28,9.02
2009-04-15 08:00:00-04:00,0.16,0.21,35.3
2009-07-16 08:00:00-04:00,0.18,0.18,-0.92
2009-10-15 08:00:00-04:00,0.17,0.17,-2.24
2010-01-19 16:00:00-05:00,0.15,0.14,-4.76
2010-04-15 07:00:00-04:00,0.11,0.1,-10.41
2010-07-16 08:00:00-04:00,0.15,0.17,11.6
2010-10-15 08:00:00-04:00,0.12,0.1,-16.39
2011-01-18 12:00:00-05:00,0.14,0.18,31.42
2011-04-15 08:00:00-04:00,0.19,0.2,6.64
2011-07-18 04:00:00-04:00,0.2,0.2,1.72
2011-10-17 09:00:00-04:00,0.19,0.18,-7.01
2012-01-18 08:00:00-05:00,0.13,0.13,-0.45
2012-04-16 08:00:00-04:00,0.15,0.15,-2.74
2012-07-17 08:00:00-04:00,0.17,0.18,3.72
2012-10-15 08:00:00-04:00,0.17,0.17,2.86
2013-01-16 08:00:00-05:00,0.15,0.15,-0.35
2013-04-15 08:00:00-04:00,0.16,0.15,-4.88
2013-07-16 09:00:00-04:00,0.19,0.18,-3.74
2013-10-15 08:00:00-04:00,0.2,0.22,8.11
2014-01-16 08:00:00-05:00,0.21,0.23,10.86
2014-04-15 08:00:00-04:00,0.22,0.24,9.86
2014-07-16 08:00:00-04:00,0.23,0.23,2.06
2014-10-15 08:00:00-04:00,0.24,0.25,2.52
2015-01-16 08:00:00-05:00,0.24,0.24,-1.82
2015-04-15 08:00:00-04:00,0.24,0.22,-7.53
2015-07-16 08:00:00-04:00,0.24,0.25,5.37
2015-10-15 08:00:00-04:00,0.26,0.27,2.19
2016-01-19 08:00:00-05:00,0.25,0.27,5.99
2016-04-15 08:00:00-04:00,0.29,0.29,-0.19
2016-07-18 08:00:00-04:00,0.3,0.3,0.91
2016-10-17 08:00:00-04:00,0.33,0.34,1.5
2017-01-18 08:00:00-05:00,0.36,0.36,0.65
2017-04-18 08:00:00-04:00,0.36,0.39,7.03
2017-07-18 08:00:00-04:00,0.39,0.39,0.2
2017-10-16 08:00:00-04:00,0.41,0.42,3.02
2018-01-17 08:00:00-05:00,0.41,0.44,6.07
2018-04-16 08:00:00-04:00,0.54,0.55,1.95
2018-07-17 08:00:00-04:00,0.58,0.6,3.7
2018-10-15 08:00:00-04:00,0.65,0.65,0.76
2019-01-16 08:00:00-05:00,0.64,0.65,1.42
2019-04-15 08:00:00-04:00,0.65,0.69,5.58
2019-07-16 08:00:00-04:00,0.65,0.66,0.93
2019-10-15 08:00:00-04:00,0.64,0.7,9.59
2020-01-16 08:00:00-05:00,0.64,0.62,-2.64
2020-04-15 09:00:00-04:00,0.63,0.62,-0.96
2020-07-16 08:00:00-04:00,0.53,0.54,1.11
2020-10-15 08:00:00-04:00,0.47,0.51,7.75
2021-01-19 08:00:00-05:00,0.7,0.74,5.41
2021-04-15 08:00:00-04:00,0.82,0.84,2.0
2021-07-16 08:00:00-04:00,0.72,0.7,-2.3
2021-10-15 08:00:00-04:00,0.81,0.84,3.4
2022-01-18 08:00:00-05:00,0.88,0.86,-2.56
2022-04-18 08:00:00-04:00,0.84,0.77,-8.35
2022-07-18 08:00:00-04:00,0.91,0.97,6.9
2022-10-17 08:00:00-04:00,1.05,1.1,4.34
2023-01-18 08:00:00-05:00,1.09,1.07,-1.68
2023-04-17 16:00:00-04:00,0.9,0.93,3.34
2023-07-18 07:00:00-04:00,0.71,0.75,5.69
2023-10-16 08:00:00-04:00,0.74,0.77,3.86
2024-01-17 07:00:00-05:00,0.64,0.68,6.37
2024-04-15 08:00:00-04:00,0.73,0.74,0.73
2024-07-16 07:00:00-04:00,0.72,0.73,1.14
2024-10-15 07:00:00-04:00,0.75,0.77,2.61
2025-01-21 16:00:00-05:00,0.91,1.01,10.46
2025-04-17 07:00:00-04:00,1.01,1.04,3.17
2025-07-18 07:00:00-04:00,1.1,1.14,3.81
2025-10-16 07:00:00-04:00,1.25,1.31,5.21
2026-01-21 07:00:00-05:00,1.39,1.39,-0.27
2026-04-16 07:00:00-04:00,1.4,1.43,2.48
2026-07-21 08:00:00-04:00,1.51,,
