ts,eps_est,eps_rep,surprise_pct
2015-07-30 07:00:00-04:00,-0.01,,65.91
2015-11-04 07:00:00-05:00,-0.01,,50.98
2016-02-17 07:00:00-05:00,-0.01,,81.58
2016-05-04 07:00:00-04:00,-0.01,-0.01,31.97
2016-08-03 07:00:00-04:00,-0.01,,47.23
2016-11-02 07:00:00-04:00,,,35.48
2017-02-15 07:00:00-05:00,,,100.0
2017-05-02 07:00:00-04:00,-0.01,,60.67
2017-08-01 07:00:00-04:00,-0.01,,85.03
2017-10-31 07:00:00-04:00,,0.01,345.1
2018-02-15 07:00:00-05:00,,0.02,217.12
2018-05-01 07:00:00-04:00,-0.01,,179.84
2018-07-31 07:00:00-04:00,,,180.97
2018-10-25 07:00:00-04:00,,,227.39
2019-02-12 07:00:00-05:00,0.02,0.03,26.95
2019-04-30 07:00:00-04:00,,0.01,300.45
2019-08-01 07:00:00-04:00,,0.01,230.19
2019-10-29 07:00:00-04:00,0.01,-0.03,-372.56
2020-02-12 07:00:00-05:00,0.02,0.04,80.98
2020-05-06 08:00:00-04:00,-0.02,0.02,210.53
2020-07-29 07:00:00-04:00,,0.11,4116.87
2020-10-29 07:00:00-04:00,0.05,0.11,123.54
2021-02-17 07:00:00-05:00,0.12,0.16,30.9
2021-04-28 07:00:00-04:00,0.07,0.2,172.14
2021-07-28 07:00:00-04:00,0.1,0.22,132.49
2021-10-28 07:00:00-04:00,0.12,0.08,-33.37
2022-02-16 07:00:00-05:00,0.13,0.14,3.53
2022-05-05 07:00:00-04:00,0.07,0.02,-69.42
2022-07-27 07:00:00-04:00,0.03,-0.03,-195.75
2022-10-27 07:00:00-04:00,-0.07,-0.02,71.76
2023-02-15 16:00:00-05:00,-0.02,0.07,479.2
2023-05-04 07:00:00-04:00,-0.04,0.01,127.28
2023-08-02 16:00:00-04:00,0.05,0.14,181.07
2023-11-02 07:00:00-04:00,0.14,0.24,65.76
2024-02-13 07:00:00-05:00,0.3,0.34,13.12
2024-05-08 07:00:00-04:00,0.17,0.2,17.92
2024-08-07 07:00:00-04:00,0.2,0.26,29.05
2024-11-12 07:00:00-05:00,0.18,0.64,254.9
2025-02-11 07:00:00-05:00,0.43,0.44,1.78
2025-05-08 07:00:00-04:00,0.26,0.25,-4.47
2025-08-06 07:00:00-04:00,0.29,0.35,22.15
2025-11-04 07:00:00-05:00,0.34,0.34,0.61
2026-02-11 07:00:00-05:00,0.51,0.48,-5.71
2026-05-05 07:00:00-04:00,0.33,0.36,8.56
2026-08-05 08:00:00-04:00,0.4,,
