ts,eps_est,eps_rep,surprise_pct
2002-04-18 09:00:00-04:00,0.08,0.08,1.27
2002-04-18 09:00:00-04:00,0.07,0.08,10.84
2002-07-18 09:00:00-04:00,0.23,0.23,2.04
2002-07-18 09:00:00-04:00,0.19,0.21,7.08
2002-10-22 09:00:00-04:00,0.23,0.24,3.99
2003-02-06 09:00:00-05:00,0.13,0.13,-2.84
2003-04-22 09:00:00-04:00,0.07,0.07,-5.49
2003-07-22 09:00:00-04:00,0.25,0.25,0.27
2003-10-28 09:00:00-05:00,0.26,0.27,4.72
2004-02-05 09:00:00-05:00,0.15,0.16,7.47
2004-04-29 09:00:00-04:00,0.11,0.12,2.44
2004-07-22 09:00:00-04:00,0.29,0.29,1.52
2004-10-21 09:00:00-04:00,0.3,0.31,1.18
2005-02-03 09:00:00-05:00,0.18,0.19,6.21
2005-04-14 08:00:00-04:00,0.16,0.16,2.32
2005-07-21 09:00:00-04:00,0.34,0.36,4.48
2005-10-25 09:00:00-04:00,0.37,0.36,-2.33
2006-01-26 09:00:00-05:00,0.18,0.21,18.83
2006-04-20 09:00:00-04:00,0.25,0.27,10.44
2006-07-20 09:00:00-04:00,0.42,0.44,5.98
2006-10-19 09:00:00-04:00,0.42,0.43,3.17
2007-01-25 09:00:00-05:00,0.22,0.24,8.31
2007-04-19 09:00:00-04:00,0.28,0.28,-0.34
2007-07-19 09:00:00-04:00,0.48,0.51,5.8
2007-10-23 09:00:00-04:00,0.5,0.52,4.32
2008-01-29 09:00:00-05:00,0.28,0.29,4.41
2008-04-22 09:00:00-04:00,0.2,0.21,7.34
2008-07-17 09:00:00-04:00,0.46,0.52,13.17
2008-10-16 09:00:00-04:00,0.42,0.5,18.02
2009-01-22 09:00:00-05:00,0.18,0.2,13.58
2009-04-16 09:00:00-04:00,0.07,0.11,49.11
2009-07-21 09:00:00-04:00,0.44,0.45,2.11
2009-10-20 07:00:00-04:00,0.45,0.5,11.9
2010-01-26 07:00:00-05:00,0.17,0.24,35.88
2010-04-22 07:00:00-04:00,0.13,0.13,1.39
2010-07-22 08:00:00-04:00,0.54,0.57,5.27
2010-10-26 08:00:00-04:00,0.55,0.53,-3.67
2011-01-25 08:00:00-05:00,0.22,0.25,15.41
2011-04-21 08:00:00-04:00,0.17,0.21,21.58
2011-07-21 08:00:00-04:00,0.59,0.55,-6.36
2011-10-25 08:00:00-04:00,0.57,0.57,0.86
2012-01-26 08:00:00-05:00,0.28,0.29,5.21
2012-04-19 08:00:00-04:00,0.31,0.32,0.99
2012-07-19 08:00:00-04:00,0.71,0.72,2.54
2012-10-25 08:00:00-04:00,0.73,0.75,2.13
2013-01-31 08:00:00-05:00,0.38,0.38,-0.82
2013-04-18 08:00:00-04:00,0.37,0.37,0.57
