ts,eps_est,eps_rep,surprise_pct
2001-10-23 07:00:00-04:00,0.19,0.17,-8.6
2002-01-22 07:00:00-05:00,0.17,0.16,-3.18
2002-04-17 18:00:00-04:00,0.18,0.18,-1.24
2002-07-17 19:00:00-04:00,0.16,0.17,7.59
2002-10-16 18:00:00-04:00,0.16,0.15,-5.61
2003-01-21 20:00:00-05:00,0.15,0.13,-17.22
2003-04-22 18:00:00-04:00,0.12,0.13,6.03
2003-07-22 18:00:00-04:00,0.16,0.19,20.55
2003-10-21 18:00:00-04:00,0.2,0.21,4.0
2004-01-23 06:00:00-05:00,0.21,0.25,16.4
2004-04-23 06:00:00-04:00,0.23,0.24,0.25
2004-07-23 06:00:00-04:00,0.24,0.24,-1.17
2004-10-22 06:00:00-04:00,0.27,0.26,-2.05
2005-01-25 06:00:00-05:00,0.28,0.3,4.88
2005-04-26 06:00:00-04:00,0.31,0.33,5.92
2005-07-22 06:00:00-04:00,0.33,0.39,17.12
2005-10-21 06:00:00-04:00,0.43,0.43,0.7
2006-01-19 20:00:00-05:00,0.48,0.53,9.38
2006-04-21 06:00:00-04:00,0.55,0.59,7.71
2006-07-21 06:00:00-04:00,0.63,0.73,15.18
2006-10-20 06:00:00-04:00,0.77,0.81,5.26
2007-01-19 06:00:00-05:00,0.85,0.92,8.35
2007-04-20 06:00:00-04:00,0.9,0.96,6.14
2007-07-20 06:00:00-04:00,0.96,1.02,6.32
2007-10-19 06:00:00-04:00,1.06,1.09,3.01
2008-01-18 06:00:00-05:00,1.13,1.11,-1.37
2008-04-18 06:00:00-04:00,1.12,1.06,-5.0
2008-07-18 06:00:00-04:00,1.13,1.16,2.83
2008-10-17 06:00:00-04:00,1.25,1.25,0.18
2009-01-23 06:00:00-05:00,1.04,1.03,-1.41
2009-04-24 06:00:00-04:00,0.73,0.78,6.44
2009-07-24 06:00:00-04:00,0.64,0.68,6.72
2009-10-23 06:00:00-04:00,0.63,0.65,3.99
2010-01-22 06:00:00-05:00,0.64,0.67,4.99
2010-04-23 05:00:00-04:00,0.61,0.62,0.91
2010-07-23 06:00:00-04:00,0.68,0.68,-0.39
2010-10-22 06:00:00-04:00,0.69,0.7,0.87
2011-01-21 06:00:00-05:00,0.78,0.85,8.73
2011-04-21 05:00:00-04:00,0.77,0.71,-7.4
2011-07-22 06:00:00-04:00,0.85,0.87,2.5
2011-10-21 06:00:00-04:00,1.01,0.98,-2.75
2012-01-20 06:00:00-05:00,1.09,1.11,2.16
2012-04-20 06:00:00-04:00,0.99,0.98,-0.88
2012-07-20 06:00:00-04:00,1.0,1.05,4.97
2012-10-19 06:00:00-04:00,1.07,1.08,1.39
2013-01-18 06:00:00-05:00,1.08,1.08,0.35
2013-04-19 06:00:00-04:00,0.99,1.01,1.97
2013-07-19 06:00:00-04:00,1.1,1.15,4.37
2013-10-18 06:00:00-04:00,1.24,1.29,3.78
2014-01-17 06:00:00-05:00,1.32,1.35,1.92
2014-04-17 05:00:00-04:00,1.2,1.21,0.58
2014-07-17 16:00:00-04:00,1.35,1.37,1.15
2014-10-16 16:00:00-04:00,1.46,1.49,2.28
2015-01-15 16:00:00-05:00,1.45,1.5,3.43
2015-04-16 16:00:00-04:00,0.89,1.06,19.07
2015-07-16 16:00:00-04:00,0.79,0.88,11.3
2015-10-15 16:00:00-04:00,0.77,0.78,1.74
2016-01-21 16:00:00-05:00,0.62,0.65,4.09
2016-04-21 16:00:00-04:00,0.39,0.4,3.12
2016-07-21 16:00:00-04:00,0.21,0.23,8.25
2016-10-20 16:00:00-04:00,0.22,0.25,14.01
2017-01-20 07:00:00-05:00,0.27,0.27,1.53
2017-04-21 07:00:00-04:00,0.25,0.25,0.8
2017-07-21 07:00:00-04:00,0.3,0.35,17.74
2017-10-20 07:00:00-04:00,0.42,0.42,0.77
2018-01-19 07:00:00-05:00,0.44,0.48,8.33
2018-04-20 07:00:00-04:00,0.37,0.38,3.35
2018-07-20 07:00:00-04:00,0.43,0.43,1.14
2018-10-19 07:00:00-04:00,0.45,0.46,1.91
2019-01-18 07:00:00-05:00,0.37,0.36,-3.37
2019-04-18 07:00:00-04:00,0.3,0.3,-0.96
2019-07-19 07:00:00-04:00,0.35,0.35,0.47
2019-10-18 06:00:00-04:00,0.4,0.43,6.56
2020-01-17 06:00:00-05:00,0.37,0.39,6.84
2020-04-17 06:00:00-04:00,0.24,0.25,2.96
2020-07-24 06:00:00-04:00,-0.01,0.05,486.1
2020-10-16 04:00:00-04:00,0.13,0.16,25.94
2021-01-22 06:00:00-05:00,0.17,0.22,29.07
2021-04-23 06:00:00-04:00,0.19,0.21,12.76
2021-07-23 06:00:00-04:00,0.26,0.3,15.79
2021-10-22 06:00:00-04:00,0.36,0.36,0.83
2022-01-21 06:00:00-05:00,0.39,0.41,5.07
2022-04-22 06:00:00-04:00,0.33,0.34,2.0
2022-07-22 06:00:00-04:00,0.4,0.5,25.09
2022-10-21 06:00:00-04:00,0.55,0.63,14.32
2023-01-20 07:00:00-05:00,0.68,0.71,4.9
2023-04-21 06:00:00-04:00,0.61,0.63,3.59
2023-07-21 06:00:00-04:00,0.71,0.72,1.0
2023-10-20 06:00:00-04:00,0.77,0.78,1.62
2024-01-19 06:00:00-05:00,0.83,0.86,3.23
2024-04-19 06:00:00-04:00,0.75,0.75,0.14
2024-07-19 06:00:00-04:00,0.83,0.85,2.55
2024-10-18 06:00:00-04:00,0.88,0.89,0.63
2025-01-17 06:00:00-05:00,0.9,0.92,2.01
2025-04-25 06:00:00-04:00,0.73,0.72,-1.34
2025-07-18 06:00:00-04:00,0.73,0.74,1.68
2025-10-17 06:00:00-04:00,0.66,0.69,3.95
2026-01-23 06:00:00-05:00,0.74,0.78,4.96
2026-04-24 06:00:00-04:00,0.51,0.52,1.13
2026-07-24 08:00:00-04:00,0.52,,
