ts,eps_est,eps_rep,surprise_pct
2017-05-10 16:00:00-04:00,-0.2,-0.21,-2.37
2017-08-10 16:00:00-04:00,-0.14,-0.16,-14.24
2017-11-07 16:00:00-05:00,-0.15,-0.14,5.5
2018-02-06 16:00:00-05:00,-0.16,-0.13,17.79
2018-05-01 16:00:00-04:00,-0.31,-0.3,2.36
2018-08-07 16:00:00-04:00,-0.17,-0.14,18.89
2018-10-25 16:00:00-04:00,-0.14,-0.12,13.97
2019-02-05 16:00:00-05:00,-0.08,-0.04,48.01
2019-04-23 16:00:00-04:00,-0.12,-0.1,16.96
2019-07-23 16:00:00-04:00,-0.1,-0.06,37.43
2019-10-22 16:00:00-04:00,-0.05,-0.04,26.2
2020-02-04 16:00:00-05:00,0.01,0.03,363.68
2020-04-21 17:00:00-04:00,-0.21,-0.21,-2.16
2020-07-21 16:00:00-04:00,-0.22,-0.23,-3.59
2020-10-20 16:00:00-04:00,-0.18,-0.14,21.23
2021-02-04 16:00:00-05:00,0.07,0.09,33.97
2021-04-22 16:00:00-04:00,-0.05,,100.0
2021-07-22 16:00:00-04:00,-0.01,0.1,920.34
2021-10-21 16:00:00-04:00,0.08,0.17,117.86
2022-02-03 16:00:00-05:00,0.1,0.22,115.77
2022-04-21 16:00:00-04:00,-0.18,-0.22,-20.8
2022-07-21 16:00:00-04:00,-0.21,-0.26,-26.68
2022-10-20 16:00:00-04:00,-0.01,0.08,1051.25
2023-01-31 16:00:00-05:00,0.12,0.14,16.0
2023-04-27 16:00:00-04:00,-0.01,0.01,168.68
2023-07-25 16:00:00-04:00,-0.25,-0.24,2.41
2023-10-24 16:00:00-04:00,-0.24,-0.23,4.81
2024-02-06 16:00:00-05:00,-0.17,-0.15,12.24
2024-04-25 16:00:00-04:00,-0.26,-0.19,27.63
2024-08-01 16:00:00-04:00,0.02,0.02,-2.2
2024-10-29 16:00:00-04:00,0.05,0.08,55.16
2025-02-04 16:00:00-05:00,0.14,0.16,13.59
2025-04-29 16:00:00-04:00,-0.13,-0.08,40.32
2025-08-05 16:00:00-04:00,-0.15,-0.16,-5.06
2025-11-05 16:00:00-05:00,-0.12,-0.06,50.58
2026-02-04 16:00:00-05:00,0.15,0.19,22.79
2026-05-06 16:00:00-04:00,-0.07,-0.05,25.37
2026-08-04 16:00:00-04:00,-0.12,,
