ts,eps_est,eps_rep,surprise_pct
2001-10-22 12:00:00-04:00,0.8,0.8,0.63
2002-01-24 07:00:00-05:00,0.14,0.16,12.68
2002-04-18 07:00:00-04:00,0.28,0.32,13.07
2002-07-22 08:00:00-04:00,0.42,0.47,11.9
2002-10-30 07:00:00-05:00,0.79,0.84,7.01
2003-01-27 07:00:00-05:00,0.16,0.23,45.57
2003-04-30 07:00:00-04:00,0.33,0.41,24.24
2003-07-29 07:00:00-04:00,0.45,0.49,9.62
2003-10-21 07:00:00-04:00,0.78,0.85,9.68
2004-01-29 07:00:00-05:00,0.17,0.22,31.74
2004-04-28 07:00:00-04:00,0.37,0.45,23.29
2004-07-28 07:00:00-04:00,0.49,0.48,-1.23
2004-10-21 07:00:00-04:00,0.87,0.87,0.46
2005-01-25 07:00:00-05:00,0.21,0.24,13.21
2005-04-26 07:00:00-04:00,0.41,0.43,3.91
2005-07-26 07:00:00-04:00,0.51,0.52,2.77
2005-10-25 07:00:00-04:00,0.9,0.97,7.9
2006-01-26 07:00:00-05:00,0.22,0.21,-2.84
2006-04-25 07:00:00-04:00,0.39,0.35,-10.03
2006-07-27 07:00:00-04:00,0.51,0.52,1.36
2006-10-26 07:00:00-04:00,0.96,0.99,3.05
2007-01-25 07:00:00-05:00,0.23,0.25,11.11
2007-04-26 07:00:00-04:00,0.35,0.41,18.5
2007-07-26 07:00:00-04:00,0.52,0.55,6.24
2007-10-25 07:00:00-04:00,0.99,0.99,0.44
2008-01-30 07:00:00-05:00,0.24,0.26,7.99
2008-04-30 07:00:00-04:00,0.41,0.47,13.53
2008-07-30 07:00:00-04:00,0.57,0.63,11.42
2008-10-23 07:00:00-04:00,1.02,1.01,-1.34
2009-01-28 07:00:00-05:00,0.25,0.26,4.39
2009-04-29 07:00:00-04:00,0.41,0.42,1.73
2009-07-29 07:00:00-04:00,0.57,0.61,7.27
2009-10-28 07:00:00-04:00,0.98,0.99,0.77
2010-01-27 07:00:00-05:00,0.3,0.31,4.87
2010-04-28 07:00:00-04:00,0.44,0.6,37.12
2010-07-28 07:00:00-04:00,0.59,0.62,4.93
2010-10-27 07:00:00-04:00,0.99,0.98,-0.8
2011-01-26 07:00:00-05:00,0.18,0.18,0.06
2011-04-27 07:00:00-04:00,0.51,0.5,-1.3
2011-07-27 07:00:00-04:00,0.64,0.71,11.39
2011-11-07 18:00:00-05:00,1.04,1.06,1.49
2012-02-24 11:00:00-05:00,0.3,0.28,-5.67
2012-04-25 08:00:00-04:00,0.45,0.42,-7.08
2012-07-25 07:00:00-04:00,0.68,0.69,1.32
2012-11-05 07:00:00-05:00,1.13,1.11,-1.99
2013-01-30 07:00:00-05:00,0.4,0.44,10.97
2013-04-24 07:00:00-04:00,0.5,0.49,-1.52
2013-07-31 07:00:00-04:00,0.68,0.66,-2.74
2013-10-30 07:00:00-04:00,1.11,1.08,-2.74
2014-01-29 07:00:00-05:00,0.46,0.48,3.87
2014-04-30 07:00:00-04:00,0.56,0.66,17.66
2014-07-30 07:00:00-04:00,0.66,0.68,2.71
2014-10-29 07:00:00-04:00,1.07,1.09,1.63
2015-02-04 07:00:00-05:00,0.38,0.38,-0.74
