ts,eps_est,eps_rep,surprise_pct
2001-08-08 07:00:00-04:00,0.01,0.2,1920.1
2001-11-08 07:00:00-05:00,0.26,0.2,-22.69
2002-02-07 08:00:00-05:00,0.59,0.24,-59.49
2002-07-31 09:00:00-04:00,0.24,0.93,285.83
2002-10-31 08:00:00-05:00,0.33,0.32,-4.55
2003-02-06 17:00:00-05:00,0.56,0.54,-4.46
2003-05-07 09:00:00-04:00,0.2,0.28,42.05
2003-07-31 09:00:00-04:00,0.28,0.25,-12.98
2003-10-30 19:00:00-05:00,0.37,0.28,-25.14
2004-02-05 16:00:00-05:00,0.7,0.61,-12.71
2004-05-06 12:00:00-04:00,0.28,0.23,-18.21
2004-07-29 19:00:00-04:00,1.0,0.32,-67.54
2004-10-27 17:00:00-04:00,0.32,0.34,7.4
2005-02-10 08:00:00-05:00,0.75,0.53,-29.81
2005-04-28 16:00:00-04:00,0.14,0.21,44.83
2005-07-28 08:00:00-04:00,0.23,0.26,14.67
2005-10-27 16:00:00-04:00,0.17,0.33,96.97
2006-02-06 07:00:00-05:00,0.58,0.5,-14.48
2006-04-28 08:00:00-04:00,0.22,0.4,79.02
2006-07-31 16:00:00-04:00,0.26,0.35,35.76
2006-10-30 16:00:00-05:00,0.3,0.41,37.0
2007-02-02 07:00:00-05:00,0.56,0.88,56.09
2007-04-27 07:00:00-04:00,0.34,0.42,22.33
2007-07-30 08:00:00-04:00,0.41,0.26,-37.07
2007-10-29 07:00:00-04:00,0.42,0.71,67.1
2008-02-01 07:00:00-05:00,0.64,0.49,-24.2
2008-04-29 07:00:00-04:00,0.33,0.37,13.59
2008-07-28 07:00:00-04:00,0.41,0.39,-4.64
2008-11-03 08:00:00-05:00,0.5,0.48,-5.36
2009-01-30 08:00:00-05:00,0.83,0.61,-26.61
2009-05-01 08:00:00-04:00,0.25,0.44,73.75
2009-08-04 08:00:00-04:00,0.33,0.35,5.63
2009-10-30 08:00:00-04:00,0.35,0.38,7.01
2010-02-05 07:00:00-05:00,0.52,0.32,-38.58
2010-04-30 08:00:00-04:00,0.33,0.51,56.92
2010-07-30 07:00:00-04:00,0.47,0.52,10.25
2010-11-01 07:00:00-04:00,0.5,0.62,25.13
2011-02-04 07:00:00-05:00,0.78,0.76,-1.98
2011-04-29 07:00:00-04:00,0.52,0.61,16.37
2011-07-26 07:00:00-04:00,0.59,0.7,18.45
2011-10-25 07:00:00-04:00,0.69,0.66,-3.26
2012-02-03 07:00:00-05:00,0.91,0.81,-10.51
2012-04-27 07:00:00-04:00,0.67,0.51,-24.03
2012-07-24 07:00:00-04:00,0.71,0.71,-0.09
2012-10-25 07:00:00-04:00,0.78,0.85,9.05
2013-02-04 07:00:00-05:00,1.02,0.94,-7.66
2013-04-26 07:00:00-04:00,0.79,0.85,7.83
2013-07-29 07:00:00-04:00,0.87,0.75,-14.02
2013-10-25 06:00:00-04:00,0.94,0.97,2.56
2014-01-31 06:00:00-05:00,1.23,1.23,-0.09
2014-04-22 07:00:00-04:00,1.0,1.1,9.84
2014-07-23 07:00:00-04:00,0.98,1.34,36.12
2014-10-22 07:00:00-04:00,0.99,1.1,11.08
2015-01-30 07:00:00-05:00,1.39,1.29,-7.22
2015-04-24 07:00:00-04:00,1.14,1.16,2.08
2015-07-24 07:00:00-04:00,1.26,1.52,21.11
2015-10-27 07:00:00-04:00,1.33,1.36,2.18
2016-01-29 07:00:00-05:00,1.54,1.6,3.83
2016-04-26 07:00:00-04:00,1.32,1.55,17.53
2016-07-27 06:00:00-04:00,1.48,1.45,-1.7
2016-10-26 08:00:00-04:00,1.53,1.61,5.41
2017-01-31 08:00:00-05:00,1.82,1.64,-9.8
2017-04-27 08:00:00-04:00,1.52,1.53,0.49
2017-08-01 08:00:00-04:00,1.58,1.59,0.9
2017-10-27 08:00:00-04:00,1.62,1.65,1.95
2018-01-31 07:00:00-05:00,1.79,1.84,2.72
2018-04-27 06:00:00-04:00,1.54,1.62,5.21
2018-07-30 07:00:00-04:00,1.64,1.77,7.76
2018-10-25 06:00:00-04:00,1.74,1.8,3.41
2019-02-01 06:00:00-05:00,1.9,1.91,0.35
2019-04-30 06:00:00-04:00,1.65,1.78,7.75
2019-07-31 06:00:00-04:00,1.69,1.6,-5.24
2019-10-30 06:00:00-04:00,1.72,1.77,3.18
2020-02-04 07:00:00-05:00,1.55,1.99,28.11
2020-05-11 16:00:00-04:00,1.61,1.43,-11.32
2020-08-10 16:00:00-04:00,0.94,0.83,-11.29
2020-11-09 16:00:00-05:00,0.96,0.48,-49.74
2021-02-08 16:00:00-05:00,1.07,0.91,-14.69
2021-05-10 16:00:00-04:00,1.14,1.09,-4.04
2021-08-02 16:00:00-04:00,1.04,1.56,49.36
2021-11-01 16:00:00-04:00,1.08,1.18,10.11
2022-02-07 16:00:00-05:00,1.45,1.52,4.75
2022-05-09 16:00:00-04:00,1.29,1.21,-6.23
2022-08-01 16:00:00-04:00,1.56,1.62,3.53
2022-11-01 07:00:00-04:00,1.54,1.43,-6.78
2023-02-06 16:00:00-05:00,1.77,1.46,-17.64
2023-05-02 16:00:00-04:00,1.35,1.38,1.95
