ts,eps_est,eps_rep,surprise_pct
2001-10-24 07:00:00-04:00,0.59,0.61,2.69
2002-01-29 08:00:00-05:00,0.27,0.28,4.09
2002-04-22 07:00:00-04:00,0.07,0.08,11.94
2002-07-25 07:00:00-04:00,0.34,0.35,3.86
2002-10-22 07:00:00-04:00,0.7,0.71,0.86
2003-01-28 07:00:00-05:00,0.34,0.35,2.99
2003-04-29 07:00:00-04:00,0.1,0.1,3.09
2003-07-29 07:00:00-04:00,0.37,0.37,0.41
2003-10-23 07:00:00-04:00,0.75,0.76,1.07
2004-01-27 07:00:00-05:00,0.38,0.41,9.04
2004-04-27 06:00:00-04:00,0.12,0.14,16.94
2004-07-27 07:00:00-04:00,0.41,0.43,6.17
2004-10-21 07:00:00-04:00,0.78,0.85,8.06
2005-01-25 07:00:00-05:00,0.45,0.49,8.17
2005-04-26 07:00:00-04:00,0.18,0.21,16.48
2005-07-26 07:00:00-04:00,0.47,0.51,8.28
2005-10-20 07:00:00-04:00,0.96,0.99,3.45
2006-01-25 07:00:00-05:00,0.56,0.57,1.6
2006-04-25 07:00:00-04:00,0.22,0.2,-7.53
2006-07-25 07:00:00-04:00,0.52,0.6,14.54
2006-10-19 07:00:00-04:00,1.0,1.09,8.58
2007-01-25 07:00:00-05:00,0.59,0.59,
2007-04-24 07:00:00-04:00,0.31,0.37,20.06
2007-07-24 06:00:00-04:00,0.73,0.79,8.52
2007-10-18 06:00:00-04:00,1.24,1.34,8.36
2008-01-24 07:00:00-05:00,0.51,0.51,
2008-04-29 07:00:00-04:00,0.23,0.25,9.13
2008-07-29 07:00:00-04:00,0.66,0.71,7.98
2008-10-28 07:00:00-04:00,1.23,1.28,3.87
2009-01-27 07:00:00-05:00,0.38,0.42,10.14
2009-04-28 07:00:00-04:00,0.18,0.2,13.21
2009-07-28 07:00:00-04:00,0.55,0.58,5.78
2009-10-26 07:00:00-04:00,1.06,1.07,1.13
2010-01-26 07:00:00-05:00,0.4,0.51,27.05
2010-04-27 06:00:00-04:00,0.25,0.33,33.33
2010-07-23 07:00:00-04:00,0.61,0.61,
2010-10-26 07:00:00-04:00,1.1,1.21,10.29
2011-02-01 07:00:00-05:00,0.54,0.55,2.33
2011-04-26 07:00:00-04:00,0.38,0.39,3.8
2011-07-28 07:00:00-04:00,0.66,0.68,2.36
2011-10-20 07:00:00-04:00,1.23,1.21,-1.28
2012-01-31 07:00:00-05:00,0.57,0.63,10.25
2012-04-24 07:00:00-04:00,0.48,0.51,5.31
2012-07-26 07:00:00-04:00,0.76,0.85,12.14
2012-11-02 07:00:00-04:00,1.3,1.33,2.02
2013-02-28 06:00:00-05:00,0.72,0.67,-6.97
2013-04-30 07:00:00-04:00,0.73,0.8,9.34
2013-07-25 07:00:00-04:00,0.82,0.92,12.6
2013-10-22 07:00:00-04:00,0.77,0.8,3.49
2014-02-04 07:00:00-05:00,0.78,0.81,3.73
2014-04-29 07:00:00-04:00,0.88,0.89,1.67
2014-07-29 07:00:00-04:00,0.99,1.06,7.4
2014-10-29 07:00:00-04:00,0.94,1.03,9.67
2015-02-12 07:00:00-05:00,0.9,0.95,5.56
2015-04-28 07:00:00-04:00,1.0,1.09,9.33
2015-07-27 07:00:00-04:00,1.12,1.21,7.83
2015-11-03 07:00:00-05:00,1.07,1.19,11.27
2016-02-04 07:00:00-05:00,1.01,1.04,2.54
2016-04-26 07:00:00-04:00,1.15,1.2,4.05
2016-07-28 07:00:00-04:00,1.34,1.44,7.3
2016-11-03 07:00:00-04:00,1.33,1.43,7.65
2017-02-07 07:00:00-05:00,1.21,1.28,5.62
2017-04-25 07:00:00-04:00,1.39,1.62,16.18
2017-07-27 07:00:00-04:00,1.58,1.72,9.12
2017-10-26 07:00:00-04:00,1.53,1.71,11.41
2018-02-06 07:00:00-05:00,1.61,1.85,14.76
2018-04-26 07:00:00-04:00,1.96,2.0,1.98
2018-07-26 07:00:00-04:00,2.13,2.17,2.09
2018-10-25 07:00:00-04:00,2.04,2.11,3.59
2019-02-07 07:00:00-05:00,2.21,2.22,0.62
2019-05-02 07:00:00-04:00,2.12,2.11,-0.6
2019-08-01 07:00:00-04:00,2.28,2.43,6.74
2019-10-29 07:00:00-04:00,2.34,2.46,5.14
2020-02-06 07:00:00-05:00,2.42,2.53,4.73
2020-04-28 08:00:00-04:00,2.32,2.73,17.57
2020-07-28 07:00:00-04:00,2.64,3.4,28.6
2020-10-27 07:00:00-04:00,2.55,2.85,11.66
2021-02-09 07:00:00-05:00,2.51,2.71,8.02
2021-04-29 07:00:00-04:00,3.08,3.39,10.23
2021-07-29 07:00:00-04:00,3.27,3.62,10.72
2021-10-26 07:00:00-04:00,3.15,3.54,12.29
2022-02-08 07:00:00-05:00,3.12,3.15,1.01
2022-05-04 06:00:00-04:00,2.97,2.89,-2.59
2022-08-02 07:00:00-04:00,2.93,2.81,-4.19
