ts,eps_est,eps_rep,surprise_pct
2002-04-23 07:00:00-04:00,0.32,0.36,9.61
2002-04-23 07:00:00-04:00,0.29,0.39,35.48
2002-07-23 09:00:00-04:00,0.32,0.3,-6.79
2002-07-23 09:00:00-04:00,0.32,0.33,2.13
2002-10-22 09:00:00-04:00,0.3,0.37,21.67
2003-02-20 09:00:00-05:00,0.25,0.33,27.91
2003-05-01 08:00:00-04:00,0.34,0.3,-11.53
2003-08-07 09:00:00-04:00,0.3,0.28,-9.22
2003-11-06 09:00:00-05:00,0.46,0.55,19.63
2004-02-24 09:00:00-05:00,0.28,0.35,22.83
2004-04-29 09:00:00-04:00,0.34,0.48,40.0
2004-08-05 09:00:00-04:00,0.33,0.28,-16.19
2004-11-04 09:00:00-05:00,0.4,0.47,17.31
2005-02-23 09:00:00-05:00,0.6,0.72,18.29
2005-05-04 09:00:00-04:00,0.44,0.46,3.81
2005-08-02 09:00:00-04:00,0.34,0.25,-28.53
2005-11-02 09:00:00-05:00,0.51,0.54,4.7
2006-02-22 09:00:00-05:00,0.64,0.69,6.93
2006-05-02 09:00:00-04:00,0.43,0.5,15.77
2006-08-03 09:00:00-04:00,0.32,0.37,17.09
2006-11-02 09:00:00-05:00,0.48,0.64,32.85
2007-02-22 09:00:00-05:00,0.59,0.67,12.71
2007-05-02 09:00:00-04:00,0.47,0.43,-8.12
2007-08-02 09:00:00-04:00,0.42,0.53,27.2
2007-11-01 09:00:00-04:00,0.51,0.62,20.82
2008-02-26 09:00:00-05:00,0.51,0.55,7.97
2008-05-02 09:00:00-04:00,0.44,0.46,3.9
2008-08-07 09:00:00-04:00,0.46,0.49,7.69
2008-11-10 09:00:00-05:00,0.53,0.62,16.91
2009-02-24 09:00:00-05:00,0.45,0.65,42.89
2009-05-05 09:00:00-04:00,0.51,0.65,26.41
2009-07-31 08:00:00-04:00,0.48,0.53,10.01
2009-11-09 09:00:00-05:00,0.59,0.64,7.42
2010-02-25 09:00:00-05:00,0.56,0.58,4.25
2010-05-04 09:00:00-04:00,0.49,0.41,-17.35
2010-08-03 09:00:00-04:00,0.41,0.58,41.98
2010-11-09 09:00:00-05:00,0.55,0.54,-2.15
2011-02-24 09:00:00-05:00,0.47,0.55,17.74
2011-05-09 09:00:00-04:00,0.49,0.55,10.56
2011-08-09 09:00:00-04:00,0.49,0.49,-0.59
2011-11-03 09:00:00-04:00,0.6,0.61,1.13
2012-02-28 09:00:00-05:00,0.53,0.61,13.88
2012-05-03 09:00:00-04:00,0.49,0.49,-1.65
2012-08-02 09:00:00-04:00,0.41,0.49,18.26
2012-11-06 09:00:00-05:00,0.51,0.67,31.65
2013-02-26 09:00:00-05:00,0.49,0.54,9.66
2013-05-02 09:00:00-04:00,0.51,0.41,-19.5
2013-08-06 09:00:00-04:00,0.64,0.52,-19.31
2013-11-05 09:00:00-05:00,0.61,0.6,-1.76
2014-02-27 09:00:00-05:00,0.49,0.56,14.65
2014-05-02 09:00:00-04:00,0.47,0.52,9.14
2014-08-07 09:00:00-04:00,0.56,0.54,-4.21
2014-11-04 09:00:00-05:00,0.61,0.7,13.23
2015-02-26 09:00:00-05:00,0.54,0.62,13.58
2015-05-05 09:00:00-04:00,0.71,0.86,20.12
2015-08-04 09:00:00-04:00,0.5,0.52,3.04
2015-11-03 09:00:00-05:00,0.44,0.5,14.08
2016-02-26 09:00:00-05:00,0.66,0.74,11.49
2016-05-04 13:00:00-04:00,0.83,0.74,-11.21
2016-08-04 08:00:00-04:00,0.49,0.4,-18.59
2016-11-02 08:00:00-04:00,0.48,0.51,6.92
2017-02-28 08:00:00-05:00,0.75,0.76,1.87
2017-05-09 08:00:00-04:00,0.83,0.87,4.57
2017-08-04 08:00:00-04:00,0.44,0.55,25.79
2017-10-30 07:00:00-04:00,0.52,0.52,-0.87
2018-02-27 06:00:00-05:00,0.71,0.77,8.17
2018-05-07 06:00:00-04:00,0.81,0.72,-11.91
2018-08-06 06:00:00-04:00,0.59,0.68,14.68
2018-11-07 07:00:00-05:00,0.57,0.62,8.61
2019-02-26 06:00:00-05:00,0.73,0.78,6.51
2019-05-07 06:00:00-04:00,0.84,0.96,13.84
2019-08-02 06:00:00-04:00,0.59,0.55,-6.78
2019-11-01 06:00:00-04:00,0.73,0.75,2.12
2020-02-27 06:00:00-05:00,0.75,0.78,4.0
2020-05-04 06:00:00-04:00,1.11,1.54,38.9
2020-08-05 06:00:00-04:00,0.78,0.83,6.4
2020-11-05 06:00:00-05:00,0.76,0.66,-13.65
2021-02-25 06:00:00-05:00,0.79,0.95,20.87
2021-05-05 06:00:00-04:00,1.35,1.48,9.31
2021-08-05 06:00:00-04:00,0.79,0.82,3.56
2021-11-05 06:00:00-04:00,0.85,0.85,0.45
2022-02-25 06:00:00-05:00,1.0,1.08,8.16
2022-05-05 06:00:00-04:00,1.4,1.46,4.17
2022-08-04 06:00:00-04:00,0.88,0.99,12.15
