ts,eps_est,eps_rep,surprise_pct
2001-10-17 16:00:00-04:00,0.15,0.15,
2002-01-28 16:00:00-05:00,0.2,0.2,
2002-04-17 16:00:00-04:00,0.2,0.2,1.01
2002-07-16 16:00:00-04:00,0.2,0.21,5.0
2002-10-16 16:00:00-04:00,0.19,0.21,10.22
2003-01-27 16:00:00-05:00,0.25,0.26,3.59
2003-04-16 16:00:00-04:00,0.24,0.26,5.37
2003-07-15 16:00:00-04:00,0.26,0.27,2.34
2003-10-16 16:00:00-04:00,0.26,0.27,2.32
2004-01-29 16:00:00-05:00,0.33,0.33,
2004-04-15 16:00:00-04:00,0.31,0.33,5.1
2004-07-15 16:00:00-04:00,0.34,0.37,10.12
2004-10-14 16:00:00-04:00,0.33,0.33,0.61
2005-01-26 16:00:00-05:00,0.4,0.4,
2005-04-19 16:00:00-04:00,0.41,0.42,3.7
2005-07-19 16:00:00-04:00,0.44,0.45,1.58
2005-10-18 16:00:00-04:00,0.41,0.4,-1.72
2006-01-26 16:00:00-05:00,0.48,0.48,-0.21
2006-04-20 16:00:00-04:00,0.48,0.49,1.45
2006-07-20 16:00:00-04:00,0.51,0.52,2.05
2006-10-17 16:00:00-04:00,0.46,0.46,-0.21
2007-01-25 16:00:00-05:00,0.55,0.55,-0.18
2007-04-18 16:00:00-04:00,0.58,0.59,1.65
2007-07-19 16:00:00-04:00,0.62,0.61,-0.81
2007-10-17 16:00:00-04:00,0.55,0.55,-0.27
2008-01-23 16:00:00-05:00,0.66,0.66,-0.06
2008-04-17 16:00:00-04:00,0.69,0.7,1.74
2008-07-17 16:00:00-04:00,0.72,0.73,0.73
2008-10-16 16:00:00-04:00,0.67,0.66,-1.05
2009-01-27 16:00:00-05:00,0.74,0.74,-0.49
2009-04-20 16:00:00-04:00,0.71,0.71,-0.18
2009-07-21 16:00:00-04:00,0.72,0.73,1.81
2009-10-20 16:00:00-04:00,0.69,0.69,0.1
2010-01-26 16:00:00-05:00,0.82,0.82,0.49
2010-04-20 15:00:00-04:00,0.78,0.8,2.95
2010-07-20 16:00:00-04:00,0.8,0.8,0.09
2010-10-19 16:00:00-04:00,0.77,0.8,4.03
2011-01-25 16:00:00-05:00,0.91,0.93,2.64
2011-04-19 16:00:00-04:00,0.89,0.9,0.86
2011-07-19 15:00:00-04:00,0.9,0.9,0.25
2011-10-19 12:00:00-04:00,0.89,0.91,2.48
2012-01-24 15:00:00-05:00,1.02,1.02,-0.45
2012-04-17 15:00:00-04:00,0.99,0.99,0.17
2012-07-18 16:00:00-04:00,0.98,0.98,-0.47
2012-10-17 15:00:00-04:00,0.98,0.97,-1.26
2013-01-23 16:00:00-05:00,1.13,1.14,1.11
2013-04-24 16:00:00-04:00,1.01,1.03,2.23
2013-07-18 16:00:00-04:00,1.03,1.0,-2.6
2013-10-17 16:00:00-04:00,0.99,0.98,-1.44
2014-01-22 16:00:00-05:00,1.22,1.23,0.64
2014-04-23 16:00:00-04:00,1.09,1.06,-2.4
2014-07-17 16:00:00-04:00,1.08,1.08,-0.24
2014-10-16 16:00:00-04:00,1.14,1.15,1.18
2015-01-27 16:00:00-05:00,1.45,1.44,-0.81
2015-04-21 16:00:00-04:00,1.08,1.11,2.35
2015-07-23 16:00:00-04:00,1.17,1.2,2.61
2015-10-22 16:00:00-04:00,1.23,1.25,1.87
2016-01-26 16:00:00-05:00,1.55,1.56,0.39
2016-04-20 16:00:00-04:00,1.2,1.24,3.3
2016-07-21 16:00:00-04:00,1.37,1.39,1.76
2016-10-27 16:00:00-04:00,1.37,1.39,1.14
2017-01-24 16:00:00-05:00,1.76,1.78,0.93
2017-04-25 16:00:00-04:00,1.43,1.48,3.39
2017-07-27 16:00:00-04:00,1.51,1.53,1.42
2017-10-26 16:00:00-04:00,1.5,1.52,1.64
2018-01-30 16:00:00-05:00,1.95,1.96,0.31
2018-04-26 16:00:00-04:00,1.6,1.68,4.98
2018-07-24 16:00:00-04:00,1.73,1.76,1.8
2018-10-25 16:00:00-04:00,1.68,1.69,0.65
2019-01-29 16:00:00-05:00,2.15,2.18,1.27
2019-04-23 16:00:00-04:00,1.84,1.88,2.22
