ts,eps_est,eps_rep,surprise_pct
2001-10-22 07:00:00-04:00,0.6,0.59,-0.93
2002-01-24 07:00:00-05:00,0.62,0.64,3.23
2002-04-18 07:00:00-04:00,0.51,0.51,0.99
2002-07-23 07:00:00-04:00,0.59,0.61,3.72
2002-10-24 07:00:00-04:00,0.54,0.51,-5.56
2003-01-28 07:00:00-05:00,0.62,0.62,0.52
2003-04-24 07:00:00-04:00,0.37,0.34,-6.85
2003-07-24 06:00:00-04:00,0.41,0.42,3.19
2003-10-21 07:00:00-04:00,0.39,0.37,-4.52
2004-01-27 07:00:00-05:00,0.34,0.34,0.04
2004-04-21 07:00:00-04:00,0.33,0.37,12.29
2004-07-22 07:00:00-04:00,0.36,0.4,11.57
2004-10-21 07:00:00-04:00,0.38,0.38,-1.02
2005-01-26 07:00:00-05:00,0.33,0.34,3.82
2005-04-25 07:00:00-04:00,0.33,0.34,3.75
2005-07-21 07:00:00-04:00,0.37,0.43,16.48
2005-10-20 07:00:00-04:00,0.41,0.47,14.5
2006-01-26 07:00:00-05:00,0.44,0.48,8.32
2006-04-25 07:00:00-04:00,0.48,0.52,7.66
2006-07-25 07:00:00-04:00,0.53,0.58,9.85
2006-10-23 07:00:00-04:00,0.58,0.63,9.3
2007-01-25 07:00:00-05:00,0.6,0.61,2.35
2007-04-24 07:00:00-04:00,0.61,0.65,6.18
2007-07-24 07:00:00-04:00,0.67,0.7,4.29
2007-10-23 07:00:00-04:00,0.71,0.71,0.4
2008-01-24 07:00:00-05:00,0.71,0.71,-0.06
2008-04-22 07:00:00-04:00,0.74,0.74,-0.21
2008-07-23 07:00:00-04:00,0.76,0.76,
2008-10-22 07:00:00-04:00,0.71,0.69,-2.72
2009-01-28 07:00:00-05:00,0.65,0.65,-0.01
2009-04-22 07:00:00-04:00,0.48,0.53,9.72
2009-07-23 07:00:00-04:00,0.51,0.54,6.28
2009-10-22 07:00:00-04:00,0.5,0.53,6.58
2010-01-28 07:00:00-05:00,0.51,0.51,-0.3
2010-04-21 06:00:00-04:00,0.55,0.59,8.01
2010-07-22 07:00:00-04:00,0.57,0.61,7.11
2010-10-21 07:00:00-04:00,0.55,0.55,-0.54
2011-01-27 07:00:00-05:00,0.54,0.55,1.59
2011-04-20 07:00:00-04:00,0.57,0.57,-0.01
2011-07-21 07:00:00-04:00,0.6,0.6,0.71
2011-10-20 07:00:00-04:00,0.61,0.61,-0.02
2012-01-26 07:00:00-05:00,0.43,0.42,-3.25
2012-04-24 07:00:00-04:00,0.57,0.6,4.49
2012-07-24 07:00:00-04:00,0.63,0.66,5.44
2012-10-24 07:00:00-04:00,0.6,0.63,4.53
2013-01-24 16:00:00-05:00,0.46,0.44,-3.78
2013-04-23 16:00:00-04:00,0.64,0.64,-0.19
2013-07-23 16:00:00-04:00,0.68,0.67,-1.74
2013-10-23 16:00:00-04:00,0.65,0.66,1.53
2014-01-28 16:00:00-05:00,0.5,0.53,4.96
2014-04-22 16:00:00-04:00,0.7,0.71,1.55
2014-07-23 16:00:00-04:00,0.63,0.62,-1.1
2014-10-22 16:00:00-04:00,0.64,0.63,-0.92
2015-01-27 16:00:00-05:00,0.54,0.55,1.05
2015-04-22 16:00:00-04:00,0.61,0.63,2.54
2015-07-23 16:00:00-04:00,0.63,0.69,9.11
2015-10-22 16:00:00-04:00,0.68,0.74,8.08
2016-01-26 16:00:00-05:00,0.63,0.63,-0.64
2016-04-26 16:00:00-04:00,0.69,0.72,4.29
2016-07-21 16:00:00-04:00,0.72,0.72,0.54
2016-10-22 20:00:00-04:00,0.74,0.74,0.57
2017-01-25 16:00:00-05:00,0.66,0.66,0.16
2017-04-25 16:00:00-04:00,0.74,0.74,0.07
2017-07-25 16:00:00-04:00,0.74,0.79,7.46
2017-10-24 16:00:00-04:00,0.74,0.74,-0.64
2018-01-31 16:00:00-05:00,0.65,0.78,19.9
2018-04-25 16:00:00-04:00,0.87,0.85,-2.51
2018-07-24 16:00:00-04:00,0.85,0.91,6.48
2018-10-24 06:00:00-04:00,0.94,0.9,-4.24
2019-01-30 06:00:00-05:00,0.85,0.86,0.74
2019-04-24 06:00:00-04:00,0.85,0.86,0.61
2019-07-24 06:00:00-04:00,0.89,0.89,-0.05
2019-10-28 06:00:00-04:00,0.92,0.94,1.69
2020-01-29 06:00:00-05:00,0.87,0.89,2.37
2020-04-22 07:00:00-04:00,0.85,0.84,-1.45
2020-07-23 07:00:00-04:00,0.79,0.83,4.85
2020-10-22 06:00:00-04:00,0.76,0.76,-0.11
2021-01-27 06:00:00-05:00,0.73,0.75,2.62
2021-04-22 06:00:00-04:00,0.78,0.86,10.61
2021-07-22 06:00:00-04:00,0.8,0.89,11.88
2021-10-21 06:00:00-04:00,0.79,0.87,10.28
2022-01-26 06:00:00-05:00,0.75,0.78,3.33
2022-04-21 06:00:00-04:00,0.75,0.77,1.99
2022-07-21 06:00:00-04:00,0.61,0.65,6.91
2022-10-20 06:00:00-04:00,0.61,0.68,10.58
2023-01-25 06:00:00-05:00,0.57,0.61,6.65
2023-04-20 06:00:00-04:00,0.59,0.6,2.1
2023-07-26 06:00:00-04:00,0.6,0.63,4.56
2023-10-19 06:00:00-04:00,0.62,0.64,3.09
2024-01-24 06:00:00-05:00,0.56,0.54,-3.16
2024-04-24 06:00:00-04:00,0.53,0.55,3.66
2024-07-24 06:00:00-04:00,0.57,0.57,-0.64
2024-10-23 06:00:00-04:00,0.57,0.6,5.07
2025-01-27 06:00:00-05:00,0.51,0.54,6.81
2025-04-23 06:00:00-04:00,0.51,0.51,-0.9
2025-07-23 06:00:00-04:00,0.53,0.54,1.92
2025-10-22 06:00:00-04:00,0.54,0.54,0.45
2026-01-28 06:00:00-05:00,0.47,0.52,11.58
2026-04-22 06:00:00-04:00,0.55,0.57,3.42
2026-07-22 08:00:00-04:00,0.59,,
