ts,eps_est,eps_rep,surprise_pct
2002-07-11 07:00:00-04:00,0.68,0.68,0.15
2002-08-11 20:00:00-04:00,0.66,0.66,-0.5
2002-11-13 19:00:00-05:00,0.7,0.7,-0.18
2003-03-06 19:00:00-05:00,0.71,0.68,-4.35
2003-05-14 20:00:00-04:00,0.72,0.7,-2.73
2003-07-14 19:00:00-04:00,0.71,0.71,-0.28
2003-10-14 19:00:00-04:00,0.65,0.68,4.44
2004-01-13 18:00:00-05:00,0.69,0.69,-0.16
2004-05-06 20:00:00-04:00,0.64,0.6,-6.57
2004-07-13 07:00:00-04:00,0.68,0.72,6.46
2004-11-08 16:00:00-05:00,0.73,0.74,1.93
2005-01-14 18:00:00-05:00,0.76,0.75,-1.21
2005-05-09 16:00:00-04:00,0.75,0.71,-5.56
2005-07-13 19:00:00-04:00,0.74,0.75,0.9
2005-11-04 16:00:00-05:00,0.77,0.8,3.69
2006-01-19 10:00:00-05:00,0.8,0.78,-2.78
2006-05-05 15:00:00-04:00,0.76,0.76,0.52
2006-07-20 08:00:00-04:00,0.8,0.81,1.54
2006-11-02 16:00:00-05:00,0.81,0.78,-4.26
2007-01-18 10:00:00-05:00,0.78,0.82,4.79
2007-05-04 16:00:00-04:00,0.78,0.78,-0.31
2007-08-07 16:00:00-04:00,0.83,0.83,0.8
2007-11-06 16:00:00-05:00,0.84,0.81,-3.48
2008-02-28 16:00:00-05:00,0.78,0.75,-3.46
2008-05-07 20:00:00-04:00,0.74,0.79,6.49
2008-08-06 20:00:00-04:00,0.73,0.78,7.56
2008-10-16 07:00:00-04:00,0.69,0.65,-5.35
2009-01-22 10:00:00-05:00,0.55,0.44,-19.27
2009-04-17 09:00:00-04:00,0.36,0.48,35.21
2009-07-17 09:00:00-04:00,0.11,0.14,27.27
2009-10-19 09:00:00-04:00,0.33,0.23,-29.23
2010-01-22 01:00:00-05:00,0.18,0.27,50.0
2010-04-22 02:00:00-04:00,0.25,0.29,16.19
2010-07-22 06:00:00-04:00,0.34,0.33,-3.99
2010-10-21 06:00:00-04:00,0.27,0.31,14.83
2011-01-21 01:00:00-05:00,0.25,0.3,20.89
2011-04-21 06:00:00-04:00,0.32,0.32,-0.58
2011-07-21 06:00:00-04:00,0.43,0.44,1.23
2011-10-20 02:00:00-04:00,0.5,0.52,4.03
2012-01-19 06:00:00-05:00,0.53,0.55,4.7
2012-04-19 06:00:00-04:00,0.58,0.62,6.59
2012-07-19 06:00:00-04:00,0.7,0.72,3.56
2012-10-18 05:00:00-04:00,0.72,0.7,-2.41
2013-01-17 05:00:00-05:00,0.71,0.72,2.13
2013-04-18 05:00:00-04:00,0.68,0.69,2.07
2013-07-18 06:00:00-04:00,0.74,0.79,7.41
2013-10-17 05:00:00-04:00,0.71,0.7,-1.14
2014-01-16 05:00:00-05:00,0.72,0.73,2.06
2014-04-17 05:00:00-04:00,0.7,0.69,-1.31
2014-07-21 05:00:00-04:00,0.75,0.7,-6.09
2014-10-16 06:00:00-04:00,0.72,0.71,-1.27
2015-01-22 05:00:00-05:00,0.73,0.76,4.46
2015-04-23 05:00:00-04:00,0.7,0.68,-2.19
2015-07-16 05:00:00-04:00,0.7,0.69,-1.12
2015-10-15 05:00:00-04:00,0.69,0.7,1.93
2016-01-21 05:00:00-05:00,0.72,0.68,-5.97
2016-04-21 05:00:00-04:00,0.65,0.69,6.58
2016-07-21 05:00:00-04:00,0.68,0.71,4.19
2016-10-19 05:00:00-04:00,0.71,0.76,6.56
2017-01-19 05:00:00-05:00,0.74,0.73,-1.34
2017-04-20 05:00:00-04:00,0.72,0.74,2.18
2017-07-20 06:00:00-04:00,0.76,0.78,2.14
2017-10-19 05:00:00-04:00,0.78,0.78,-0.02
2018-01-18 05:00:00-05:00,0.8,0.84,5.62
2018-04-19 05:00:00-04:00,0.92,0.94,1.83
2018-07-19 05:00:00-04:00,1.01,0.99,-1.85
2018-10-18 05:00:00-04:00,1.0,1.01,1.22
2019-01-17 05:00:00-05:00,1.04,0.97,-6.86
2019-04-18 05:00:00-04:00,1.03,1.05,1.97
