ts,eps_est,eps_rep,surprise_pct
2001-11-20 08:00:00-05:00,0.25,0.25,1.21
2002-02-28 08:00:00-05:00,0.72,0.73,1.11
2002-05-21 08:00:00-04:00,0.36,0.38,5.85
2002-08-15 08:00:00-04:00,0.37,0.38,3.26
2002-11-14 08:00:00-05:00,0.28,0.3,6.76
2003-02-20 08:00:00-05:00,0.75,0.75,0.52
2003-05-15 08:00:00-04:00,0.39,0.38,-2.46
2003-08-14 08:00:00-04:00,0.4,0.39,-2.68
2003-11-13 08:00:00-05:00,0.33,0.33,0.65
2004-02-19 08:00:00-05:00,0.87,0.91,4.15
2004-05-13 08:00:00-04:00,0.47,0.48,1.69
2004-08-12 08:00:00-04:00,0.47,0.48,2.94
2004-11-11 08:00:00-05:00,0.38,0.38,1.06
2005-02-17 08:00:00-05:00,0.9,0.9,0.56
2005-05-12 08:00:00-04:00,0.54,0.55,2.61
2005-08-11 08:00:00-04:00,0.59,0.61,3.71
2005-11-10 08:00:00-05:00,0.45,0.49,8.45
2006-02-16 08:00:00-05:00,1.05,1.06,0.92
2006-05-15 08:00:00-04:00,0.64,0.61,-4.01
2006-08-10 08:00:00-04:00,0.69,0.7,0.8
2006-11-14 08:00:00-05:00,0.55,0.59,7.08
2007-02-27 08:00:00-05:00,1.27,1.29,1.49
2007-05-23 08:00:00-04:00,0.71,0.75,5.86
2007-08-21 08:00:00-04:00,0.8,0.8,0.07
2007-11-20 08:00:00-05:00,0.62,0.56,-9.05
2008-02-26 08:00:00-05:00,1.22,1.23,0.53
2008-05-20 08:00:00-04:00,0.71,0.74,4.58
2008-08-19 08:00:00-04:00,0.75,0.82,8.68
2008-11-17 08:00:00-05:00,0.48,0.49,2.09
2009-02-24 08:00:00-05:00,0.83,0.81,-2.3
2009-05-20 08:00:00-04:00,0.6,0.69,15.55
2009-08-18 08:00:00-04:00,0.66,0.79,19.63
2009-11-17 08:00:00-05:00,0.5,0.58,15.92
2010-02-23 08:00:00-05:00,1.16,1.17,0.62
2010-05-19 07:00:00-04:00,0.87,0.9,3.33
2010-08-18 07:00:00-04:00,0.92,0.92,0.55
2010-11-17 07:00:00-05:00,0.68,0.68,-0.36
2011-02-24 07:00:00-05:00,1.39,1.38,-0.91
2011-05-18 07:00:00-04:00,0.95,0.99,4.54
2011-08-17 07:00:00-04:00,0.97,1.03,6.7
2011-11-16 07:00:00-05:00,0.74,0.82,11.12
2012-02-23 07:00:00-05:00,1.4,1.43,2.28
2012-05-16 07:00:00-04:00,1.02,1.04,2.09
2012-08-15 07:00:00-04:00,1.01,1.06,4.97
2012-11-15 07:00:00-05:00,0.82,0.9,10.24
2013-02-27 07:00:00-05:00,1.54,1.65,6.97
2013-05-22 07:00:00-04:00,0.86,0.81,-5.34
2013-08-21 07:00:00-04:00,0.96,0.98,1.87
2013-11-21 07:00:00-05:00,0.64,0.56,-11.98
2014-02-26 07:00:00-05:00,0.81,0.9,11.04
2014-05-21 08:00:00-04:00,0.71,0.7,-0.96
2014-08-20 08:00:00-04:00,0.78,0.78,-0.25
2014-11-19 08:00:00-05:00,0.47,0.54,14.95
2015-02-25 08:00:00-05:00,1.46,1.5,2.93
2015-05-20 08:00:00-04:00,1.03,1.1,6.94
2015-08-19 08:00:00-04:00,1.11,1.22,9.42
2015-11-18 08:00:00-05:00,0.86,0.86,-0.06
2016-02-24 08:00:00-05:00,1.54,1.52,-1.09
2016-05-18 08:00:00-04:00,1.19,1.29,8.14
2016-08-17 06:00:00-04:00,1.12,1.23,9.63
2016-11-16 06:00:00-05:00,0.83,1.04,24.91
2017-02-28 06:00:00-05:00,1.51,1.45,-4.14
2017-05-17 06:00:00-04:00,0.91,1.21,32.32
2017-08-16 06:00:00-04:00,1.19,1.23,2.99
2017-11-15 06:00:00-05:00,0.86,0.91,5.42
2018-03-06 06:00:00-05:00,1.38,1.37,-0.45
2018-05-23 06:00:00-04:00,1.39,1.32,-4.86
2018-08-22 06:00:00-04:00,1.4,1.47,4.97
2018-11-20 06:00:00-05:00,1.11,1.09,-2.1
2019-03-05 06:00:00-05:00,1.52,1.53,0.84
2019-05-22 06:00:00-04:00,1.43,1.53,6.8
2019-08-21 06:00:00-04:00,1.62,1.82,12.6
2019-11-20 06:00:00-05:00,1.19,1.36,14.28
2020-03-03 06:00:00-05:00,1.66,1.69,2.11
2020-05-20 06:00:00-04:00,0.4,0.59,46.24
2020-08-19 06:00:00-04:00,1.65,3.38,104.36
2020-11-18 06:00:00-05:00,1.61,2.79,73.77
2021-03-02 06:00:00-05:00,2.54,2.67,5.2
2021-05-19 06:00:00-04:00,2.23,3.69,65.19
2021-08-18 06:00:00-04:00,3.53,3.64,3.06
2021-11-17 06:00:00-05:00,2.81,3.03,7.85
2022-03-01 06:00:00-05:00,2.84,3.19,12.26
2022-05-18 06:00:00-04:00,3.06,2.19,-28.53
2022-08-17 06:00:00-04:00,0.72,0.39,-45.47
2022-11-16 06:00:00-05:00,2.18,1.54,-29.35
2023-02-28 06:00:00-05:00,1.4,1.89,35.06
2023-05-17 06:00:00-04:00,1.79,2.05,14.69
2023-08-16 06:00:00-04:00,1.42,1.8,26.85
