ts,eps_est,eps_rep,surprise_pct
2001-10-24 16:00:00-04:00,0.21,0.22,3.77
2002-02-13 16:00:00-05:00,0.23,0.25,7.3
2002-04-24 16:00:00-04:00,0.19,0.2,3.63
2002-07-23 16:00:00-04:00,0.22,0.24,10.09
2002-10-22 16:00:00-04:00,0.24,0.25,6.38
2003-02-05 16:00:00-05:00,0.29,0.31,6.9
2003-04-23 17:00:00-04:00,0.23,0.22,-3.08
2003-07-22 16:00:00-04:00,0.24,0.26,10.17
2003-10-21 16:00:00-04:00,0.27,0.27,0.75
2004-02-04 16:00:00-05:00,0.34,0.35,3.55
2004-04-27 16:00:00-04:00,0.27,0.29,7.41
2004-07-27 16:00:00-04:00,0.29,0.29,-0.4
2004-10-26 16:00:00-04:00,0.3,0.32,5.61
2005-02-02 17:00:00-05:00,0.39,0.38,-1.49
2005-04-27 07:00:00-04:00,0.31,0.31,-0.32
2005-07-27 05:00:00-04:00,0.35,0.36,3.45
2005-10-26 06:00:00-04:00,0.39,0.4,3.36
2006-02-01 20:00:00-05:00,0.47,0.49,4.71
2006-04-26 06:00:00-04:00,0.36,0.39,7.67
2006-07-26 06:00:00-04:00,0.41,0.42,3.45
2006-10-25 06:00:00-04:00,0.42,0.44,3.77
2007-02-08 06:00:00-05:00,0.53,0.57,7.14
2007-04-26 06:00:00-04:00,0.53,0.59,10.63
2007-07-26 06:00:00-04:00,0.6,0.65,8.33
2007-10-25 06:00:00-04:00,0.63,0.65,2.85
2008-02-06 06:00:00-05:00,0.69,0.76,10.14
2008-04-24 06:00:00-04:00,0.72,0.74,2.92
2008-07-24 05:00:00-04:00,0.77,0.8,4.17
2008-10-23 06:00:00-04:00,0.76,0.76,-0.33
2009-02-04 06:00:00-05:00,0.83,0.88,6.41
2009-04-23 06:00:00-04:00,0.7,0.62,-11.38
2009-07-23 06:00:00-04:00,0.67,0.74,11.25
2009-10-22 06:00:00-04:00,0.76,0.78,2.77
2010-02-03 06:00:00-05:00,0.88,0.91,3.17
2010-04-28 06:00:00-04:00,0.75,0.84,12.17
2010-07-27 06:00:00-04:00,0.85,0.84,-0.71
2010-10-27 06:00:00-04:00,0.83,0.9,8.15
2011-02-02 06:00:00-05:00,0.95,1.0,5.62
2011-04-27 05:00:00-04:00,0.88,0.92,4.76
2011-07-27 06:00:00-04:00,0.98,0.99,0.84
