ts,eps_est,eps_rep,surprise_pct
2013-08-08 10:00:00-04:00,0.18,-0.02,-111.23
2013-11-07 06:00:00-05:00,0.06,-0.05,-190.22
2014-02-25 06:00:00-05:00,-0.17,-0.03,82.72
2014-05-01 06:00:00-04:00,-0.1,-0.19,-97.83
2014-07-31 07:00:00-04:00,0.12,0.48,312.62
2014-10-27 21:00:00-04:00,0.04,-0.12,-384.9
2015-02-19 06:00:00-05:00,0.08,0.12,47.37
2015-04-28 07:00:00-04:00,-0.1,-0.09,11.33
2015-07-30 07:00:00-04:00,0.18,0.42,129.65
2015-10-27 07:00:00-04:00,0.27,0.15,-44.7
2016-02-17 06:00:00-05:00,0.15,0.34,133.32
2016-04-26 06:00:00-04:00,0.14,0.56,289.4
2016-07-27 07:00:00-04:00,0.2,0.25,22.36
2016-10-24 07:00:00-04:00,0.22,0.42,94.84
2017-02-14 07:00:00-05:00,0.28,0.43,52.66
2017-04-24 16:00:00-04:00,0.36,0.42,15.67
2017-07-19 16:00:00-04:00,0.37,0.67,81.88
2017-10-23 07:00:00-04:00,0.47,0.63,34.76
2018-02-08 06:00:00-05:00,0.37,0.48,29.73
2018-05-01 16:00:00-04:00,0.75,0.78,3.84
2018-08-01 16:00:00-04:00,0.86,0.92,6.87
2018-10-30 16:00:00-04:00,0.83,0.93,12.39
2019-02-07 07:00:00-05:00,0.69,0.75,8.18
2019-04-25 16:00:00-04:00,0.92,1.06,14.81
2019-07-25 16:00:00-04:00,0.98,1.09,11.63
2019-10-28 16:00:00-04:00,0.98,1.01,2.67
2020-02-06 16:00:00-05:00,0.83,0.87,5.16
2020-05-06 16:00:00-04:00,1.02,1.1,8.03
2020-08-06 16:00:00-04:00,0.15,0.84,460.22
2020-11-05 16:00:00-05:00,0.43,1.0,132.68
2021-02-04 16:00:00-05:00,0.51,0.6,17.88
2021-05-04 16:00:00-04:00,0.56,0.74,32.11
2021-07-29 16:00:00-04:00,0.5,0.94,88.65
2021-11-02 16:00:00-04:00,0.53,0.55,4.71
2022-02-02 16:00:00-05:00,0.16,0.34,116.3
2022-04-27 06:00:00-04:00,0.33,0.57,70.61
2022-07-27 06:00:00-04:00,0.28,-0.09,-132.47
2022-10-27 16:00:00-04:00,0.5,2.27,355.47
2023-02-01 06:00:00-05:00,1.1,1.18,6.79
2023-04-27 16:00:00-04:00,1.48,1.58,6.84
2023-07-27 16:00:00-04:00,1.73,2.05,18.14
2023-10-25 06:00:00-04:00,1.89,2.0,5.69
2024-01-25 16:00:00-05:00,1.96,1.83,-6.53
2024-04-25 16:00:00-04:00,1.86,2.0,7.46
2024-07-31 07:00:00-04:00,2.27,2.49,9.58
2024-10-23 16:00:00-04:00,2.42,2.61,7.64
2025-01-29 07:00:00-05:00,2.38,2.59,8.88
2025-04-24 16:00:00-04:00,2.48,2.64,6.64
2025-07-23 16:00:00-04:00,2.68,2.85,6.07
2025-10-23 06:00:00-04:00,2.57,2.77,7.71
2026-02-11 07:00:00-05:00,2.06,1.88,-8.92
2026-04-28 16:00:00-04:00,2.11,2.77,31.07
2026-07-23 08:00:00-04:00,2.58,,
