ts,eps_est,eps_rep,surprise_pct
2001-10-17 16:00:00-04:00,-0.04,-0.03,25.0
2002-01-28 16:00:00-05:00,-0.09,-0.06,30.77
2002-04-15 16:00:00-04:00,,0.01,357.07
2002-07-22 16:00:00-04:00,0.06,0.06,-1.36
2002-10-21 16:00:00-04:00,0.1,0.09,-10.4
2003-01-22 16:00:00-05:00,0.03,0.06,100.0
2003-04-15 16:00:00-04:00,0.06,0.07,17.61
2003-07-21 16:00:00-04:00,0.06,0.07,10.79
2003-10-20 16:00:00-04:00,0.1,0.12,18.97
2004-01-26 16:00:00-05:00,0.19,0.2,4.71
2004-04-14 16:00:00-04:00,0.21,0.21,2.21
2004-07-20 16:00:00-04:00,0.25,0.25,-1.12
2004-10-18 16:00:00-04:00,0.28,0.32,16.36
2005-01-25 16:00:00-05:00,0.26,0.26,-0.14
2005-04-18 16:00:00-04:00,0.23,0.24,4.8
2005-07-25 16:00:00-04:00,0.29,0.32,11.11
2005-10-24 16:00:00-04:00,0.39,0.41,5.13
2006-01-23 16:00:00-05:00,0.42,0.43,1.9
2006-04-18 16:00:00-04:00,0.33,0.33,-0.86
2006-07-24 16:00:00-04:00,0.47,0.47,0.43
2006-10-23 16:00:00-04:00,0.45,0.45,-0.44
2007-01-22 16:00:00-05:00,0.38,0.39,1.54
2007-04-23 16:00:00-04:00,0.31,0.35,11.95
2007-07-23 16:00:00-04:00,0.42,0.42,-0.83
2007-10-22 16:00:00-04:00,0.5,0.52,4.13
2008-01-22 16:00:00-05:00,0.52,0.53,2.58
2008-04-21 16:00:00-04:00,0.43,0.43,-0.86
2008-07-21 16:00:00-04:00,0.46,0.44,-4.35
2008-10-20 16:00:00-04:00,0.44,0.43,-2.63
2009-01-26 16:00:00-05:00,0.14,0.21,53.21
2009-04-20 16:00:00-04:00,0.01,0.07,389.85
2009-07-20 16:00:00-04:00,0.22,0.25,11.36
2009-10-19 16:00:00-04:00,0.4,0.43,6.83
2010-01-25 16:00:00-05:00,0.49,0.52,5.5
2010-04-26 15:00:00-04:00,0.51,0.53,4.52
2010-07-19 16:00:00-04:00,0.62,0.64,2.41
2010-10-25 16:00:00-04:00,0.69,0.72,4.25
2011-01-24 16:00:00-05:00,0.63,0.64,0.47
2011-04-18 16:00:00-04:00,0.58,0.55,-5.14
