ts,eps_est,eps_rep,surprise_pct
2019-05-30 16:00:00-04:00,-2.29,-2.19,4.31
2019-08-08 16:00:00-04:00,-0.92,-0.48,48.02
2019-11-04 16:00:00-05:00,-0.83,-0.68,18.36
2020-02-06 16:00:00-05:00,-0.52,-0.49,5.48
2020-05-07 17:00:00-04:00,-0.9,-1.7,-88.5
2020-08-06 16:00:00-04:00,-0.88,-1.02,-16.56
2020-11-05 16:00:00-05:00,-0.5,-0.43,12.63
2021-02-10 16:00:00-05:00,-0.42,-0.4,3.74
2021-05-05 16:00:00-04:00,-0.35,0.45,231.01
2021-08-04 16:00:00-04:00,-0.32,-0.17,47.75
2021-11-04 16:00:00-04:00,-0.3,-1.28,-328.67
2022-02-09 16:00:00-05:00,-0.29,0.64,320.41
2022-05-04 07:00:00-04:00,-0.14,-0.1,31.87
2022-08-02 07:00:00-04:00,-0.05,-0.03,42.31
2022-11-01 06:00:00-04:00,0.06,-0.21,-468.22
2023-02-08 06:00:00-05:00,-0.16,0.29,286.66
2023-05-02 06:00:00-04:00,0.15,0.33,111.86
2023-07-31 20:00:00-04:00,0.23,0.34,47.4
2023-11-07 06:00:00-05:00,0.31,0.34,9.66
2024-02-07 06:00:00-05:00,0.4,0.86,115.9
2024-05-08 06:00:00-04:00,0.39,0.18,-54.55
2024-08-06 06:00:00-04:00,0.52,0.74,41.51
2024-10-31 06:00:00-04:00,0.63,1.41,125.2
2025-02-05 06:00:00-05:00,0.48,3.21,573.42
2025-05-07 06:00:00-04:00,0.69,0.81,16.5
2025-08-06 06:00:00-04:00,0.82,0.65,-19.72
2025-11-04 06:00:00-05:00,0.69,3.11,353.17
2026-02-04 06:00:00-05:00,0.78,0.14,-81.94
2026-05-06 06:00:00-04:00,0.71,0.13,-81.74
2026-08-05 08:00:00-04:00,0.83,,
