ts,eps_est,eps_rep,surprise_pct
2001-10-18 08:00:00-04:00,0.47,0.5,6.61
2002-01-29 08:00:00-05:00,0.5,0.57,14.0
2002-04-18 08:00:00-04:00,0.47,0.5,7.3
2002-07-15 19:00:00-04:00,0.54,0.54,0.56
2002-10-22 08:00:00-04:00,0.54,0.51,-4.85
2003-01-28 08:00:00-05:00,0.57,0.59,3.87
2003-04-22 08:00:00-04:00,0.51,0.54,5.68
2003-07-22 08:00:00-04:00,0.59,0.61,3.04
2003-10-21 08:00:00-04:00,0.6,0.62,3.33
2004-01-29 08:00:00-05:00,0.69,0.7,1.74
2004-04-22 08:00:00-04:00,0.61,0.67,9.07
2004-07-22 08:00:00-04:00,0.71,0.72,1.98
2004-10-21 08:00:00-04:00,0.72,0.7,-2.51
2005-01-27 08:00:00-05:00,0.77,0.76,-1.2
2005-04-21 08:00:00-04:00,0.73,0.74,0.75
2005-07-21 08:00:00-04:00,0.85,0.88,3.27
2005-10-20 08:00:00-04:00,0.86,0.86,0.47
2006-01-26 08:00:00-05:00,0.96,0.95,-1.06
2006-04-20 08:00:00-04:00,0.88,0.89,1.42
2006-07-25 08:00:00-04:00,1.0,0.97,-2.57
2006-10-19 07:00:00-04:00,0.9,0.96,7.13
2007-01-30 07:00:00-05:00,1.04,1.04,-0.17
2007-04-25 07:00:00-04:00,0.96,0.96,0.18
2007-07-24 07:00:00-04:00,1.03,1.04,1.06
2007-10-23 07:00:00-04:00,1.02,1.05,3.21
2008-01-30 07:00:00-05:00,1.12,1.13,0.61
2008-04-23 07:00:00-04:00,0.86,0.87,0.62
2008-07-22 07:00:00-04:00,0.85,0.85,0.44
2008-10-23 07:00:00-04:00,0.89,0.96,7.55
2009-02-03 07:00:00-05:00,0.85,0.83,-1.97
2009-04-23 07:00:00-04:00,0.56,0.52,-7.42
2009-07-23 07:00:00-04:00,0.49,0.49,0.88
2009-10-22 08:00:00-04:00,0.52,0.55,6.28
2010-02-02 07:00:00-05:00,0.74,0.75,1.17
2010-04-27 19:00:00-04:00,0.57,0.71,24.23
2010-07-22 07:00:00-04:00,0.76,0.84,10.05
2010-10-21 07:00:00-04:00,0.89,0.93,5.07
2011-02-01 07:00:00-05:00,1.05,1.08,2.86
2011-04-26 07:00:00-04:00,0.85,0.88,2.96
2011-07-26 07:00:00-04:00,1.04,1.05,0.75
2011-10-25 07:00:00-04:00,1.05,1.06,0.82
2012-01-31 07:00:00-05:00,1.34,1.28,-4.51
2012-04-26 07:00:00-04:00,1.02,1.0,-1.79
2012-07-24 07:00:00-04:00,1.17,1.15,-2.06
2012-10-23 07:00:00-04:00,1.06,1.06,-0.11
2013-01-31 07:00:00-05:00,1.38,1.32,-4.09
2013-04-25 07:00:00-04:00,1.02,1.04,2.46
2013-07-23 07:00:00-04:00,1.13,1.13,
2013-10-25 07:00:00-04:00,1.15,1.16,0.78
2014-01-30 07:00:00-05:00,1.25,1.25,0.06
2014-04-24 07:00:00-04:00,1.08,0.98,-9.29
2014-07-29 07:00:00-04:00,1.25,1.21,-3.11
2014-10-24 07:00:00-04:00,1.28,1.32,2.89
2015-02-03 07:00:00-05:00,1.25,1.25,
2015-04-28 07:00:00-04:00,1.09,1.12,2.67
2015-07-28 07:00:00-04:00,1.27,1.35,6.68
2015-10-27 07:00:00-04:00,1.37,1.39,1.61
2016-02-02 07:00:00-05:00,1.42,1.57,10.7
2016-04-28 07:00:00-04:00,1.21,1.27,4.59
2016-07-29 07:00:00-04:00,1.43,1.43,0.24
2016-10-27 07:00:00-04:00,1.44,1.44,0.04
2017-01-31 07:00:00-05:00,1.69,1.63,-3.55
2017-04-27 07:00:00-04:00,1.29,1.32,2.48
2017-07-27 07:00:00-04:00,1.47,1.58,7.82
2017-10-26 07:00:00-04:00,1.45,1.45,0.14
2018-02-01 07:00:00-05:00,1.66,1.67,0.42
2018-04-26 07:00:00-04:00,1.54,1.55,0.41
2018-07-25 07:00:00-04:00,1.93,1.94,0.65
2018-10-24 07:00:00-04:00,1.82,1.82,0.13
2019-01-31 07:00:00-05:00,1.91,1.94,1.77
2019-04-25 07:00:00-04:00,1.43,1.39,-2.72
2019-07-24 07:00:00-04:00,1.93,1.96,1.56
2019-10-22 07:00:00-04:00,2.06,2.07,0.6
2020-01-30 07:00:00-05:00,2.11,2.11,0.09
2020-04-28 08:00:00-04:00,1.23,1.15,-6.5
2020-07-30 06:00:00-04:00,1.08,2.13,97.6
2020-10-28 06:00:00-04:00,1.9,2.28,20.02
2021-02-02 06:00:00-05:00,2.15,2.66,23.9
2021-04-27 06:00:00-04:00,1.72,2.77,61.06
2021-07-27 06:00:00-04:00,2.81,3.06,8.79
2021-10-26 06:00:00-04:00,2.55,2.71,6.43
2022-02-01 06:00:00-05:00,3.1,3.59,15.64
2022-04-26 06:00:00-04:00,2.88,3.05,5.82
2022-07-26 06:00:00-04:00,3.16,3.29,4.13
2022-10-25 06:00:00-04:00,2.85,2.99,4.88
