ts,eps_est,eps_rep,surprise_pct
2001-10-16 12:00:00-04:00,0.08,0.08,1.27
2002-01-15 13:00:00-05:00,0.4,0.4,
2002-04-16 11:00:00-04:00,0.44,0.44,0.69
2002-07-16 12:00:00-04:00,0.45,0.45,
2002-10-15 12:00:00-04:00,0.46,0.47,1.15
2003-01-21 12:00:00-05:00,0.48,0.48,0.21
2003-04-15 11:00:00-04:00,0.48,0.48,1.05
2003-07-15 12:00:00-04:00,0.49,0.5,2.15
2003-10-21 07:00:00-04:00,0.51,0.51,0.59
2004-01-20 08:00:00-05:00,0.51,0.5,-2.15
2004-04-20 08:00:00-04:00,0.51,0.52,2.16
2004-07-20 08:00:00-04:00,0.53,0.54,1.69
2004-10-19 09:00:00-04:00,0.56,0.56,0.72
2005-01-18 08:00:00-05:00,0.57,0.56,-0.98
2005-04-19 08:00:00-04:00,0.57,0.57,-0.01
2005-07-19 06:00:00-04:00,0.59,0.6,1.82
2005-10-18 08:00:00-04:00,0.61,0.62,1.62
2006-01-17 07:00:00-05:00,0.62,0.62,-0.68
2006-04-18 07:00:00-04:00,0.62,0.63,1.4
2006-07-18 07:00:00-04:00,0.64,0.66,2.48
2006-10-17 07:00:00-04:00,0.66,0.66,-0.12
2007-01-16 08:00:00-05:00,0.67,0.66,-0.9
2007-04-17 08:00:00-04:00,0.65,0.63,-2.74
2007-07-17 08:00:00-04:00,0.67,0.65,-2.56
2007-10-16 07:00:00-04:00,0.66,0.67,0.92
2008-01-15 08:00:00-05:00,0.56,0.53,-5.64
2008-04-15 08:00:00-04:00,0.61,0.62,0.93
2008-07-15 08:00:00-04:00,0.59,0.53,-10.89
2008-10-21 06:00:00-04:00,0.43,0.32,-25.67
2009-01-21 08:00:00-05:00,0.18,0.15,-17.53
2009-04-21 07:00:00-04:00,0.2,0.24,19.58
2009-07-22 07:00:00-04:00,0.11,0.12,11.46
2009-10-21 07:00:00-04:00,0.27,0.3,11.6
2010-01-20 07:00:00-05:00,0.29,0.3,4.14
2010-04-20 06:00:00-04:00,0.33,0.34,2.18
2010-07-21 07:00:00-04:00,0.4,0.45,13.29
2010-10-20 06:00:00-04:00,0.43,0.45,4.84
2011-01-19 07:00:00-05:00,0.47,0.49,4.7
2011-04-19 06:00:00-04:00,0.49,0.5,1.26
2011-07-20 06:00:00-04:00,0.53,0.6,12.25
2011-10-19 07:00:00-04:00,0.62,0.64,3.68
2012-01-18 07:00:00-05:00,0.63,0.64,1.09
2012-04-17 06:00:00-04:00,0.64,0.67,4.35
2012-07-18 07:00:00-04:00,0.7,0.73,4.73
2012-10-17 07:00:00-04:00,0.73,0.74,1.21
2013-01-16 06:00:00-05:00,0.74,0.75,1.52
2013-04-16 07:00:00-04:00,0.73,0.73,0.33
2013-07-17 07:00:00-04:00,0.76,0.76,-0.4
2013-10-16 07:00:00-04:00,0.75,0.76,0.72
2014-01-22 07:00:00-05:00,0.75,0.76,1.14
2014-04-16 07:00:00-04:00,0.73,0.73,-0.09
2014-07-16 07:00:00-04:00,0.77,0.78,1.84
2014-10-22 07:00:00-04:00,0.78,0.78,-0.15
2015-01-21 07:00:00-05:00,0.77,0.78,1.16
2015-04-15 07:00:00-04:00,0.76,0.76,0.08
2015-07-15 07:00:00-04:00,0.8,0.8,-0.39
2015-10-15 06:00:00-04:00,0.81,0.81,0.24
2016-01-15 06:00:00-05:00,0.79,0.79,0.04
2016-04-20 06:00:00-04:00,0.76,0.76,-0.38
2016-07-15 06:00:00-04:00,0.8,0.82,2.31
2016-10-19 06:00:00-04:00,0.83,0.84,0.76
2017-01-18 06:00:00-05:00,0.81,0.82,1.4
2017-04-19 06:00:00-04:00,0.8,0.82,2.43
2017-07-19 06:00:00-04:00,0.84,0.85,0.65
2017-10-18 06:00:00-04:00,0.88,0.88,-0.22
2018-01-17 06:00:00-05:00,0.87,0.88,0.95
2018-04-18 06:00:00-04:00,0.95,0.96,1.54
2018-07-18 06:00:00-04:00,1.0,1.02,1.67
2018-10-17 06:00:00-04:00,1.04,1.06,1.56
2019-01-16 06:00:00-05:00,1.06,1.07,1.14
2019-04-17 06:00:00-04:00,1.0,1.0,-0.19
2019-07-17 06:00:00-04:00,1.07,1.09,2.26
2019-10-16 06:00:00-04:00,1.11,1.15,3.62
2020-01-15 06:00:00-05:00,1.09,1.08,-0.55
2020-04-15 07:00:00-04:00,0.81,0.72,-10.76
2020-07-15 06:00:00-04:00,0.4,0.41,1.64
2020-10-14 06:00:00-04:00,0.91,0.99,9.15
2021-01-20 06:00:00-05:00,0.94,0.95,1.52
2021-04-15 06:00:00-04:00,0.96,1.45,51.43
2021-07-15 06:00:00-04:00,1.13,1.28,12.89
2021-10-14 06:00:00-04:00,1.16,1.3,12.41
2022-01-19 06:00:00-05:00,1.1,1.07,-2.46
2022-04-14 06:00:00-04:00,0.94,0.99,5.12
