ts,eps_est,eps_rep,surprise_pct
2001-10-23 09:00:00-04:00,0.31,0.4,26.2
2002-01-29 08:00:00-05:00,0.15,0.21,35.23
2002-04-30 08:00:00-04:00,-0.02,-0.09,-287.5
2002-07-30 08:00:00-04:00,0.03,0.03,-13.79
2002-10-30 08:00:00-05:00,0.06,0.07,17.24
2003-01-28 09:00:00-05:00,0.19,0.2,9.73
2003-04-22 08:00:00-04:00,0.33,0.38,13.26
2003-07-29 09:00:00-04:00,0.27,0.27,0.68
2003-10-30 08:00:00-05:00,0.37,0.38,2.18
2004-01-27 08:00:00-05:00,0.25,0.26,4.78
2004-04-28 09:00:00-04:00,0.44,0.46,2.71
2004-07-29 08:00:00-04:00,1.1,1.14,3.83
2004-10-26 08:00:00-04:00,0.74,0.79,6.22
2005-02-01 08:00:00-05:00,0.72,0.95,32.05
2005-04-21 08:00:00-04:00,0.97,0.96,-0.74
2005-07-26 08:00:00-04:00,1.5,1.53,2.1
2005-10-31 07:00:00-05:00,1.99,2.19,10.03
2006-01-31 08:00:00-05:00,1.95,2.0,2.41
2006-04-25 08:00:00-04:00,1.25,1.32,5.77
2006-08-01 08:00:00-04:00,2.95,2.98,1.15
2006-10-31 08:00:00-05:00,2.29,2.42,5.91
2007-02-01 08:00:00-05:00,1.38,1.59,15.55
2007-04-26 08:00:00-04:00,1.8,1.86,3.15
2007-07-31 08:00:00-04:00,3.75,3.89,3.78
2007-11-06 07:00:00-05:00,1.35,1.4,3.45
2008-01-29 07:00:00-05:00,0.67,1.02,52.37
2008-04-29 07:00:00-04:00,0.33,0.36,8.57
2008-07-29 07:00:00-04:00,1.35,1.37,1.42
2008-10-28 07:00:00-04:00,1.54,1.86,20.63
2009-01-27 07:00:00-05:00,0.92,1.0,8.34
2009-04-28 07:00:00-04:00,0.49,0.59,20.25
2009-07-28 07:00:00-04:00,-0.5,-0.48,4.92
2009-10-27 08:00:00-04:00,-0.34,-0.39,-15.94
2010-01-27 07:00:00-05:00,-0.48,-0.28,41.84
2010-04-27 06:00:00-04:00,-0.22,-0.18,19.83
2010-07-27 07:00:00-04:00,0.68,0.93,37.49
2010-10-26 07:00:00-04:00,0.47,0.51,7.87
2011-01-26 07:00:00-05:00,0.34,0.4,19.21
2011-04-26 07:00:00-04:00,0.36,0.79,116.97
2011-07-26 07:00:00-04:00,1.45,1.3,-10.04
2011-11-01 07:00:00-04:00,1.78,2.11,18.61
2012-01-31 07:00:00-05:00,-0.25,-0.21,16.2
2012-05-01 07:00:00-04:00,0.28,0.31,10.67
2012-07-31 07:00:00-04:00,1.44,1.5,3.88
2012-10-30 08:00:00-04:00,1.75,1.9,8.45
2013-01-29 07:00:00-05:00,1.15,1.88,63.6
2013-04-30 07:00:00-04:00,1.0,1.18,17.57
2013-07-23 07:00:00-04:00,0.94,0.96,2.25
2013-10-29 07:00:00-04:00,0.41,0.57,40.49
2014-01-29 07:00:00-05:00,1.47,1.78,20.84
2014-04-29 07:00:00-04:00,1.4,1.54,9.77
2014-07-30 08:00:00-04:00,1.2,1.22,1.49
2014-11-04 07:00:00-05:00,1.55,2.0,28.9
2015-01-29 07:00:00-05:00,1.32,1.83,38.18
