ts,eps_est,eps_rep,surprise_pct
2001-10-30 07:00:00-05:00,0.77,0.75,-3.1
2002-01-31 07:00:00-05:00,0.77,0.77,-0.26
2002-04-23 07:00:00-04:00,0.72,0.72,-0.23
2002-07-31 07:00:00-04:00,0.77,0.77,-0.07
2002-10-25 07:00:00-04:00,0.77,0.77,0.53
2003-01-29 07:00:00-05:00,0.79,0.79,0.37
2003-04-22 07:00:00-04:00,0.63,0.63,-0.27
2003-07-29 07:00:00-04:00,0.68,0.69,1.42
2003-10-28 07:00:00-05:00,0.62,0.67,7.67
2004-01-29 06:00:00-05:00,0.56,0.58,3.48
2004-04-27 07:00:00-04:00,0.57,0.58,0.98
2004-07-27 07:00:00-04:00,0.6,0.64,6.14
2004-10-28 06:00:00-04:00,0.64,0.65,1.62
2005-01-27 07:00:00-05:00,0.63,0.64,0.95
2005-04-27 07:00:00-04:00,0.6,0.63,5.0
2005-07-26 07:00:00-04:00,0.64,0.63,-1.12
2005-10-27 07:00:00-04:00,0.64,0.66,3.54
2006-01-26 07:00:00-05:00,0.64,0.64,-0.39
2006-05-02 07:00:00-04:00,0.59,0.6,1.18
2006-08-01 06:00:00-04:00,0.62,0.64,2.56
2006-10-30 07:00:00-05:00,0.66,0.68,3.19
2007-01-29 07:00:00-05:00,0.62,0.62,0.81
2007-04-30 07:00:00-04:00,0.54,0.54,0.93
2007-07-30 07:00:00-04:00,0.58,0.58,-0.34
2007-10-29 07:00:00-04:00,0.62,0.63,1.94
2008-01-28 07:00:00-05:00,0.62,0.62,-0.32
2008-04-28 07:00:00-04:00,0.61,0.61,-0.61
2008-07-28 07:00:00-04:00,0.64,0.67,3.91
2008-10-27 07:00:00-04:00,0.65,0.66,0.77
2009-01-27 07:00:00-05:00,0.62,0.61,-0.98
2009-04-27 07:00:00-04:00,0.59,0.63,6.54
2009-07-27 07:00:00-04:00,0.63,0.63,0.2
2009-10-26 07:00:00-04:00,0.59,0.6,1.55
2010-01-26 07:00:00-05:00,0.54,0.54,-0.46
