ts,eps_est,eps_rep,surprise_pct
2001-10-25 06:00:00-04:00,0.25,0.27,4.74
2002-02-06 07:00:00-05:00,0.28,0.3,9.09
2002-04-30 06:00:00-04:00,0.33,0.34,4.62
2002-07-26 07:00:00-04:00,0.16,0.19,19.35
2002-10-25 07:00:00-04:00,0.24,0.23,-6.83
2003-02-10 07:00:00-05:00,0.34,0.32,-8.43
2003-04-30 07:00:00-04:00,0.36,0.4,10.49
2003-07-31 07:00:00-04:00,0.17,0.21,22.45
2003-10-23 07:00:00-04:00,0.22,0.24,9.05
2004-02-11 08:00:00-05:00,0.31,0.32,2.07
2004-05-03 07:00:00-04:00,0.38,0.4,3.95
2004-08-05 08:00:00-04:00,0.14,0.16,15.12
2004-11-02 07:00:00-05:00,0.22,0.23,2.68
2005-02-10 07:00:00-05:00,0.39,0.4,2.33
2005-04-28 07:00:00-04:00,0.37,0.38,2.7
2005-07-27 07:00:00-04:00,0.13,0.17,35.46
2005-10-26 07:00:00-04:00,0.26,0.28,7.07
2006-02-08 07:00:00-05:00,0.35,0.39,9.22
2006-05-01 07:00:00-04:00,0.38,0.44,16.71
2006-08-01 07:00:00-04:00,0.23,0.25,8.7
2006-10-26 07:00:00-04:00,0.28,0.3,8.7
2007-02-07 07:00:00-05:00,0.3,0.3,0.17
2007-05-01 07:00:00-04:00,0.4,0.43,7.46
2007-07-31 07:00:00-04:00,0.19,0.25,32.43
2007-10-30 07:00:00-04:00,0.34,0.35,4.48
2008-02-05 07:00:00-05:00,0.34,0.4,17.33
2008-04-29 07:00:00-04:00,0.43,0.52,20.93
2008-07-31 07:00:00-04:00,0.25,0.25,-1.41
2008-10-29 07:00:00-04:00,0.28,0.33,17.97
2009-02-03 07:00:00-05:00,0.36,0.43,17.4
2009-05-05 07:00:00-04:00,0.52,0.6,14.83
2009-07-30 07:00:00-04:00,0.21,0.25,17.79
2009-10-29 07:00:00-04:00,0.26,0.25,-5.3
2010-02-02 07:00:00-05:00,0.44,0.48,7.99
2010-05-04 07:00:00-04:00,0.51,0.55,7.49
2010-07-29 07:00:00-04:00,0.35,0.37,5.07
2010-10-26 07:00:00-04:00,0.43,0.48,10.54
2011-02-01 16:00:00-05:00,0.49,0.53,9.21
2011-05-03 07:00:00-04:00,0.66,0.72,8.61
2011-07-28 07:00:00-04:00,0.39,0.46,18.09
2011-10-27 07:00:00-04:00,0.49,0.55,12.9
2012-02-02 07:00:00-05:00,0.48,0.5,3.91
2012-05-01 07:00:00-04:00,0.73,0.74,1.76
2012-08-01 07:00:00-04:00,0.44,0.51,16.69
2012-10-31 07:00:00-04:00,0.57,0.67,16.68
2013-01-30 07:00:00-05:00,0.42,0.43,3.16
2013-04-30 07:00:00-04:00,0.69,0.76,10.01
2013-07-31 07:00:00-04:00,0.46,0.52,12.65
2013-10-30 07:00:00-04:00,0.56,0.6,6.83
2014-02-06 07:00:00-05:00,0.59,0.63,6.65
2014-04-30 07:00:00-04:00,0.85,0.91,7.58
2014-07-30 07:00:00-04:00,0.51,0.59,15.05
2014-10-29 07:00:00-04:00,0.52,0.57,9.67
2015-02-11 07:00:00-05:00,0.56,0.56,-0.78
2015-05-05 07:00:00-04:00,0.82,0.86,4.27
2015-07-29 07:00:00-04:00,0.56,0.59,5.88
2015-11-04 07:00:00-05:00,0.59,0.59,-0.2
2016-02-04 07:00:00-05:00,0.63,0.63,-0.78
2016-05-03 07:00:00-04:00,1.02,1.09,7.21
2016-07-27 07:00:00-04:00,0.55,0.57,3.62
2016-10-26 07:00:00-04:00,0.6,0.68,14.29
2017-02-01 07:00:00-05:00,0.6,0.61,0.99
2017-05-02 07:00:00-04:00,1.1,1.12,1.82
2017-07-26 07:00:00-04:00,0.6,0.63,5.43
2017-10-26 07:00:00-04:00,0.67,0.68,1.46
2018-01-31 07:00:00-05:00,0.68,0.71,4.87
2018-05-01 07:00:00-04:00,1.16,1.23,6.26
2018-07-31 07:00:00-04:00,0.67,0.73,9.0
2018-10-31 07:00:00-04:00,0.71,0.74,3.8
2019-02-12 07:00:00-05:00,0.63,0.65,3.11
2019-04-25 07:00:00-04:00,1.25,1.33,6.19
2019-08-05 07:00:00-04:00,0.7,0.74,5.1
2019-11-06 07:00:00-05:00,0.72,0.74,2.81
