ts,eps_est,eps_rep,surprise_pct
2001-10-16 08:00:00-04:00,0.34,0.34,-2.1
2002-01-15 08:00:00-05:00,0.34,0.35,0.73
2002-04-16 08:00:00-04:00,0.39,0.4,2.04
2002-07-16 08:00:00-04:00,0.41,0.41,0.24
2002-10-15 08:00:00-04:00,0.42,0.42,0.24
2003-01-21 08:00:00-05:00,0.43,0.43,0.37
2003-04-15 08:00:00-04:00,0.44,0.44,0.69
2003-07-15 06:00:00-04:00,0.45,0.45,-0.63
2003-10-21 08:00:00-04:00,0.47,0.46,-1.08
2004-01-20 08:00:00-05:00,0.48,0.48,-0.44
2004-04-20 08:00:00-04:00,0.49,0.52,5.79
2004-07-20 08:00:00-04:00,0.5,0.5,
2004-10-19 08:00:00-04:00,0.53,0.51,-3.47
2005-01-18 08:00:00-05:00,0.53,0.54,0.94
2005-04-19 08:00:00-04:00,0.54,0.54,-0.78
2005-07-19 08:00:00-04:00,0.56,0.56,-0.53
2005-10-18 08:00:00-04:00,0.57,0.58,1.07
2006-01-17 08:00:00-05:00,0.58,0.57,-1.28
2006-04-18 08:00:00-04:00,0.6,0.6,-0.5
2006-07-18 08:00:00-04:00,0.62,0.62,-0.32
2006-10-17 08:00:00-04:00,0.8,0.64,-20.4
2007-01-16 08:00:00-05:00,0.75,0.64,-14.26
2007-04-17 08:00:00-04:00,0.64,0.66,3.13
2007-07-17 08:00:00-04:00,0.7,0.67,-4.29
2007-10-16 08:00:00-04:00,0.69,0.68,-1.73
2008-01-16 08:00:00-05:00,0.41,0.41,1.18
2008-04-16 08:00:00-04:00,0.57,0.6,5.5
2008-07-16 08:00:00-04:00,0.49,0.53,7.29
2008-10-15 08:00:00-04:00,0.36,0.49,35.11
2009-01-28 08:00:00-05:00,-0.11,-0.79,-618.18
2009-04-22 08:00:00-04:00,0.5,0.59,18.53
2009-07-22 08:00:00-04:00,0.32,0.57,79.81
2009-10-21 08:00:00-04:00,0.39,0.56,45.04
2010-01-20 08:00:00-05:00,0.02,0.08,400.0
2010-04-21 07:00:00-04:00,0.41,0.5,22.73
2010-07-21 08:00:00-04:00,0.48,0.55,13.42
2010-10-20 07:00:00-04:00,0.53,0.6,12.24
2011-01-19 08:00:00-05:00,0.61,0.61,-0.72
2011-04-20 08:00:00-04:00,0.65,0.67,2.55
2011-07-19 08:00:00-04:00,0.68,0.7,3.13
2011-10-17 08:00:00-04:00,0.72,0.72,0.63
