ts,eps_est,eps_rep,surprise_pct
2001-10-25 07:00:00-04:00,0.54,0.65,19.49
2002-01-29 07:00:00-05:00,0.39,0.34,-13.8
2002-04-25 07:00:00-04:00,0.42,0.51,22.07
2002-07-29 07:00:00-04:00,-0.38,-0.34,10.53
2002-11-14 08:00:00-05:00,-0.01,-0.4,-2976.92
2003-02-20 08:00:00-05:00,-0.16,0.19,216.56
2003-05-13 07:00:00-04:00,0.02,0.04,73.91
2003-08-12 08:00:00-04:00,-0.03,,100.0
2003-11-06 08:00:00-05:00,0.04,0.01,-76.19
2004-02-19 08:00:00-05:00,0.03,0.11,266.67
2004-05-06 07:00:00-04:00,0.08,0.02,-75.0
2004-08-05 07:00:00-04:00,0.08,0.12,60.0
2004-11-04 08:00:00-05:00,0.12,0.09,-23.73
2005-02-23 08:00:00-05:00,0.09,0.09,-4.52
2005-05-05 08:00:00-04:00,0.22,0.22,-1.79
2005-08-04 08:00:00-04:00,0.2,0.17,-15.0
2005-11-03 08:00:00-05:00,0.25,0.22,-11.65
2006-02-28 07:00:00-05:00,0.3,0.26,-12.75
2006-05-02 08:00:00-04:00,0.25,0.26,4.0
2006-08-03 07:00:00-04:00,0.22,0.33,50.68
2006-11-02 06:00:00-05:00,0.26,0.28,7.28
2007-02-22 07:00:00-05:00,0.26,0.3,15.38
2007-05-03 07:00:00-04:00,0.34,0.29,-15.7
2007-08-02 07:00:00-04:00,0.36,0.43,20.45
2007-11-01 07:00:00-04:00,0.37,0.39,5.41
2008-02-21 07:00:00-05:00,0.48,0.59,23.06
2008-05-01 07:00:00-04:00,0.51,0.57,11.45
2008-08-07 07:00:00-04:00,0.7,0.68,-2.26
2008-11-06 07:00:00-05:00,0.63,0.57,-9.43
2009-02-19 07:00:00-05:00,0.3,0.33,10.69
2009-04-30 07:00:00-04:00,0.2,0.22,12.24
2009-08-06 07:00:00-04:00,0.16,0.2,27.39
2009-10-29 07:00:00-04:00,0.19,0.25,29.53
2010-02-18 07:00:00-05:00,0.34,0.27,-19.4
2010-05-05 07:00:00-04:00,0.38,0.36,-4.07
2010-07-29 07:00:00-04:00,0.3,0.27,-8.63
2010-10-28 06:00:00-04:00,0.27,0.22,-18.76
2011-02-17 07:00:00-05:00,0.27,0.44,62.9
2011-05-04 16:00:00-04:00,0.35,0.36,3.69
2011-08-03 16:00:00-04:00,0.39,0.39,0.94
2011-11-01 16:00:00-04:00,0.41,0.4,-2.38
2012-02-22 16:00:00-05:00,0.4,0.42,5.27
2012-04-25 16:00:00-04:00,0.36,0.39,7.68
2012-08-01 16:00:00-04:00,0.22,0.22,0.03
2012-10-31 16:00:00-04:00,0.27,0.25,-5.82
2013-02-20 16:00:00-05:00,0.26,0.25,-3.16
2013-05-07 16:00:00-04:00,0.24,0.22,-8.81
2013-07-31 16:00:00-04:00,0.15,0.19,26.16
2013-10-30 16:00:00-04:00,0.16,0.19,18.8
