ts,eps_est,eps_rep,surprise_pct
2002-05-14 07:00:00-04:00,0.12,0.12,2.39
2002-05-14 07:00:00-04:00,0.1,0.1,-0.83
2002-08-13 07:00:00-04:00,0.15,0.15,2.34
2002-08-13 07:00:00-04:00,0.12,0.12,-3.64
2002-11-13 07:00:00-05:00,0.13,0.14,1.8
2003-02-18 07:00:00-05:00,0.19,0.19,1.64
2003-05-13 07:00:00-04:00,0.14,0.14,0.21
2003-08-13 06:00:00-04:00,0.17,0.17,-0.2
2003-11-13 06:00:00-05:00,0.16,0.15,-1.79
2004-02-19 07:00:00-05:00,0.21,0.21,-0.42
2004-05-13 06:00:00-04:00,0.16,0.17,1.67
2004-08-12 06:00:00-04:00,0.2,0.21,2.61
2004-11-16 06:00:00-05:00,0.18,0.18,0.45
2005-02-17 06:00:00-05:00,0.25,0.25,1.57
2005-05-12 06:00:00-04:00,0.19,0.18,-2.37
2005-08-16 06:00:00-04:00,0.22,0.22,2.55
2005-11-14 06:00:00-05:00,0.19,0.2,3.11
2006-02-21 06:00:00-05:00,0.28,0.28,0.89
2006-05-16 06:00:00-04:00,0.2,0.21,4.21
2006-08-15 06:00:00-04:00,0.24,0.24,-0.88
2006-11-14 06:00:00-05:00,0.2,0.2,0.96
2007-02-20 06:00:00-05:00,0.3,0.31,3.33
2007-05-15 06:00:00-04:00,0.23,0.23,0.49
2007-08-14 06:00:00-04:00,0.25,0.24,-5.82
2007-11-13 01:00:00-05:00,0.22,0.23,2.99
2008-02-19 06:00:00-05:00,0.34,0.35,2.16
2008-05-13 06:00:00-04:00,0.25,0.25,0.66
2008-08-14 06:00:00-04:00,0.28,0.29,2.7
2008-11-13 06:00:00-05:00,0.25,0.26,1.46
2009-02-17 07:00:00-05:00,0.32,0.34,6.29
2009-05-14 07:00:00-04:00,0.26,0.26,-0.3
2009-08-13 07:00:00-04:00,0.28,0.29,2.99
2009-11-12 07:00:00-05:00,0.27,0.28,3.85
2010-02-18 07:00:00-05:00,0.37,0.39,4.35
2010-05-18 08:00:00-04:00,0.29,0.29,2.27
2010-08-17 07:00:00-04:00,0.32,0.32,0.4
2010-11-16 07:00:00-05:00,0.3,0.3,-0.19
2011-02-22 07:00:00-05:00,0.44,0.45,2.29
2011-05-17 07:00:00-04:00,0.32,0.33,2.72
2011-08-16 07:00:00-04:00,0.36,0.36,1.18
2011-11-15 07:00:00-05:00,0.33,0.32,-0.83
2012-02-21 07:00:00-05:00,0.49,0.48,-1.06
2012-05-17 07:00:00-04:00,0.35,0.36,4.41
2012-08-16 07:00:00-04:00,0.39,0.39,0.66
2012-11-15 07:00:00-05:00,0.36,0.36,0.66
2013-02-21 07:00:00-05:00,0.52,0.56,6.44
2013-05-16 07:00:00-04:00,0.38,0.38,-0.46
2013-08-15 07:00:00-04:00,0.42,0.42,-0.14
2013-11-14 07:00:00-05:00,0.38,0.38,1.05
2014-02-20 07:00:00-05:00,0.53,0.53,0.87
2014-05-15 07:00:00-04:00,0.38,0.37,-4.53
2014-08-14 07:00:00-04:00,0.4,0.4,0.01
2014-11-13 07:00:00-05:00,0.37,0.38,2.77
2015-02-19 08:00:00-05:00,0.51,0.54,4.97
2015-05-19 07:00:00-04:00,0.35,0.34,-1.44
2015-08-18 07:00:00-04:00,0.37,0.36,-3.95
2015-11-17 07:00:00-05:00,0.33,0.33,1.21
2016-02-18 07:00:00-05:00,0.49,0.5,2.22
2016-05-19 07:00:00-04:00,0.29,0.33,10.87
2016-08-18 07:00:00-04:00,0.34,0.36,4.23
2016-11-17 07:00:00-05:00,0.32,0.33,2.2
2017-02-21 07:00:00-05:00,0.43,0.43,0.96
2017-05-18 07:00:00-04:00,0.32,0.33,3.83
2017-08-17 06:00:00-04:00,0.36,0.36,1.21
2017-11-16 07:00:00-05:00,0.32,0.33,2.81
2018-02-20 06:00:00-05:00,0.46,0.44,-2.96
2018-05-17 07:00:00-04:00,0.37,0.38,1.51
2018-08-16 07:00:00-04:00,0.41,0.43,6.0
2018-11-15 07:00:00-05:00,0.34,0.36,6.39
2019-02-19 07:00:00-05:00,0.44,0.47,5.67
2019-05-16 07:00:00-04:00,0.34,0.38,10.82
2019-08-15 07:00:00-04:00,0.41,0.42,4.3
2019-11-14 07:00:00-05:00,0.36,0.39,6.36
2020-02-18 06:00:00-05:00,0.48,0.46,-3.84
2020-05-19 07:00:00-04:00,0.36,0.39,8.48
2020-08-18 06:00:00-04:00,0.42,0.52,24.11
2020-11-17 07:00:00-05:00,0.4,0.45,12.8
2021-02-18 06:00:00-05:00,0.5,0.46,-8.0
2021-05-18 06:00:00-04:00,0.4,0.56,40.06
2021-08-17 07:00:00-04:00,0.52,0.59,13.17
2021-11-16 07:00:00-05:00,0.46,0.48,3.97
2022-02-17 07:00:00-05:00,0.5,0.51,2.21
2022-05-17 06:00:00-04:00,0.49,0.43,-12.1
2022-08-16 07:00:00-04:00,0.54,0.59,10.02
2022-11-15 07:00:00-05:00,0.44,0.5,13.95
2023-02-21 07:00:00-05:00,0.5,0.57,12.88
2023-05-18 07:00:00-04:00,0.44,0.49,11.64
2023-08-17 06:00:00-04:00,0.57,0.61,7.88
2023-11-16 06:00:00-05:00,0.51,0.51,0.39
2024-02-20 06:00:00-05:00,0.55,0.6,9.35
2024-05-16 06:00:00-04:00,0.53,0.6,14.24
2024-08-15 06:00:00-04:00,0.65,0.67,3.76
2024-11-19 06:00:00-05:00,0.53,0.58,8.84
2025-02-20 06:00:00-05:00,0.65,0.66,2.04
2025-05-15 06:00:00-04:00,0.58,0.61,5.64
2025-08-21 06:00:00-04:00,0.74,0.68,-7.97
2025-11-20 06:00:00-05:00,0.6,0.62,3.11
2026-02-19 06:00:00-05:00,0.73,0.74,1.79
2026-05-21 06:00:00-04:00,0.66,0.66,0.19
2026-08-20 08:00:00-04:00,0.74,,
