ts,eps_est,eps_rep,surprise_pct
2003-01-23 00:00:00-05:00,-0.05,-0.16,-220.0
2004-03-15 00:00:00-05:00,-0.09,-0.16,-83.91
2004-05-05 00:00:00-04:00,-0.21,-0.16,23.81
2004-08-02 20:00:00-04:00,-0.08,,100.0
2004-11-04 00:00:00-05:00,0.01,-0.26,-2700.0
2005-03-15 06:00:00-05:00,-0.13,-0.35,-165.78
2005-05-04 02:00:00-04:00,-0.09,,100.0
2005-08-01 18:00:00-04:00,0.08,0.08,-2.44
2005-11-03 09:00:00-05:00,0.09,-0.01,-110.69
2006-02-23 16:00:00-05:00,0.07,0.05,-29.9
2006-05-03 16:00:00-04:00,0.11,0.01,-91.07
2006-08-01 16:00:00-04:00,0.05,-0.05,-193.76
2006-11-07 17:00:00-05:00,0.06,-0.01,-116.67
2007-02-27 16:00:00-05:00,0.47,0.53,13.73
2007-05-07 16:00:00-04:00,0.54,0.67,23.93
2007-08-06 16:00:00-04:00,0.52,0.92,75.35
2007-10-30 16:00:00-04:00,0.62,0.67,8.31
2008-02-12 16:00:00-05:00,0.68,0.72,6.33
2008-05-01 16:00:00-04:00,0.71,0.69,-2.55
2008-07-24 16:00:00-04:00,0.93,1.11,18.98
2008-10-30 16:00:00-04:00,0.59,0.62,4.31
2009-02-24 16:00:00-05:00,0.41,0.07,-82.84
2009-05-05 09:00:00-04:00,,-0.27,-6208.6
2009-07-30 08:00:00-04:00,-0.01,0.09,900.0
2009-10-27 08:00:00-04:00,0.16,0.33,106.68
2010-02-25 16:00:00-05:00,0.07,0.08,9.59
2010-04-29 16:00:00-04:00,0.17,0.26,56.71
2010-07-29 16:00:00-04:00,0.41,0.52,26.5
2010-11-02 16:00:00-04:00,0.4,0.39,-2.68
2011-02-10 16:00:00-05:00,0.69,0.91,32.35
2011-04-19 16:00:00-04:00,0.73,1.38,88.4
2011-07-18 16:00:00-04:00,1.04,1.6,53.67
2011-10-19 16:00:00-04:00,1.17,1.05,-10.04
2012-02-02 16:00:00-05:00,1.29,1.55,20.59
2012-05-07 16:00:00-04:00,1.41,1.33,-5.49
2012-07-17 16:00:00-04:00,1.54,1.38,-10.63
2012-10-24 16:00:00-04:00,1.33,1.48,11.05
2013-01-31 16:00:00-05:00,1.27,1.17,-8.07
2013-04-25 16:00:00-04:00,1.55,2.03,31.27
2013-07-29 07:00:00-04:00,1.56,1.51,-3.1
2013-10-24 16:00:00-04:00,1.66,1.84,10.7
2014-01-30 16:00:00-05:00,1.73,2.27,30.9
2014-05-01 16:00:00-04:00,2.06,2.32,12.71
2014-07-29 07:00:00-04:00,2.02,2.11,4.4
2014-10-28 16:00:00-04:00,1.84,1.95,6.12
2015-02-03 16:00:00-05:00,1.45,1.2,-17.1
2015-04-28 16:00:00-04:00,1.3,0.7,-46.01
2015-07-29 16:00:00-04:00,0.97,0.74,-23.79
2015-10-15 16:00:00-04:00,0.86,0.86,-0.01
2016-02-11 16:00:00-05:00,0.78,1.03,32.15
2016-05-05 16:00:00-04:00,0.82,1.07,30.65
2016-07-28 16:00:00-04:00,0.96,1.07,11.93
2016-11-02 16:00:00-04:00,0.83,0.75,-9.45
2017-01-26 16:00:00-05:00,0.87,0.5,-42.62
2017-04-25 16:00:00-04:00,0.95,1.24,31.09
2017-07-25 16:00:00-04:00,1.18,1.18,0.39
2017-10-26 16:00:00-04:00,1.43,1.52,6.05
2018-01-22 09:00:00-05:00,1.42,1.4,-1.68
2018-04-24 16:00:00-04:00,2.03,2.3,13.45
2018-08-01 16:00:00-04:00,1.97,1.53,-22.47
2018-11-07 16:00:00-05:00,1.67,1.68,0.55
2019-01-30 16:00:00-05:00,1.35,1.06,-21.61
2019-05-09 16:00:00-04:00,1.58,1.61,2.22
2019-08-06 16:00:00-04:00,1.39,1.44,3.35
2019-11-06 16:00:00-05:00,0.9,0.17,-81.02
2020-02-06 16:00:00-05:00,0.97,-0.62,-164.2
2020-05-06 17:00:00-04:00,-1.86,-3.54,-90.18
2020-08-04 16:00:00-04:00,-4.91,-6.14,-25.01
2020-11-05 16:00:00-05:00,-3.89,-7.04,-81.12
2021-02-04 16:00:00-05:00,-2.4,-2.45,-2.0
2021-05-10 16:00:00-04:00,-2.03,-2.41,-18.93
2021-08-04 16:00:00-04:00,-1.58,-1.12,28.98
2021-11-09 16:00:00-05:00,-1.29,-1.24,4.15
2022-02-15 16:00:00-05:00,-1.18,-1.37,-16.01
2022-05-10 16:00:00-04:00,-1.15,-1.21,-5.21
2022-08-09 16:00:00-04:00,-1.02,-0.82,19.69
2022-11-09 16:00:00-05:00,-1.01,-1.2,-18.5
2023-02-08 16:00:00-05:00,-1.16,-1.23,-5.67
2023-05-09 16:00:00-04:00,-0.03,0.29,970.35
2023-08-09 16:00:00-04:00,0.72,0.91,26.17
2023-11-09 16:00:00-05:00,0.8,0.99,23.9
2024-02-07 16:00:00-05:00,1.16,1.91,64.9
2024-05-07 16:00:00-04:00,1.39,1.59,14.56
2024-08-06 16:00:00-04:00,1.19,1.12,-6.1
2024-11-04 16:00:00-05:00,1.1,0.9,-17.88
2025-02-13 16:00:00-05:00,1.27,2.42,91.11
2025-05-06 16:00:00-04:00,1.24,1.07,-13.98
2025-08-07 16:00:00-04:00,1.2,1.09,-8.79
2025-11-06 16:00:00-05:00,1.15,0.86,-25.44
2026-02-12 16:00:00-05:00,1.48,1.17,-20.7
2026-05-07 16:00:00-04:00,1.18,1.25,5.5
2026-08-06 16:00:00-04:00,1.07,,
