ts,eps_est,eps_rep,surprise_pct
2000-10-19 20:00:00-04:00,0.34,0.26,-23.85
2001-01-24 07:00:00-05:00,-0.28,-0.67,-137.59
2001-04-19 19:00:00-04:00,-1.05,-1.12,-6.36
2001-07-23 08:00:00-04:00,-0.55,-0.36,35.02
2001-10-22 08:00:00-04:00,-0.41,-0.22,46.5
2002-01-29 08:00:00-05:00,-1.0,-1.36,-36.3
2002-04-26 07:00:00-04:00,-0.79,-1.07,-35.87
2002-07-22 18:00:00-04:00,-0.02,0.18,1000.0
2002-10-21 08:00:00-04:00,0.52,1.0,94.17
2003-01-28 08:00:00-05:00,0.38,0.44,17.02
2003-04-29 07:00:00-04:00,-0.28,-0.19,31.9
2003-08-04 08:00:00-04:00,-0.05,-0.01,79.59
2003-10-28 08:00:00-05:00,-0.07,-0.15,-102.7
2004-01-30 09:00:00-05:00,-0.31,-0.03,90.45
2004-04-27 08:00:00-04:00,0.38,0.36,-5.26
2004-07-27 08:00:00-04:00,1.5,1.62,8.36
2004-10-26 09:00:00-04:00,2.06,2.72,32.3
2005-01-24 17:00:00-05:00,2.64,3.44,30.29
2005-04-26 07:00:00-04:00,2.31,3.03,31.4
2005-07-26 10:00:00-04:00,2.17,1.9,-12.48
2005-10-25 08:00:00-04:00,0.82,0.82,0.12
2006-01-30 16:00:00-05:00,1.11,1.15,3.25
2006-04-25 08:00:00-04:00,1.51,2.08,38.21
2006-07-25 08:00:00-04:00,2.41,3.1,28.58
2006-10-31 08:00:00-05:00,3.23,3.59,11.11
2007-01-29 17:00:00-05:00,2.19,2.29,4.75
2007-04-24 08:00:00-04:00,1.88,2.32,23.26
2007-07-24 09:00:00-04:00,2.34,2.66,13.51
2007-10-30 07:00:00-04:00,2.63,2.5,-5.11
2008-01-29 08:00:00-05:00,2.16,1.27,-41.2
2008-04-29 08:00:00-04:00,1.82,1.77,-2.53
2008-07-29 08:00:00-04:00,3.84,5.68,47.8
2008-10-28 08:00:00-04:00,7.14,8.46,18.42
2009-01-27 08:00:00-05:00,0.69,2.0,191.28
2009-04-27 16:00:00-04:00,-1.62,-3.84,-136.89
2009-07-28 08:00:00-04:00,-3.45,-3.28,4.81
2009-10-27 07:00:00-04:00,-2.89,-2.11,26.92
2010-01-26 08:00:00-05:00,-1.49,-1.83,-22.77
2010-04-27 07:00:00-04:00,-1.45,-0.73,49.8
2010-07-27 07:00:00-04:00,0.63,0.45,-28.64
2010-10-26 07:00:00-04:00,0.21,-1.2,-663.91
2011-01-25 07:00:00-05:00,-1.08,-1.22,-13.1
2011-04-26 08:00:00-04:00,-0.4,-1.17,-191.04
2011-07-25 17:00:00-04:00,1.21,1.12,-7.11
2011-10-25 07:00:00-04:00,0.55,0.72,31.12
2012-01-31 07:00:00-05:00,-0.84,-1.14,-35.6
2012-04-24 08:00:00-04:00,0.46,0.67,47.25
2012-07-31 07:00:00-04:00,0.5,0.69,37.53
2012-10-30 08:00:00-04:00,0.01,0.14,2607.93
2013-01-29 07:00:00-05:00,-0.74,-0.41,44.46
2013-04-30 08:00:00-04:00,-0.2,-0.35,-77.56
2013-07-29 17:00:00-04:00,-0.79,-0.54,31.59
2013-10-28 19:00:00-04:00,-0.45,-0.14,68.86
2014-01-27 18:00:00-05:00,-0.25,0.27,210.05
2014-04-29 16:00:00-04:00,0.34,0.34,1.32
2014-07-29 16:00:00-04:00,-0.32,0.17,152.58
2014-10-28 16:00:00-04:00,1.18,2.16,82.49
2015-01-27 16:00:00-05:00,0.8,1.82,128.18
2015-04-28 16:00:00-04:00,0.23,-0.07,-131.09
2015-07-28 20:00:00-04:00,-0.6,-0.79,-30.88
2015-11-03 16:00:00-05:00,-0.24,-0.7,-189.22
2016-01-26 16:00:00-05:00,-0.85,-0.23,72.94
2016-04-26 16:00:00-04:00,-1.25,-2.15,-72.05
2016-07-26 16:00:00-04:00,-0.54,-0.31,42.51
2016-11-01 16:00:00-04:00,0.83,0.4,-51.62
2017-01-31 16:00:00-05:00,-0.02,0.27,1382.05
2017-04-25 16:00:00-04:00,0.33,-0.83,-348.45
2017-07-25 16:00:00-04:00,0.41,1.07,159.58
2017-10-31 17:00:00-04:00,0.7,0.92,31.16
2018-01-31 18:00:00-05:00,0.67,0.76,13.31
2018-04-26 16:00:00-04:00,0.3,0.32,7.98
2018-08-01 16:00:00-04:00,1.12,1.46,30.46
2018-11-01 16:00:00-04:00,1.73,1.79,3.41
2019-01-30 16:00:00-05:00,1.83,1.82,-0.64
2019-05-02 16:00:00-04:00,0.19,0.47,152.57
2019-08-01 16:00:00-04:00,0.39,0.45,14.56
2019-10-31 16:00:00-04:00,-0.25,-0.21,17.36
2020-01-30 16:00:00-05:00,-1.08,-0.64,40.51
2020-04-30 17:00:00-04:00,-0.82,-0.73,10.52
2020-07-30 16:00:00-04:00,-2.79,-2.67,4.22
2020-10-29 16:00:00-04:00,-1.4,-1.21,13.3
2021-01-28 17:00:00-05:00,-0.65,-0.27,58.15
2021-04-29 16:00:00-04:00,1.13,1.08,-4.33
2021-07-29 16:00:00-04:00,3.09,3.37,8.92
2021-10-28 16:00:00-04:00,4.93,5.36,8.76
2022-01-27 16:00:00-05:00,4.25,3.64,-14.43
2022-04-28 16:00:00-04:00,3.19,3.05,-4.31
2022-07-28 16:00:00-04:00,3.86,3.86,0.02
2022-10-27 16:00:00-04:00,1.93,1.95,1.12
2023-02-02 16:00:00-05:00,0.63,0.87,38.96
2023-04-27 16:00:00-04:00,0.56,0.77,37.5
2023-07-27 16:00:00-04:00,1.77,1.92,8.22
2023-10-26 16:00:00-04:00,1.15,1.4,21.9
2024-02-01 16:00:00-05:00,0.27,0.67,145.87
2024-05-02 16:00:00-04:00,0.93,0.82,-11.36
2024-08-01 16:00:00-04:00,0.81,0.84,3.54
2024-10-31 16:00:00-04:00,0.47,0.56,17.92
2025-01-30 16:00:00-05:00,-0.46,-0.39,15.32
2025-05-01 16:00:00-04:00,-0.47,-0.39,16.6
2025-07-31 16:00:00-04:00,0.43,,
