ts,eps_est,eps_rep,surprise_pct
2001-10-24 13:00:00-04:00,0.76,0.79,4.5
2002-01-30 08:00:00-05:00,0.43,0.46,6.73
2002-04-24 06:00:00-04:00,0.34,0.31,-7.46
2002-07-25 20:00:00-04:00,0.41,0.37,-10.41
2002-10-20 10:00:00-04:00,0.52,0.44,-14.56
2003-01-29 08:00:00-05:00,0.33,0.27,-18.18
2003-04-29 07:00:00-04:00,0.29,0.33,13.01
2003-08-01 06:00:00-04:00,0.23,0.17,-26.72
2003-10-23 06:00:00-04:00,0.4,0.44,10.55
2004-01-28 06:00:00-05:00,0.27,0.35,29.15
2004-04-28 07:00:00-04:00,0.33,0.35,7.36
2004-07-28 06:00:00-04:00,0.17,0.2,16.28
2004-10-22 06:00:00-04:00,0.38,0.4,5.57
2005-02-01 07:00:00-05:00,0.3,0.34,13.68
2005-04-27 07:00:00-04:00,0.33,0.3,-9.09
2005-07-27 07:00:00-04:00,0.18,0.19,8.57
2005-10-26 07:00:00-04:00,0.44,0.47,7.04
2006-02-01 07:00:00-05:00,0.25,0.24,-4.76
2006-04-27 07:00:00-04:00,0.29,0.36,22.87
2006-08-01 07:00:00-04:00,0.21,0.24,12.94
2006-10-26 07:00:00-04:00,0.48,0.53,10.88
2007-01-31 07:00:00-05:00,0.22,0.23,4.55
2007-04-25 07:00:00-04:00,0.36,0.28,-22.87
2007-07-25 07:00:00-04:00,0.26,0.29,13.28
2007-10-25 07:00:00-04:00,0.57,0.57,0.35
2008-01-30 07:00:00-05:00,0.28,0.31,11.51
2008-05-01 07:00:00-04:00,0.32,0.35,8.02
2008-07-31 07:00:00-04:00,0.3,0.24,-21.05
2008-10-23 07:00:00-04:00,0.55,0.51,-7.69
2009-01-29 07:00:00-05:00,0.36,0.35,-3.99
2009-04-30 07:00:00-04:00,0.37,0.38,3.3
2009-07-30 07:00:00-04:00,0.25,0.25,0.4
2009-10-29 07:00:00-04:00,0.5,0.48,-4.71
2010-01-28 07:00:00-05:00,0.36,0.37,2.27
2010-04-29 07:00:00-04:00,0.41,0.42,3.24
2010-07-29 07:00:00-04:00,0.27,0.29,5.54
2010-10-28 07:00:00-04:00,0.55,0.62,13.67
2011-01-27 07:00:00-05:00,0.32,0.29,-8.39
2011-04-28 07:00:00-04:00,0.43,0.42,-1.41
2011-07-28 07:00:00-04:00,0.31,0.33,5.0
2011-10-27 07:00:00-04:00,0.65,0.69,5.88
2012-02-02 07:00:00-05:00,0.3,0.29,-3.39
2012-04-26 07:00:00-04:00,0.37,0.38,1.43
2012-08-02 07:00:00-04:00,0.36,0.38,6.83
2012-10-25 07:00:00-04:00,0.73,0.78,7.53
2013-01-31 07:00:00-05:00,0.27,0.29,5.6
2013-05-02 07:00:00-04:00,0.45,0.48,8.05
2013-08-01 07:00:00-04:00,0.39,0.4,2.39
2013-10-24 06:00:00-04:00,0.77,0.77,-0.02
2014-01-30 06:00:00-05:00,0.29,0.3,2.81
2014-05-01 06:00:00-04:00,0.5,0.52,3.19
2014-07-31 06:00:00-04:00,0.4,0.39,-3.69
2014-10-30 06:00:00-04:00,0.75,0.73,-3.2
2015-01-29 06:00:00-05:00,0.34,0.39,14.22
2015-04-30 06:00:00-04:00,0.5,0.46,-7.46
